gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	flight1_ssal	flight2_ssal	flight3_ssal	ground1_ssal	ground2_ssal	ground3_ssal	transcript_id(s)	flight1_srsem	flight2_srsem	flight3_srsem	ground1_srsem	ground2_srsem	ground3_srsem	flight1_sfc	flight2_sfc	flight3_sfc	ground1_sfc	ground2_sfc	ground3_sfc	flight1_hfc	flight2_hfc	flight3_hfc	ground1_hfc	ground2_hfc	ground3_hfc	flight1_psal	flight2_psal	flight3_psal	ground1_psal	ground2_psal	ground3_psal
ERCC-00130	30000.0	7500.0	6428.565454	8505.88783	8186.030504	1235.467159	1721.611858	1638.280703	EF011072	5760.7	7994.16	8071.13	1144.12	1505.96	1452.7	6162.682129	8282.588867	8413.685547	1213.745728	1658.974243	1607.605835	6719.825684	8935.56543	9060.049805	1308.760864	1808.376587	1743.116577	6366.755666	8429.380768	8479.986847	1228.14268	1703.92026	1624.579247
ERCC-00004	7500.0	1875.0	4009.885808	5820.563545	5772.212451	772.184949	995.567942	842.739832	DQ516752	3472.64	5339.6	5293.69	689.43	858.43	737.32	2495.004639	3640.849854	3670.334229	491.327393	628.542908	543.327209	2689.424072	3901.876709	3918.159668	523.215271	677.404602	584.914246	4175.881744	6117.3747	6043.940132	806.974989	1039.710912	879.871408
ERCC-00136	1875.0	468.75	314.049683	449.031234	427.82158	67.242526	82.620888	83.770474	EF011063	285.13	424.66	407.61	62.97	73.21	75.96	296.428009	425.193787	410.613495	64.959465	79.068985	80.531815	322.710632	457.9953	441.20755	69.947235	85.539116	87.709686	310.624342	444.44927	423.972512	66.801094	81.882688	83.069424
ERCC-00108	937.5	234.375	149.677759	221.142437	198.511482	33.882893	40.000136	33.160653	DQ668365	135.66	211.42	189.54	31.89	35.43	30.51	140.588577	209.560364	191.80278	32.957577	37.088779	31.851959	151.409119	224.342361	204.263962	35.160282	39.881695	34.271507	148.928532	219.518324	198.228093	33.742095	39.808095	32.836548
ERCC-00116	468.75	117.1875	7.039297	11.489111	11.235016	1.36069	2.521668	1.749837	DQ668367	6.61	11.2	10.97	1.3	2.28	1.63	8.117496	13.40032	12.671147	1.573221	2.620317	1.884294	8.866239	14.468141	13.628238	1.667532	2.869716	2.038459	6.925131	11.392794	10.884939	1.34053	2.444823	1.696889
ERCC-00092	234.375	58.59375	47.049798	85.714053	81.015326	11.63908	14.353127	13.123339	DQ459425	42.01	82.13	77.14	11.22	12.36	11.82	46.362652	84.000778	78.715508	11.701155	14.347618	12.966643	50.237255	90.425438	85.070465	12.688643	15.746161	13.95576	46.43107	84.700988	80.421928	11.557314	14.111011	13.098062
ERCC-00095	117.1875	29.296875	67.07186	88.947726	87.363375	13.382114	9.91937	18.539402	DQ516759	60.4	77.99	85.4	10.76	8.87	17.58	43.111732	56.49836	57.489719	9.107156	6.642729	12.378287	47.180206	60.72084	61.797123	9.805886	7.201757	13.484687	69.806829	93.307052	91.203246	13.95785	10.446808	19.4385
ERCC-00131	117.1875	29.296875	32.451266	43.559885	44.210823	7.078756	6.274506	7.109072	DQ855003	29.01	41.26	42.64	6.6	5.68	6.61	28.296642	35.955078	36.220936	6.25898	4.981433	6.118823	30.802563	38.272739	38.870865	6.733238	5.282287	6.570176	32.991034	44.827897	44.442186	7.128419	6.267632	7.400834
ERCC-00062	58.59375	14.6484375	21.963846	28.456681	28.692532	3.678603	4.492425	4.90724	DQ516786	18.59	27.38	25.49	3.31	4.11	4.43	19.796719	27.416559	26.891045	3.481183	4.298671	4.928298	21.572657	29.442871	28.76639	3.754854	4.71514	5.330876	21.762157	28.403007	28.628947	3.656193	4.41499	4.848781
ERCC-00019	29.296875	7.32421875	6.83364	11.749633	14.316599	3.087954	1.225659	1.060187	DQ883651	5.85	11.67	14.11	3.03	1.14	1.0	4.467186	8.546424	11.752481	2.316072	0.974477	0.87874	4.640181	9.319492	12.530374	2.526635	1.07635	0.964843	7.480519	11.978315	15.534521	3.147307	1.247029	1.081758
ERCC-00144	29.296875	7.32421875	10.344357	12.764258	6.648955	1.152259	0.926629	2.660139	DQ854995	9.28	12.72	6.57	1.14	0.87	2.4	7.046167	8.563128	4.525001	0.647236	0.727977	1.932264	7.465978	9.376128	4.889272	0.706078	0.804081	1.949297	10.889027	13.324878	6.929921	1.198369	0.963746	3.120341
ERCC-00170	14.6484375	3.66210938	4.312644	5.77075	5.874888	0.990393	1.347727	0.899233	DQ516773	3.91	5.24	5.68	0.93	1.25	0.7	4.392837	6.018819	5.520549	0.86416	1.189779	0.90008	4.62666	6.527709	5.915564	0.905514	1.31416	0.938898	4.528944	5.831598	5.679322	1.071241	1.324497	0.88852
ERCC-00154	7.32421875	1.83105469	3.481543	5.709272	5.452435	0.0	0.0	1.984464	DQ854997	3.31	5.65	5.23	0.0	0.0	1.89	2.219632	3.971648	3.606676	0.0	0.0	1.123977	2.448007	4.298037	3.84719	0.0	0.0	1.234109	3.674212	5.939088	5.737677	0.0	0.0	2.056588
ERCC-00085	7.32421875	1.83105469	0.277163	1.074678	3.015418	0.462251	1.757406	0.837438	DQ883669	0.2	1.04	3.01	0.45	1.63	0.79	0.222016	1.015806	2.944673	0.450696	1.681609	0.843312	0.2032	1.113159	3.211498	0.491671	1.857407	0.925943	0.275696	1.102288	3.031374	0.460656	1.744753	0.835421
ERCC-00028	3.66210938	0.91552734	1.467262	0.44067	1.541047	0.041355	0.090987	0.0	DQ459419	1.39	0.44	1.24	0.04	0.03	0.0	1.564906	0.500217	1.505883	0.048124	0.105374	0.0	1.725398	0.547709	1.642601	0.052499	0.11639	0.0	1.440693	0.43161	1.51089	0.040693	0.089055	0.0
ERCC-00033	1.83105469	0.45776367	0.316191	0.433649	0.352013	0.0	0.0	0.0	DQ516796	0.3	0.43	0.35	0.0	0.0	0.0	0.365035	0.416867	0.417447	0.0	0.0	0.0	0.402593	0.456446	0.455346	0.0	0.0	0.0	0.306033	0.418078	0.33992	0.0	0.0	0.0
ERCC-00134	1.83105469	0.45776367	0.0	0.0	0.0	0.0	0.0	0.0	DQ516739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00147	0.91552734	0.22888184	0.0	1.402981	0.0	0.117904	0.172786	0.0	DQ516790	0.0	1.38	0.0	0.12	0.16	0.0	0.0	1.374826	0.0	0.132716	0.19335	0.0	0.0	1.443986	0.0	0.144202	0.213563	0.0	0.0	1.405832	0.0	0.139727	0.169807	0.0
ERCC-00097	0.45776367	0.11444092	0.474174	0.0	0.0	0.0	0.0	0.0	DQ516758	0.39	0.0	0.0	0.0	0.0	0.0	0.347276	0.0	0.0	0.0	0.0	0.0	0.338375	0.0	0.0	0.0	0.0	0.0	0.495001	0.0	0.0	0.0	0.0	0.0
ERCC-00156	0.45776367	0.11444092	0.0	0.0	0.0	0.0	0.0	0.0	DQ883643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00123	0.22888184	0.05722046	0.0	0.0	0.0	0.0	0.0	0.102903	DQ516782	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.118333	0.0	0.0	0.0	0.0	0.0	0.129927	0.0	0.0	0.0	0.0	0.0	0.101682
ERCC-00017	0.11444092	0.02861023	0.0	0.161232	0.228431	0.0	0.0	0.0	DQ459420	0.0	0.16	0.23	0.0	0.0	0.0	0.0	0.185918	0.25849	0.0	0.0	0.0	0.0	0.203569	0.282345	0.0	0.0	0.0	0.0	0.157699	0.223656	0.0	0.0	0.0
ERCC-00083	0.02861023	0.00715256	0.0	0.0	0.0	0.0	0.0	0.0	DQ516780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00096	15000.0	15000.0	3000.328587	4005.150998	4194.532216	2372.868391	3186.557834	3034.879288	DQ459429	2759.81	3873.24	4057.5	2254.9	2879.43	2777.26	2918.391846	3957.022705	4178.498535	2361.185791	3134.95459	3003.157715	3179.438232	4274.911621	4501.186523	2543.611084	3413.331055	3256.423584	2987.632792	3985.547752	4172.247053	2369.9518	3183.358224	3025.220211
ERCC-00171	3750.0	3750.0	1132.20301	1654.702579	1642.683774	901.574776	1102.844853	1056.057757	DQ854994	1011.81	1566.38	1549.45	835.04	974.51	968.1	677.858826	977.778198	1002.132874	547.530701	667.519958	658.278442	730.619751	1047.413208	1069.598389	585.19165	718.090637	709.511414	1217.53906	1780.930014	1761.918396	974.16213	1183.370087	1132.855969
ERCC-00009	937.5	937.5	107.394395	163.630273	161.667161	96.626221	123.273482	119.74561	DQ668364	98.67	158.81	156.51	90.86	110.85	106.04	101.147339	154.554825	155.496964	93.085991	113.161934	113.696518	109.699196	166.4254	166.793121	99.261452	122.617058	122.476234	106.919771	162.977283	160.710008	96.365063	122.798894	119.298539
ERCC-00042	468.75	468.75	83.660572	118.273908	123.29396	62.111797	91.023432	83.423088	DQ516783	75.64	113.75	116.44	57.56	78.24	75.14	79.165672	111.417305	119.695518	59.083225	83.931549	78.606949	85.958008	119.603645	128.776703	62.904583	91.096664	84.647606	83.053867	116.605928	122.182874	61.479933	89.992917	82.987777
ERCC-00060	234.375	234.375	237.628884	337.323566	327.369309	187.768617	220.706334	203.644809	DQ516763	207.44	312.04	299.76	168.39	187.78	179.49	150.537369	208.856735	207.867386	121.860207	141.251251	132.809174	162.094574	220.883743	222.018799	129.171432	152.307571	142.939301	259.23884	356.789399	350.621798	205.795629	239.03636	219.387531
ERCC-00035	117.1875	117.1875	14.23864	25.605229	19.481594	12.716664	15.134196	16.190161	DQ459413	13.33	24.76	19.42	12.18	13.49	14.65	14.227641	25.131794	19.586552	12.746233	14.490907	15.757859	15.558661	26.906967	21.241642	13.633885	15.6569	17.023773	14.0011	25.896577	19.190555	12.49279	14.872167	16.312615
ERCC-00025	58.59375	58.59375	7.514243	10.100751	10.338638	6.003632	8.360544	8.790802	DQ883689	7.01	9.96	10.25	5.64	7.59	7.93	8.054412	11.358774	11.682065	6.835216	9.576095	9.755028	8.757486	12.290345	12.611594	7.290421	10.477461	10.631275	7.353023	9.852285	10.052919	5.862648	8.139747	8.589623
ERCC-00051	58.59375	58.59375	11.740274	14.532054	15.532007	21.73571	25.659617	24.992736	DQ516740	13.56	22.86	14.91	25.23	31.88	33.87	3.40062	3.667852	5.020724	6.021814	7.589658	7.766544	2.80771	3.89191	5.476553	6.569281	8.306802	8.422488	17.775344	16.448671	18.039247	24.925383	30.460189	28.799797
ERCC-00053	29.296875	29.296875	9.780039	15.618085	12.746408	7.121398	7.326108	6.988321	DQ516785	8.01	12.7	12.13	6.23	6.54	6.31	9.490862	15.298772	11.272032	6.700388	6.670005	7.077119	10.226446	16.369322	12.175476	7.122432	7.232068	7.752022	9.568846	16.167064	12.339618	7.242522	7.233791	7.032002
ERCC-00148	14.6484375	14.6484375	2.115078	4.558669	5.643931	1.802907	1.733463	0.792442	DQ883642	1.95	4.34	5.66	1.8	1.64	0.76	1.45111	2.448945	2.897502	1.007239	1.017094	0.612025	1.551184	2.542148	3.160565	1.098811	1.123423	0.671993	2.216918	4.709338	5.934841	1.888715	1.817003	0.829314
ERCC-00126	14.6484375	14.6484375	0.984881	1.246549	1.88912	0.880615	1.168538	0.59443	DQ459427	0.91	1.25	1.89	0.89	1.08	0.26	1.054495	1.264279	1.832076	0.840424	1.140521	0.524238	1.138443	1.384312	1.99841	0.905864	1.259753	0.457821	0.96394	1.217009	1.891822	0.904862	1.14011	0.403763
ERCC-00034	7.32421875	7.32421875	3.293003	2.341851	5.563107	2.062354	3.716982	3.383331	DQ855001	3.1	1.94	5.4	1.84	3.42	3.09	3.250269	2.17249	5.276681	2.08563	3.454757	3.290247	3.566953	2.377028	5.642778	2.200725	3.777318	3.490339	3.269214	2.38209	5.50256	2.060464	3.653547	3.394624
ERCC-00150	3.66210938	3.66210938	0.335126	3.023685	2.734191	0.819597	0.271866	0.646348	DQ883659	0.32	3.02	2.68	0.55	0.25	0.53	0.250765	2.390345	2.142779	0.713477	0.212618	0.638091	0.276566	2.617289	2.347079	0.739884	0.234845	0.66588	0.336127	3.0325	2.824561	0.823363	0.272331	0.650188
ERCC-00067	3.66210938	3.66210938	0.0	0.952673	1.45769	0.421085	0.204276	1.312613	DQ883653	0.0	0.95	1.45	0.41	0.19	1.19	0.0	0.725951	0.830393	0.238686	0.16163	0.993535	0.0	0.794874	0.874998	0.260386	0.178528	1.090885	0.0	0.968504	1.480443	0.428013	0.207279	1.38718
ERCC-00031	1.83105469	1.83105469	0.0	0.068941	0.0	0.881023	0.090162	0.089378	DQ459431	0.0	0.07	0.0	0.87	0.08	0.08	0.0	0.079803	0.0	1.010464	0.104287	0.105918	0.0	0.08738	0.0	1.103589	0.115189	0.114745	0.0	0.067506	0.0	0.886874	0.088225	0.087949
ERCC-00109	0.91552734	0.91552734	0.0	0.0	0.0	0.773421	0.0	0.0	DQ854998	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.61245	0.0	0.0	0.0	0.0	0.0	0.668131	0.0	0.0	0.0	0.0	0.0	0.801845	0.0	0.0
ERCC-00073	0.91552734	0.91552734	1.151624	0.0	0.640413	0.0	0.0	0.674495	DQ668358	1.04	0.0	0.64	0.0	0.0	0.64	0.812263	0.0	0.554107	0.0	0.0	0.349809	0.900857	0.0	0.604414	0.0	0.0	0.384085	1.177102	0.0	0.655205	0.0	0.0	0.690642
ERCC-00158	0.45776367	0.45776367	0.0	0.0	0.0	0.117288	0.0	0.178914	DQ516795	0.0	0.0	0.0	0.12	0.0	0.17	0.0	0.0	0.0	0.110137	0.0	0.178004	0.0	0.0	0.0	0.120149	0.0	0.195446	0.0	0.0	0.0	0.115658	0.0	0.176518
ERCC-00104	0.22888184	0.22888184	0.0	0.216825	0.0	0.0	0.0	0.0	DQ516815	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.198147	0.0	0.0	0.0	0.0	0.0	0.197473	0.0	0.0	0.0	0.0	0.0	0.206419	0.0	0.0	0.0	0.0
ERCC-00142	0.22888184	0.22888184	0.0	0.0	0.0	0.0	0.0	0.0	DQ883646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00138	0.11444092	0.11444092	0.0	0.0	0.0	0.0	0.0	0.0	DQ516777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00117	0.05722046	0.05722046	0.0	0.0	0.0	0.0	0.0	0.0	DQ459412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00075	0.01430512	0.01430512	0.0	0.0	0.0	0.0	0.0	0.0	DQ516778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00074	15000.0	22500.0	7020.426575	9745.503459	9970.155829	7994.353307	9750.493164	8625.531163	DQ516754	6213.63	9041.45	9288.03	7347.53	8542.13	7710.0	4417.755371	6088.349121	6361.234375	5094.206543	6156.373047	5546.705078	4778.224121	6517.379883	6811.983887	5446.01416	6658.830078	5975.990723	7492.933624	10426.450841	10641.149033	8495.654802	10400.455098	9181.200884
ERCC-00113	3750.0	5625.0	963.772068	1290.496117	1334.728411	1099.272718	1425.289689	1356.971758	DQ883663	876.43	1237.23	1281.83	1039.4	1272.58	1234.8	839.877014	1128.861694	1180.057007	970.4198	1244.12854	1193.845825	910.286743	1214.856079	1268.000366	1042.634521	1353.15564	1292.276367	967.12116	1296.376078	1339.734941	1107.06416	1432.053643	1367.616502
ERCC-00145	937.5	1406.25	155.595439	181.537185	192.716488	171.035286	218.419569	219.703648	DQ875386	135.87	168.44	175.94	155.65	185.22	192.04	145.914841	170.105927	185.865463	166.323364	205.536224	207.76532	157.053894	179.660019	196.768417	175.370819	220.312836	221.429382	157.337358	180.852676	193.70161	173.059533	219.50965	223.172447
ERCC-00111	468.75	703.125	113.622424	162.070831	149.595152	120.680326	192.211006	169.550236	DQ883685	102.15	157.02	144.5	115.53	172.49	154.41	105.474564	153.759399	145.372391	115.653313	179.932129	157.292267	114.072029	166.048843	156.47438	124.42112	196.24057	170.323303	113.006413	160.309308	149.741487	121.234814	191.054144	168.374203
ERCC-00076	234.375	351.5625	48.554998	75.656444	71.693403	67.486615	71.588287	60.78507	DQ883650	43.8	74.7	70.14	62.06	63.87	55.85	36.752571	55.337677	56.359856	53.196033	54.492371	46.900112	40.18486	59.717178	60.237663	56.748783	59.586277	50.402668	50.358087	77.428268	73.315274	70.195013	73.426604	61.460948
ERCC-00044	117.1875	175.78125	12.962328	23.033467	20.166792	16.703947	24.770313	22.861472	DQ459424	11.46	22.46	18.44	15.77	21.93	19.57	12.255212	24.044586	20.591991	17.215992	24.456295	22.589409	13.414836	25.940817	22.164778	18.591801	26.730204	24.402975	12.713582	22.660558	19.928233	16.505754	24.112604	22.600084
ERCC-00162	58.59375	87.890625	20.999132	43.570319	38.913283	35.206616	44.960504	34.967863	DQ516750	18.57	39.89	34.01	32.77	38.44	28.6	12.916588	26.941933	23.5452	23.063459	28.24633	21.03339	14.192335	28.762623	24.905336	24.784227	29.920929	22.163109	21.766358	46.452626	41.434578	36.613055	46.148519	35.823442
ERCC-00071	58.59375	87.890625	22.489621	34.901988	23.13028	31.97972	31.07178	28.007812	DQ883654	20.34	32.92	23.05	30.73	28.72	25.85	17.063971	24.811066	17.92057	25.5299	22.702032	20.7651	18.668291	26.779285	19.545172	27.499937	24.905985	22.395536	22.981252	35.386504	23.711829	32.754485	31.885346	28.199729
ERCC-00084	29.296875	43.9453125	7.839408	10.762516	12.650292	11.129163	10.59459	7.583034	DQ883682	7.17	9.96	12.33	10.44	9.37	6.66	7.619422	9.941766	12.06884	10.396556	10.03511	6.980844	8.253045	10.548883	13.034055	11.085413	11.017749	7.534487	7.783543	10.625845	12.547869	11.27033	10.53166	7.554914
ERCC-00099	14.6484375	21.9726563	1.913067	3.124159	6.718809	3.481601	4.483102	4.017739	DQ875387	1.61	3.09	5.91	3.4	3.87	3.36	1.97273	2.880855	7.167088	3.430567	4.432879	4.509173	2.07413	3.124288	7.55009	3.669433	4.89415	4.840387	1.775182	3.192028	6.562692	3.527769	4.51227	3.992892
ERCC-00054	14.6484375	21.9726563	5.625548	3.419307	6.212803	5.746222	1.054505	3.74891	DQ516731	8.67	5.71	9.94	6.6	0.0	5.24	1.907475	1.096771	1.734338	1.670098	0.315136	0.975859	2.09803	1.2009	1.891798	1.5448	0.121855	1.071477	6.488757	3.931363	7.19873	6.407374	5.369075	4.439889
ERCC-00157	7.32421875	10.9863281	1.587275	4.92321	1.344637	1.493429	2.81379	2.195291	DQ839618	1.5	4.92	1.29	1.47	2.61	2.04	1.592416	4.665961	1.376216	1.363145	2.719851	1.855625	1.755969	5.105833	1.446941	1.488432	2.961309	2.015692	1.587904	4.921242	1.37564	1.498519	2.765769	2.220544
ERCC-00143	3.66210938	5.49316406	1.647547	0.386779	0.0	1.099039	0.351174	1.118575	DQ668362	1.53	0.39	0.0	0.88	0.28	1.05	1.376773	0.383822	0.0	0.921823	0.294704	0.993691	1.485664	0.420262	0.0	0.908522	0.283297	1.091057	1.649565	0.425764	0.0	1.102274	0.401215	1.123201
ERCC-00039	3.66210938	5.49316406	0.56203	1.479131	0.541917	0.112461	2.954245	1.300616	DQ883656	0.53	1.48	0.54	0.11	2.69	1.18	0.396939	1.051556	0.533444	0.109985	2.327675	1.036894	0.43778	1.107046	0.581875	0.119984	2.525895	1.107791	0.56388	1.48394	0.543528	0.113009	2.960241	1.349648
ERCC-00058	1.83105469	2.74658203	0.225764	0.783129	0.708137	0.308036	0.602448	0.022395	DQ459418	0.21	0.76	0.68	0.3	0.56	0.02	0.179214	0.859263	0.682924	0.360219	0.599519	0.026614	0.197653	0.918139	0.723654	0.392968	0.655038	0.029222	0.221636	0.789429	0.694146	0.303052	0.58954	0.022039
