gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
a1cf	a1cf	5832.1423581267	1.66174828933739	0.336937716556377	4.93191532939989	8.14272138873352e-07	6.5310062648904e-06	1	DE
a2ml	a2ml	2790.88436926149	-8.24996853974721	0.573438779035968	-14.3868340289378	6.25964512358676e-47	1.19620869880664e-44	1	DE
aaas	aaas	226.747733397962	-0.39299628809474	0.278767617245391	-1.40976305633375	0.158609658611455	0.265683553919513	0	not_DE
aacs	aacs	602.236203363893	-2.74752993210001	0.298666607035575	-9.19932080579982	3.60219361199232e-20	1.57206459969734e-18	1	DE
aadac	aadac	27.593432995013	0.805366397269637	0.484507366190127	1.6622376737067	0.096465128996397	0.1795685099944	0	not_DE
aadacl4	aadacl4	36.7399495146278	5.12535127171271	0.590724936638528	8.67637533786554	4.08582157755847e-18	1.47657377211909e-16	1	DE
aadat	aadat	43.3774305536911	0.54274820196026	0.463703554489083	1.17046375147646	0.241814393315185	0.367854786598452	0	not_DE
aaed1	aaed1	42.8254591063717	-1.39283161488454	0.308880475691005	-4.50928991794835	6.50449696981295e-06	4.35561285010702e-05	1	DE
aagab	aagab	259.32913042944	0.0939322849592577	0.133770111457442	0.702191871830363	0.482559513916709	0.61310384499592	0	not_DE
aak1a	aak1a	106.856244688957	0.215278123536254	0.152134250276073	1.41505363286437	0.157052771530673	0.263618323254007	0	not_DE
aak1b	aak1b	84.3848980232812	0.204645857912644	0.26628047082865	0.768534985970987	0.442169413672409	0.575979277282415	0	not_DE
aamdc	aamdc	257.022038912621	0.120876475193616	0.279764348104248	0.432065329312706	0.665693932464357	0.767359568907984	0	not_DE
aamp	aamp	961.933122583902	1.40973529751174	0.181300610448875	7.77567871405086	7.50439508938798e-15	1.98218184429122e-13	1	DE
aanat1	aanat1	0.040579872800968	-0.1707364333975	3.11653965008542	-0.0547839760013386	0.956310566527917	NA	0	not_DE
aanat2	aanat2	10.1829711695038	-2.57882698141489	0.668617776468267	-3.85695246548277	0.000114809477988809	0.000567411654049315	1	DE
aar2	aar2	210.279706517621	-0.0294273443885782	0.105003429001464	-0.280251270538677	0.779284733752454	0.855701934916798	0	not_DE
aars	aars	4218.68471316312	0.406941313287651	0.137427651534293	2.96113124792869	0.00306511290398617	0.0100399263735945	1	DE
aars2	aars2	71.6312988633771	0.125697897848124	0.282252322063342	0.445338755512224	0.656074964443334	0.760295160952011	0	not_DE
aars2	aars2_1	29.5345335043919	0.272425468235042	0.449632712960635	0.605884448311689	0.544591487115787	0.668095101518967	0	not_DE
aarsd1	aarsd1	155.727614969785	-0.134802605478103	0.30802955407188	-0.437628804431688	0.661655387175234	0.764507191432887	0	not_DE
aasdh	aasdh	20.012020553413	0.253018270663711	0.275790041132176	0.917430773152713	0.35891695331314	0.494385417316876	0	not_DE
aasdhppt	aasdhppt	75.7837785544673	1.14205738140615	0.264781394017083	4.31320858342661	1.60902183136968e-05	9.8394091708573e-05	1	DE
aass	aass	132.038575796503	-0.595379518185129	0.339437459554356	-1.75401830713321	0.0794273702763297	0.154345228812912	0	not_DE
aatf	aatf	209.299026437876	0.114974438135121	0.112273948567667	1.02405268187238	0.305810392399644	0.437950899754798	0	not_DE
aatka	aatka	132.318913027344	-0.351000871196813	0.355651010030908	-0.986924994719709	0.323679409972599	0.457540662177573	0	not_DE
aatkb	aatkb	12.5556597624501	0.692851669288212	0.514012099304528	1.34792871651399	0.17768131084652	0.290266891140694	0	not_DE
aatkb	aatkb_2	17.3888211778576	1.08299974365609	0.398154721044044	2.7200474750525	0.00652725442520665	0.0193001984381477	1	DE
abat	abat	4381.12482096155	2.08808668767631	0.139500522581286	14.9683072797064	1.18293924110267e-50	2.59475150928824e-48	1	DE
abca12	abca12	58.6601298364253	3.29902275475784	0.68573047119697	4.81096129358124	1.50206106548225e-06	1.14124971014427e-05	1	DE
