gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
NA	a1cf	6324.83371228237	1.65401162890827	0.336194251137415	4.91980937601522	8.66285396928751e-07	7.31414715786098e-06	1	DE
NA	a2ml	870.596104593562	-7.76626690553183	0.548857200486879	-14.1498861609951	1.87059848228448e-45	3.89414589929692e-43	1	DE
NA	aaas	240.825295070545	-0.3708041506767	0.289878466345739	-1.2791710793531	0.200836817719371	0.32194451180031	0	not_DE
NA	aacs	619.104688176268	-2.61153810878916	0.307326515605748	-8.49760100797603	1.93549060694171e-17	7.24288652655089e-16	1	DE
NA	aadac	28.3554256075867	0.76629219891684	0.455024249252086	1.68406892638443	0.0921683488042022	0.17607082857237	0	not_DE
NA	aadacl4	41.3451889048491	5.10679879608761	0.575359989361395	8.87583233195578	6.94123448134136e-19	2.94443838709366e-17	1	DE
NA	aadat	48.0634063546453	0.504634053885085	0.476596344655079	1.05882904798671	0.2896776419945	0.423594831204329	0	not_DE
NA	aaed1	50.2315591418373	-1.2637556446082	0.323993599473139	-3.90055743898414	9.59714520103633e-05	0.00050563606564286	1	DE
NA	aak1a	114.811459476731	0.188867336220389	0.14754978351303	1.28002448884454	0.2005365234431	0.321629631960113	0	not_DE
NA	aak1b	88.6381051630664	0.188390745624135	0.269281988010888	0.699603961689847	0.484174667766187	0.617348481739743	0	not_DE
NA	aamdc	233.535737542725	0.159641256797677	0.292002065772347	0.546712765114951	0.584576082948957	0.704363001113546	0	not_DE
NA	aamp	1026.23556176985	1.40559047501705	0.173924862160993	8.08159602688644	6.39245617699462e-16	2.04335892738952e-14	1	DE
NA	aanat1	0.0413817017938388	-0.176032045905055	3.11653965008542	-0.056483172258126	0.954956900715089	NA	0	not_DE
NA	aanat2	12.552850206436	-2.43071812261402	0.548581547213352	-4.43091484750339	9.38341404442086e-06	6.34430447932418e-05	1	DE
NA	aar2	221.842919008922	-0.04765539021607	0.101408513696422	-0.469934806053188	0.638401596136391	0.74768923700297	0	not_DE
NA	aars	239.995940529009	0.695512565896977	0.367649957333894	1.89177926455007	0.0585203971476486	0.122650236763003	0	not_DE
NA	aars_1	112.418312925438	-0.0921879530383748	0.417124168755601	-0.221008418940091	0.825085877696093	0.88757012671698	0	not_DE
NA	aars2	27.8610691631251	0.494401076987141	0.322703801221145	1.53205842359549	0.125508018279202	0.224006494007973	0	not_DE
NA	aars2_1	14.3253599123354	0.30653836868642	0.420712327900895	0.728617509774112	0.466235664711853	0.600689417615287	0	not_DE
