gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010	NAC001	32.049065	40.040295	34.463539	28.739973	29.163263	29.393038
AT1G01020	ARV1	8.64623	7.198208	8.951367	9.650261	13.024961	13.170512
AT1G01030	NGA3	0.0	0.0	0.0	0.148829	0.778641	0.680916
AT1G01040	DCL1	16.615887	14.599139	14.043326	13.056993	13.570472	10.602119
AT1G01046	MIR838A	9.022043	7.175986	3.933149	5.291854	5.393598	7.370601
AT1G01050	PPA1	99.192436	97.049324	99.827576	105.910904	89.642059	95.180458
AT1G01060	LHY	93.580582	206.503891	88.302277	63.626598	21.881292	75.129852
AT1G01070	AT1G01070	50.619789	38.240963	52.526665	21.112692	24.16641	21.487015
AT1G01073	AT1G01073	0.0	0.0	0.0	0.0	0.0	0.0
AT1G01080	AT1G01080	8.914603	7.473519	8.314064	13.211829	13.088426	12.53061
AT1G01090	PDH-E1 ALPHA	116.384354	102.888817	110.203186	134.523972	107.716225	121.545753
AT1G01100	RPP1A	428.708923	385.164459	448.569519	651.062744	475.651886	511.399872
AT1G01110	IQD18	7.256356	2.959297	5.350297	7.107421	6.648058	3.275441
AT1G01115	AT1G01115	0.0	0.0	0.0	0.0	0.0	0.0
AT1G01120	KCS1	32.074043	41.138096	21.546207	42.319881	53.148018	57.457539
AT1G01130	AT1G01130	4.666075	1.878732	3.851269	4.037182	4.715391	6.960755
AT1G01140	CIPK9	14.412127	12.807293	10.338287	8.638537	6.149416	8.442209
AT1G01150	AT1G01150	0.397959	0.0	0.550524	1.070732	0.777835	0.516615
AT1G01160	GIF2	35.844707	29.169149	42.048481	35.4884	32.630295	31.190361
AT1G01170	AT1G01170	45.135292	45.545265	42.388607	16.209341	38.792263	25.784351
AT1G01180	AT1G01180	28.020081	28.084034	22.692167	25.108065	23.950726	26.399086
AT1G01183	MIR165A	0.194364	1.42682	1.19523	2.236879	2.470703	0.0
AT1G01190	CYP78A8	11.351265	18.557634	16.393053	34.009975	35.540398	26.694946
AT1G01200	RABA3	3.310389	3.157535	4.293752	19.77037	12.428282	15.341619
AT1G01210	AT1G01210	25.600664	34.101498	22.013508	51.196148	37.142799	42.423908
AT1G01220	FKGP	9.917684	9.842591	9.0859	11.141744	8.405964	8.537183
AT1G01225	AT1G01225	7.189051	10.200503	6.855001	11.976848	10.631136	8.11155
AT1G01230	AT1G01230	74.869308	71.109215	65.459618	50.050297	64.174973	64.32222
