gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_mix2_vs_mix1	lfcSE_condition_stage_mix2_vs_mix1	stat_condition_stage_mix2_vs_mix1	pvalue_condition_stage_mix2_vs_mix1	padj_condition_stage_mix2_vs_mix1	contrast_vector	outcome
NAC001	AT1G01010	1988.11931544112	-0.330150607350477	0.148437785926094	-2.22416822839743	0.0261371278080696	0.100510882846252	0	not_DE
ARV1	AT1G01020	541.587425676413	0.370503600811565	0.27788135825575	1.33331578317164	0.182428196325751	0.388448530798831	0	not_DE
NGA3	AT1G01030	21.5480145048914	5.45069141967372	1.38584541980518	3.93311645135714	8.38515891366828e-05	0.00104783500899001	1	DE
DCL1	AT1G01040	3018.85487139239	-0.26977968214711	0.147913395112004	-1.82390298013798	0.0681667410692601	0.200076530303566	0	not_DE
MIR838A	AT1G01046	0.495757179138065	-2.39282981214686	3.99351588722414	-0.599178738665318	0.549053699275025	NA	0	not_DE
PPA1	AT1G01050	3639.68041074898	-0.0709550377444921	0.12298254826357	-0.576952085855505	0.563971823471678	0.761278692231912	0	not_DE
LHY	AT1G01060	8876.15398195337	-1.34592581820328	0.603059328255912	-2.23182986339966	0.0256262097838276	0.0992409808418633	0	not_DE
AT1G01070	AT1G01070	1714.63551529808	-1.11049208877639	0.186892542134965	-5.94187481260995	2.81780582202117e-09	1.25127656108783e-07	1	DE
AT1G01073	AT1G01073	0	NA	NA	NA	NA	NA	NA	not_DE
AT1G01080	AT1G01080	496.460238206725	0.545830969080632	0.225503549506104	2.42049834814621	0.0154992497113782	0.0687843747033724	0	not_DE
PDH-E1 ALPHA	AT1G01090	6892.72397938551	0.0783337813062058	0.125091185490172	0.62621343781541	0.531174954355398	0.736966273539482	0	not_DE
RPP1A	AT1G01100	11255.4147043534	0.29821320556346	0.140052683143842	2.12929305507969	0.0332300220356781	0.119958796906921	0	not_DE
IQD18	AT1G01110	331.90603698658	0.174443722068856	0.412129961630367	0.423273574623802	0.672095671967511	0.831270254643138	0	not_DE
AT1G01115	AT1G01115	0	NA	NA	NA	NA	NA	NA	not_DE
KCS1	AT1G01120	2856.05892372311	0.623245815762326	0.218153683127767	2.85691172767094	0.00427784788591424	0.0256846146900522	1	DE
AT1G01130	AT1G01130	32.5113707866586	0.550245925648235	0.881586486903857	0.624154219492072	0.532526309075998	0.738281980435163	0	not_DE
CIPK9	AT1G01140	652.002090069377	-0.893029190793261	0.233445203187169	-3.82543388598676	0.000130541965890079	0.0015150173982206	1	DE
AT1G01150	AT1G01150	20.0388698844798	1.47435705647568	1.29297159735382	1.14028572591469	0.25416728264437	0.479352298567645	0	not_DE
GIF2	AT1G01160	1275.15118317495	-0.183977814585473	0.200319123774849	-0.918423618866549	0.358397130114838	0.590195333911766	0	not_DE
AT1G01170	AT1G01170	735.779676517118	-0.794645426396229	0.281616358953878	-2.82173034744183	0.00477653210059845	0.0280654777073656	1	DE
AT1G01180	AT1G01180	1203.38068104291	-0.173777932962126	0.171573662015906	-1.01284737366051	0.311133068621825	0.542004753635785	0	not_DE
MIR165A	AT1G01183	0	NA	NA	NA	NA	NA	NA	not_DE
CYP78A8	AT1G01190	1081.89358707731	0.985073855691261	0.234096690568299	4.20797856347252	2.57665302852147e-05	0.000387927467259798	1	DE
RABA3	AT1G01200	337.760561968788	2.0217569961895	0.314894890565451	6.42041854842125	1.35900170091274e-10	8.05181034710593e-09	1	DE
AT1G01210	AT1G01210	762.405859401408	0.626018977432713	0.247529761586763	2.52906548860907	0.0114366685418637	0.0546261215164507	0	not_DE
FKGP	AT1G01220	1200.09896229912	-0.0977625346905092	0.177731570072202	-0.550057227597741	0.582280122488469	0.773212155205638	0	not_DE
AT1G01225	AT1G01225	345.365201759056	0.204753104680802	0.298505994377357	0.685926274639439	0.492759600521785	0.706730313132543	0	not_DE
AT1G01230	AT1G01230	1993.29005525312	-0.336121309973235	0.162400430691763	-2.06970701088346	0.0384797898215245	0.133326648812568	0	not_DE
AT1G01240	AT1G01240	1744.5377342213	-1.25394733205922	0.204726750636336	-6.12498038561971	9.06947784143456e-10	4.45338065962006e-08	1	DE
ERF023	AT1G01250	0	NA	NA	NA	NA	NA	NA	not_DE
BHLH13	AT1G01260	1021.92145819832	0.207685453959154	0.181627620190405	1.14346845342923	0.252844145330127	0.477618795760913	0	not_DE
AT1G01270	AT1G01270	0	NA	NA	NA	NA	NA	NA	not_DE
CYP703A2	AT1G01280	0	NA	NA	NA	NA	NA	NA	not_DE
CNX3	AT1G01290	654.185876284844	0.374022076520789	0.213430906228456	1.75242697100502	0.0797004171092487	0.222887387847124	0	not_DE
AT1G01300	AT1G01300	3338.74951466277	0.808305519961582	0.17316815390569	4.66774924679164	3.04517224936983e-06	6.03570164232627e-05	1	DE
AT1G01305	AT1G01305	1.80865814634506	-4.26530172356471	3.93063402816484	-1.08514343818372	0.277858130968663	NA	0	not_DE
AT1G01310	AT1G01310	16.0166914163087	-0.0307997782063829	1.14394970655002	-0.0269240667050568	0.978520298018568	0.990552393421117	0	not_DE
AT1G01320	AT1G01320	1494.98216037407	0.174771779479507	0.18245780033504	0.957875076640077	0.338125755546842	0.569353625913523	0	not_DE
CNGC10	AT1G01340	1509.96628078587	-0.276966558641982	0.184332108381533	-1.50254104438882	0.132957436156866	0.315161165472573	0	not_DE
AT1G01350	AT1G01350	1355.71136056233	0.226346379895168	0.168401500687676	1.34408766531694	0.178920040274844	0.383287704108089	0	not_DE
AT1G01355	AT1G01355	22.7753705701729	-2.11708845652345	1.20957616307797	-1.75027296432179	0.0800712237166322	0.223583024455703	0	not_DE
PYL9	AT1G01360	1437.10426258727	-0.307002744371349	0.233465549722433	-1.314980924322	0.188516313524557	0.397675344297821	0	not_DE
HTR12	AT1G01370	357.315217376521	0.468895150035002	0.393235241894162	1.19240368125806	0.233102997552348	0.453918939510822	0	not_DE
ETC1	AT1G01380	167.311840893333	0.512991420520102	0.500386563131208	1.02519023954204	0.305273432761837	0.535916885675101	0	not_DE
UGT72B2	AT1G01390	0	NA	NA	NA	NA	NA	NA	not_DE
AT1G01400	AT1G01400	0	NA	NA	NA	NA	NA	NA	not_DE
APUM22	AT1G01410	0	NA	NA	NA	NA	NA	NA	not_DE
UGT72B3	AT1G01420	109.22914114026	1.5748340854083	0.463902343005396	3.39475346299336	0.00068690424900605	0.00591647425446786	1	DE
TBL25	AT1G01430	1520.33565631856	-0.0821629043239239	0.183588927628903	-0.447537361784714	0.654487117995093	0.820740005224729	0	not_DE
AT1G01440	AT1G01440	1067.9382690603	-0.44129626398455	0.176646011543077	-2.49819545955011	0.0124827345828608	0.0584539814371249	0	not_DE
AT1G01448	AT1G01448	440.917792143052	-0.476025086517983	0.289630413550283	-1.64356042821221	0.100267033591736	0.260547306464114	0	not_DE
AT1G01450	AT1G01450	35.3316104000195	-1.84472222344187	0.982796467761153	-1.87701348545158	0.0605162456061128	0.18378109901464	0	not_DE
AT1G01453	AT1G01453	70.5186130272033	0.333505480709944	0.608166097243406	0.548378941577971	0.583431732944726	0.773806558930666	0	not_DE
PIP5K10	AT1G01460	2.7608044444323	-1.73590882244005	3.67158907510924	-0.472794963414692	0.636359467731324	NA	0	not_DE
LEA14	AT1G01470	2350.78919017856	0.683734128796858	0.16570791479753	4.12614044194738	3.68902037434096e-05	0.000521804098123479	1	DE
AT1G01471	AT1G01471	0	NA	NA	NA	NA	NA	NA	not_DE
ACS2	AT1G01480	234.157949299782	0.253660014107534	0.326361168566643	0.777237118072573	0.437018886788686	0.661577971797665	0	not_DE
AT1G01490	AT1G01490	3338.8924778071	0.316985338269297	0.194230997277216	1.63200180564835	0.102679105809907	0.264945001598084	0	not_DE
AT1G01500	AT1G01500	497.230450402674	0.435175282294472	0.239184930577771	1.81940927985417	0.0688490119931585	0.201546882352687	0	not_DE
AN	AT1G01510	3205.43819773848	-0.235645421956746	0.136841539555806	-1.72203135628013	0.0850638384773853	0.232995418513571	0	not_DE
RVE3	AT1G01520	12.2053149775355	1.22124021818251	1.47691911063661	0.826883618329044	0.408303029319462	0.636306414891958	0	not_DE
AGL28	AT1G01530	0	NA	NA	NA	NA	NA	NA	not_DE
AT1G01540	AT1G01540	2271.02614178438	-0.0717563424416889	0.151646445243276	-0.473181829792152	0.636083459969912	0.809269579996448	0	not_DE
BPS1	AT1G01550	11104.923585197	-0.0596781433012483	0.115641035942801	-0.516063720933516	0.605809905295979	0.789816579377871	0	not_DE
MPK11	AT1G01560	101.796680171269	1.4478330638146	0.625275044681564	2.31551391044551	0.0205848241791448	0.0843854942711266	0	not_DE
AT1G01570	AT1G01570	206.459036858602	0.427239300722649	0.401650928984544	1.06370798594391	0.287461005610571	0.516569683152874	0	not_DE
FRO2	AT1G01580	5379.4442269438	3.6740472478821	1.11550767301735	3.29361001878556	0.000989096246793666	0.00792611177570965	1	DE
FRO1	AT1G01590	4.09579795432945	-0.685083871480466	2.87782597408693	-0.238056045657114	0.811837625263193	0.909640056741598	0	not_DE
CYP86A4	AT1G01600	293.705482310654	0.369933720382673	0.337874314147897	1.09488559766856	0.273566759494575	0.50177494496414	0	not_DE
GPAT4	AT1G01610	4404.76373752297	0.40807030439254	0.173554370302603	2.35125340653217	0.0187102867352463	0.0788177103732177	0	not_DE
PIP1-3	AT1G01620	51258.3540634717	-1.16137104912387	0.141162801848376	-8.22717482167368	1.91680605173348e-16	3.07542436665355e-14	1	DE
AT1G01630	AT1G01630	2002.69418317363	0.13967646203003	0.15980047669683	0.874067868364506	0.382081294661667	0.612539489312092	0	not_DE
AT1G01640	AT1G01640	1407.97751106499	-0.751964090761284	0.168340118761555	-4.4669333507267	7.93488371160539e-06	0.000138977433358405	1	DE
SPPL4	AT1G01650	3163.59478867238	-0.335824518936978	0.141574232422446	-2.37207373962591	0.0176885601087456	0.0755708920797545	0	not_DE
PUB55	AT1G01660	326.484439973708	-0.0776110593543326	0.275251745651158	-0.281963913328613	0.777971181035129	0.893600952911157	0	not_DE
PUB56	AT1G01670	398.576710878231	-0.552380568627549	0.252918070991059	-2.18402966013083	0.0289600686551739	0.108444849933455	0	not_DE
PUB54	AT1G01680	17.229654760305	0.86125967519537	1.46960458270496	0.586048577509284	0.55784287097314	0.757096532149138	0	not_DE
ATPRD3	AT1G01690	527.648015299683	0.271564799005742	0.241431009449285	1.12481325255274	0.260668177431958	0.487163003397411	0	not_DE
AT1G01695	AT1G01695	4.92830210857297	5.78294135314007	2.86081302015688	2.02143282779905	0.0432349793107179	0.145535693756338	0	not_DE
ROPGEF2	AT1G01700	45.2639587017647	0.420024232216734	0.66332852544659	0.63320694965432	0.526598507997362	0.733115574405599	0	not_DE
AT1G01710	AT1G01710	1643.81211391925	0.0217360141820985	0.153076641225346	0.141994323941956	0.887084489096956	0.948543873336942	0	not_DE
NAC002	AT1G01720	3477.27752377539	-0.595780945854079	0.154736379445305	-3.85029653653406	0.000117974900760479	0.00138767410973849	1	DE
AT1G01725	AT1G01725	285.006166689386	-0.620283339117603	0.306479751582386	-2.02389663889708	0.0429807878477174	0.144901947497036	0	not_DE
AT1G01730	AT1G01730	1504.705066705	-0.43271842203951	0.175302041418189	-2.46841633182836	0.0135712374044655	0.0621219011635893	0	not_DE
AT1G01740	AT1G01740	226.764352943697	0.184736229828086	0.351914270490184	0.524946685369608	0.599620254002605	0.785286749477554	0	not_DE
ADF10	AT1G01750	1274.02246406178	0.0904799144446617	0.182803442366339	0.49495738851208	0.620630199609018	0.799043660610661	0	not_DE
AT1G01760	AT1G01760	211.350534303185	-1.03045233752037	0.345942503781174	-2.97868092604252	0.00289492063248635	0.0189103270201137	1	DE
AT1G01770	AT1G01770	1201.87505415829	-1.03762260971676	0.191319519044992	-5.42350626269735	5.84411667603471e-08	1.80674442554035e-06	1	DE
PLIM2B	AT1G01780	1038.38833472426	-0.649908504126345	0.187895267055646	-3.45888704016091	0.000542412336619139	0.0049105294774404	1	DE
KEA1	AT1G01790	1214.19382776056	-0.145136480506637	0.172843041998323	-0.83970103064979	0.401076035982706	0.630483612024306	0	not_DE
AT1G01800	AT1G01800	4810.36986871358	-0.223608220854541	0.13323521762186	-1.67829666094119	0.0932891995797666	0.248097171196228	0	not_DE
AT1G01810	AT1G01810	34.7176388304445	0.901356149892034	0.831384204074527	1.08416318890181	0.27829244991246	0.506218664475818	0	not_DE
PEX11C	AT1G01820	2425.86866085624	-0.410591350494877	0.180783231674755	-2.27118049993469	0.0231360533867134	0.0920583378091437	0	not_DE
AT1G01830	AT1G01830	781.98797538827	-0.0444072233025881	0.208125172596786	-0.213367862947655	0.831040044989222	0.918817345646822	0	not_DE
AT1G01840	AT1G01840	66.8002892392576	0.315863406031975	0.579667427947218	0.544904527671228	0.585819182122903	0.77538915684843	0	not_DE
PFC1	AT1G01860	320.762574504247	-0.142064695977512	0.267205659412508	-0.531667990452982	0.594955965458955	0.781970236504656	0	not_DE
AT1G01870	AT1G01870	0	NA	NA	NA	NA	NA	NA	not_DE
GEN1	AT1G01880	153.145589820575	-0.535025131414723	0.41279242992597	-1.29611178070943	0.194936976844383	0.406769478642147	0	not_DE
