gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_mix2_vs_mix1	lfcSE_condition_stage_mix2_vs_mix1	stat_condition_stage_mix2_vs_mix1	pvalue_condition_stage_mix2_vs_mix1	padj_condition_stage_mix2_vs_mix1	contrast_vector	outcome
NAC001	AT1G01010	2000.14338339287	-0.314517651789304	0.149104769868577	-2.1093735100931	0.0349123541591633	0.125868515963475	0	not_DE
ARV1	AT1G01020	664.011408700786	0.363744396880328	0.226337616929977	1.60708768526471	0.108035134338344	0.278997738188788	0	not_DE
NGA3	AT1G01030	21.3133006652401	5.44213201150835	1.37833529329233	3.94833683646679	7.86960248311715e-05	0.00101411574336923	1	DE
DCL1	AT1G01040	3070.34051798131	-0.294727787962724	0.149065157624242	-1.97717422810274	0.0480219396754716	0.158901013104458	0	not_DE
MIR838A	AT1G01046	28.2963897469598	-0.0869994269450477	0.846040717319403	-0.102831252874799	0.918096900532731	0.965464441621721	0	not_DE
PPA1	AT1G01050	3621.93441416111	-0.0729182922121218	0.124469389283082	-0.585833132404009	0.557987656199743	0.756276269545154	0	not_DE
LHY	AT1G01060	8935.09969253583	-1.36551886640436	0.606566573715205	-2.25122670054269	0.0243711825982152	0.0966251217173169	0	not_DE
AT1G01070	AT1G01070	1770.07519565989	-1.12506014570433	0.185620541300357	-6.06107566448611	1.35214201022828e-09	6.44994463954693e-08	1	DE
AT1G01080	AT1G01080	513.027469913003	0.623957547290351	0.219223904236013	2.84621127182649	0.00442428305489865	0.0268245049518101	1	DE
PDH-E1 ALPHA	AT1G01090	6803.5880319725	0.063695523407968	0.127549530487129	0.499378736751959	0.617512595870698	0.796081498958673	0	not_DE
RPP1A	AT1G01100	11124.0329920488	0.31080784377707	0.139050848510887	2.23520997610262	0.0254035668572193	0.0995879470062191	0	not_DE
IQD18	AT1G01110	350.528772638029	0.121026862828515	0.382879826168055	0.316096212327973	0.751929481592942	0.879614158116916	0	not_DE
KCS1	AT1G01120	2831.73732708894	0.61913650217398	0.215880587854272	2.86795820007643	0.00413130110856681	0.0254146093121425	1	DE
AT1G01130	AT1G01130	116.446250437195	0.103297295422495	0.438441502115735	0.235601089139659	0.813742228237486	0.914028651986042	0	not_DE
CIPK9	AT1G01140	667.67167469975	-0.821214637546225	0.220928072757179	-3.71711311875164	0.000201512232738394	0.00219239902087109	1	DE
AT1G01150	AT1G01150	25.0479112721972	1.30308505269218	1.17563933969955	1.10840545113538	0.267686751768522	0.497506069296438	0	not_DE
GIF2	AT1G01160	1234.51125030211	-0.0832470519000004	0.179804263239226	-0.462987086069487	0.643373623675403	0.813070712927796	0	not_DE
AT1G01170	AT1G01170	619.379338102322	-0.729260686496033	0.286588700307587	-2.54462470332341	0.0109395242633525	0.0535444789660877	0	not_DE
AT1G01180	AT1G01180	1205.68229891907	-0.129058045445006	0.169180298270359	-0.762843231537309	0.445556895156377	0.669367133877246	0	not_DE
MIR165A	AT1G01183	14.0974671683042	0.876964101280111	1.47038197115777	0.596419242402432	0.550895188814665	0.751631978598394	0	not_DE
CYP78A8	AT1G01190	1536.09657511669	0.930154543078839	0.220822238920949	4.21223219012747	2.52859423968964e-05	0.000381236791543114	1	DE
RABA3	AT1G01200	370.597191226202	2.05380650581152	0.311192911847487	6.59978562371006	4.11752745303028e-11	2.74171784013213e-09	1	DE
AT1G01210	AT1G01210	821.377891876755	0.595626937640326	0.235256148760841	2.53182303960027	0.0113471241487114	0.0549888998953412	0	not_DE
FKGP	AT1G01220	1217.08483405856	-0.0953949704552953	0.175322613019033	-0.54411104655929	0.586365059299956	0.774565421866589	0	not_DE
AT1G01225	AT1G01225	355.427689324992	0.204076523404308	0.287701880324112	0.709333297281214	0.478117670086376	0.695906398524439	0	not_DE
AT1G01230	AT1G01230	1980.42569946955	-0.335812668051992	0.164783333987738	-2.03790431911628	0.0415595025796194	0.143411864068821	0	not_DE
AT1G01240	AT1G01240	1739.7875603427	-1.20929303264779	0.206553515332448	-5.85462334398634	4.78092281783867e-09	1.95948796934738e-07	1	DE
BHLH13	AT1G01260	1008.06692479914	0.185205234189573	0.179815988494925	1.02997089268734	0.303023669555336	0.534279813707366	0	not_DE
AT1G01270	AT1G01270	2.09730684378648	-4.4955159647746	3.92729375592393	-1.14468543586625	0.252339486659858	NA	0	not_DE
CNX3	AT1G01290	688.562550926648	0.393002016933583	0.213513221954823	1.84064487124239	0.0656736175872708	0.197980293635589	0	not_DE
AT1G01300	AT1G01300	3273.25529603563	0.804236536660039	0.169680929177085	4.73969903724837	2.14035895537112e-06	4.60217712506219e-05	1	DE
AT1G01305	AT1G01305	1.79769158038841	-4.2735380611962	3.93069774932921	-1.08722123493863	0.276939048363339	NA	0	not_DE
AT1G01310	AT1G01310	15.1740990815753	-0.137291706187639	1.15389147206689	-0.118981472271146	0.905290034485624	0.95888023151703	0	not_DE
AT1G01320	AT1G01320	1471.66121033684	0.163632555242779	0.178970955315922	0.914296707831348	0.360560960013608	0.59286191978788	0	not_DE
CNGC10	AT1G01340	1571.46146303415	-0.305580116636237	0.180969415172162	-1.68857326717628	0.0913012372664272	0.248660896410159	0	not_DE
AT1G01350	AT1G01350	1334.01875114003	0.193122717385784	0.169354473273091	1.14034612522083	0.254142128414717	0.481339350466878	0	not_DE
AT1G01355	AT1G01355	39.5890789364057	-0.986774262316918	1.09876229555798	-0.89807801587859	0.36914395845629	0.601199889677237	0	not_DE
PYL9	AT1G01360	1446.89159188537	-0.316436143365254	0.227796657288785	-1.38911671106788	0.164797262976012	0.366635964445749	0	not_DE
HTR12	AT1G01370	393.709500119731	0.311886417048539	0.371768741082627	0.838925876716518	0.401510905808996	0.631828337500023	0	not_DE
ETC1	AT1G01380	175.317164688566	0.568514604569935	0.494548543014815	1.14956279337963	0.250323989945606	0.477068655631367	0	not_DE
UGT72B3	AT1G01420	115.28666855304	1.46762837054061	0.438814210497099	3.34453245914267	0.000824213844173973	0.00700396689588856	1	DE
TBL25	AT1G01430	1552.83467754979	-0.0964276820759673	0.183056714891125	-0.52676397111856	0.598357505526101	0.783298098614913	0	not_DE
AT1G01440	AT1G01440	1142.03624439788	-0.413537139334755	0.171655844026397	-2.40910609062143	0.0159916485977212	0.0711136649157574	0	not_DE
AT1G01448	AT1G01448	248.791104432639	-0.238922001372843	0.341191617459157	-0.700257536079248	0.483766485636727	0.700267870895545	0	not_DE
AT1G01453	AT1G01453	70.852506708418	0.389797255750071	0.600615950413212	0.64899584415282	0.516341062396159	0.726057630995204	0	not_DE
PIP5K10	AT1G01460	4.44660225266989	0.148563541182901	3.08975866185324	0.0480825713079457	0.961650436219979	0.98356913535184	0	not_DE
LEA14	AT1G01470	2355.98556506452	0.638310447529861	0.166698309618005	3.82913569425252	0.000128594091527703	0.00151523479098497	1	DE
ACS2	AT1G01480	235.578705738174	0.338767205487683	0.332118457700991	1.02001920589634	0.307719352171309	0.539584184910165	0	not_DE
AT1G01490	AT1G01490	3435.06449000943	0.259053258612345	0.187860328163144	1.37896734848336	0.167904821293404	0.371219711638961	0	not_DE
AT1G01500	AT1G01500	518.254119746807	0.488698553439207	0.230695938171452	2.11836652744188	0.0341440383856616	0.123653290397152	0	not_DE
AN	AT1G01510	3309.43236907673	-0.244188039952875	0.137829405814042	-1.77166866903809	0.0764495734387426	0.219868779544027	0	not_DE
RVE3	AT1G01520	16.3802214533489	1.81435918660081	1.30794414827993	1.38718399328202	0.16538566507856	0.367584858190464	0	not_DE
AT1G01540	AT1G01540	2295.59493507445	-0.102540067885644	0.154286353485954	-0.66460879765999	0.506300740748015	0.718034862797352	0	not_DE
BPS1	AT1G01550	11126.1229050933	-0.0646521159427745	0.11568820613645	-0.558847942257138	0.576265499944807	0.767555785973678	0	not_DE
MPK11	AT1G01560	108.793867009793	1.19461359434536	0.570812843475882	2.09282886325915	0.0363644342705977	0.12941862767213	0	not_DE
AT1G01570	AT1G01570	232.699511916655	0.392379984680096	0.338992088570481	1.15749009463539	0.247072183922435	0.473259313484761	0	not_DE
FRO2	AT1G01580	5620.7017745294	3.7193623004685	1.10445943520298	3.36758615293548	0.000758293298803003	0.00654172022895934	1	DE
FRO1	AT1G01590	4.7149594052262	-0.200116673643259	2.71793270632585	-0.0736282665047218	0.941306178759163	0.975415210610878	0	not_DE
CYP86A4	AT1G01600	307.235950561016	0.386770369160823	0.328886585514225	1.17599922342863	0.239595186379604	0.464805814321284	0	not_DE
GPAT4	AT1G01610	4410.59372253372	0.390140118072376	0.172924125052925	2.25613469464119	0.0240621968969804	0.0957008657808439	0	not_DE
PIP1-3	AT1G01620	51296.7088367196	-1.17487190595036	0.139750512973646	-8.40692374540276	4.20904534059249e-17	7.40857236461187e-15	1	DE
AT1G01630	AT1G01630	1997.99161462115	0.121636749922228	0.160158484543332	0.759477403080187	0.447567026501015	0.671054998925782	0	not_DE
AT1G01640	AT1G01640	1444.05375734789	-0.749378776684096	0.163772199161492	-4.5757386206016	4.74542726546383e-06	9.14550108680059e-05	1	DE
SPPL4	AT1G01650	3221.27299961509	-0.346413896944667	0.148839050657568	-2.32743957593263	0.0199418814558675	0.083250663786896	0	not_DE
PUB55	AT1G01660	385.223093122575	-0.253773305570214	0.256269175902121	-0.990260747032409	0.322046687353894	0.554053044632333	0	not_DE
PUB56	AT1G01670	420.908381414137	-0.604623298780945	0.254724628114309	-2.37363502405279	0.0176139516214848	0.0761094773669	0	not_DE
PUB54	AT1G01680	27.4729216978256	1.08094086027678	0.877531859262254	1.23179671355242	0.218025031287133	0.43790149141138	0	not_DE
ATPRD3	AT1G01690	537.152146759835	0.319140419305572	0.232186962226917	1.37449758696475	0.169287258875113	0.373115560087198	0	not_DE
AT1G01695	AT1G01695	8.0752906652156	6.49546603200943	2.05426717425317	3.16193828797895	0.00156722773747968	0.01170189839106	1	DE
ROPGEF2	AT1G01700	55.2071320990133	0.712346348548389	0.604251560269162	1.1788903751131	0.238441830805944	0.46353255224998	0	not_DE
AT1G01710	AT1G01710	1721.9407300737	0.0395750532087699	0.158269492964236	0.250048524624469	0.802549823011459	0.908454121863639	0	not_DE
NAC002	AT1G01720	3563.62350829895	-0.597120864597332	0.155764563370944	-3.83348337821437	0.000126341341736741	0.00149178705432889	1	DE
AT1G01725	AT1G01725	300.317377092627	-0.486204016467334	0.307592422357983	-1.58067618421848	0.113952096500159	0.289385561249592	0	not_DE
AT1G01730	AT1G01730	1553.18955257708	-0.42719352056657	0.170656557348779	-2.50323531192237	0.0123063692573958	0.0582749573218831	0	not_DE
AT1G01740	AT1G01740	271.383684460315	0.236540286095829	0.316345739022683	0.74772711283103	0.454624773808758	0.676322486673764	0	not_DE
ADF10	AT1G01750	1350.23916378495	0.134604466530234	0.176626712168709	0.762084425835111	0.446009617425524	0.669692790190712	0	not_DE
AT1G01760	AT1G01760	233.521510269961	-1.07686600677148	0.326090771297516	-3.30235045440454	0.000958781976309488	0.00792793283105726	1	DE
AT1G01770	AT1G01770	1325.99524373367	-0.97296220280628	0.188491181342798	-5.16184468618089	2.44528136363563e-07	6.67973383323782e-06	1	DE
