	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
0	AT1G01010	NAC001	29.553286	37.466347	32.096344	27.184189	27.084663	27.573711
1	AT1G01020	ARV1	8.57297	6.990916	8.881124	9.735643	12.58624	12.995024
2	AT1G01030	NGA3	0.0	0.0	0.015648	0.133761	0.736438	0.627522
3	AT1G01040	DCL1	15.234024	13.534933	13.139325	12.206603	12.534683	9.838746
4	AT1G01046	MIR838A	8.24472	6.698549	3.658808	4.937976	4.951679	6.764284
5	AT1G01050	PPA1	94.228508	93.743637	98.345047	102.472794	87.417145	92.419334
6	AT1G01060	LHY	87.565071	193.976273	82.941147	59.788521	20.375475	69.797592
7	AT1G01070	AT1G01070	48.334606	37.391766	50.747562	20.195375	22.425457	19.781702
8	AT1G01073	AT1G01073	0.0	0.0	0.0	0.0	0.0	0.0
9	AT1G01080	AT1G01080	8.151363	7.018714	7.767655	12.261333	11.940549	11.50833
10	AT1G01090	PDH-E1 ALPHA	108.291756	97.693718	103.597977	126.498703	100.23719	113.094078
11	AT1G01100	RPP1A	397.13031	359.281891	420.144958	608.142578	440.536682	474.437469
12	AT1G01110	IQD18	6.633543	2.701998	4.932559	6.853017	6.051358	3.158332
13	AT1G01115	AT1G01115	0.0	0.0	0.0	0.0	0.0	0.0
14	AT1G01120	KCS1	29.654448	38.182011	19.96974	39.451099	48.923988	53.327808
15	AT1G01130	AT1G01130	4.433625	1.742279	3.762732	3.824882	4.448884	6.806003
16	AT1G01140	CIPK9	13.768653	12.246964	10.467315	8.229447	5.601045	8.037209
17	AT1G01150	AT1G01150	0.371357	0.0	0.504873	1.074288	0.704553	0.470976
18	AT1G01160	GIF2	33.82539	27.507219	40.012512	33.248436	30.087742	29.72858
19	AT1G01170	AT1G01170	41.527134	42.941292	39.359573	15.839127	35.700443	23.751436
20	AT1G01180	AT1G01180	27.639071	29.041098	22.581161	25.739422	23.026674	25.158373
21	AT1G01183	MIR165A	0.176232	1.303101	1.194455	2.141097	2.236858	0.0
22	AT1G01190	CYP78A8	10.849019	18.01992	15.997318	32.912472	33.772228	25.31633
23	AT1G01200	RABA3	3.057563	3.20059	4.473406	19.251799	12.343344	15.602771
24	AT1G01210	AT1G01210	23.755013	32.409912	21.222277	48.33749	34.122959	39.321224
25	AT1G01220	FKGP	9.111254	9.148099	8.473237	10.419592	7.728861	7.883875
26	AT1G01225	AT1G01225	6.588449	9.407656	6.378853	11.134707	9.690578	7.506447
27	AT1G01230	AT1G01230	69.198372	66.294891	60.492702	46.441399	59.223408	59.343357
28	AT1G01240	AT1G01240	40.440079	38.643761	48.319096	13.963627	22.83791	19.924086
29	AT1G01250	ERF023	0.0	0.0	0.0	0.0	0.0	0.0
30	AT1G01260	BHLH13	10.745907	8.169284	10.32777	11.353382	11.29707	12.275681
31	AT1G01270	AT1G01270	0.0	0.0	0.0	0.0	0.0	0.0
32	AT1G01280	CYP703A2	0.0	0.0	0.0	0.0	0.0	0.0
33	AT1G01290	CNX3	14.844986	15.240739	12.078249	23.480633	16.179901	18.224173
34	AT1G01300	AT1G01300	33.368271	34.936264	30.124578	70.514603	64.251442	46.577492
35	AT1G01305	AT1G01305	0.533684	0.0	0.0	0.0	0.0	0.0
36	AT1G01310	AT1G01310	0.0	0.433502	0.0	0.108307	0.628233	0.488084
37	AT1G01320	AT1G01320	6.376993	4.93258	6.29843	7.121715	7.603201	6.190998
38	AT1G01340	CNGC10	14.923774	16.997255	21.146271	14.117514	14.950239	16.659624
39	AT1G01350	AT1G01350	19.162649	23.5742	24.257801	29.163464	25.4881	25.909781
40	AT1G01355	AT1G01355	0.767987	3.153209	1.365695	1.191424	1.420921	0.0
41	AT1G01360	PYL9	30.810211	55.033211	35.092033	31.998243	30.569349	38.558422
42	AT1G01370	HTR12	7.957908	4.461843	13.936098	11.578069	11.928566	13.270682
43	AT1G01380	ETC1	6.440469	8.944697	1.769716	11.794761	7.361288	7.110393
44	AT1G01390	UGT72B2	0.0	0.0	0.0	0.0	0.0	0.0
45	AT1G01400	AT1G01400	0.0	0.0	0.0	0.0	0.0	0.0
46	AT1G01410	APUM22	0.0	0.0	0.0	0.0	0.0	0.0
47	AT1G01420	UGT72B3	1.177789	0.753438	1.180721	2.900322	2.605883	3.616781
48	AT1G01430	TBL25	28.246166	23.714964	20.760382	21.189232	27.412485	23.410374
49	AT1G01440	AT1G01440	15.819426	13.844055	13.664116	10.73279	11.410579	11.255408
50	AT1G01448	AT1G01448	7.245783	5.76215	8.631927	3.129288	7.293333	5.865485
51	AT1G01450	AT1G01450	0.0	0.0	0.0	0.0	0.0	0.0
52	AT1G01453	AT1G01453	2.025373	0.854845	1.125225	1.590327	1.51786	2.383821
53	AT1G01460	PIP5K10	0.245964	0.0	0.0	0.0	0.1361	0.0
54	AT1G01470	LEA14	54.330452	65.302437	65.119843	94.522743	121.725105	93.96785
55	AT1G01471	AT1G01471	0.0	0.0	0.0	0.0	0.0	0.0
