gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010	AT1G01010.1	23.81	30.08	26.56	22.93	20.83	21.02
AT1G01020	AT1G01020.1,AT1G01020.2	6.02	3.63	5.29	4.55	5.35	7.41
AT1G01030	AT1G01030.1	0.02	0.00	0.00	0.13	0.57	0.50
AT1G01040	AT1G01040.1,AT1G01040.2	10.69	9.93	9.72	9.04	9.02	7.14
AT1G01046	AT1G01046.1	1.23	0.00	0.00	0.00	0.00	0.00
AT1G01050	AT1G01050.1	91.04	91.95	98.30	100.01	84.03	82.10
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5	65.30	152.49	64.89	46.43	15.54	51.62
AT1G01070	AT1G01070.1,AT1G01070.2	39.85	32.29	43.25	17.36	20.11	18.73
AT1G01073	AT1G01073.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01080	AT1G01080.1,AT1G01080.2	7.26	6.19	6.95	10.98	10.28	9.68
AT1G01090	AT1G01090.1	88.25	79.01	83.77	99.64	78.91	92.63
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	471.41	446.99	510.62	734.88	508.99	539.72
AT1G01110	AT1G01110.1,AT1G01110.2	5.34	1.94	4.32	5.58	5.14	2.18
AT1G01115	AT1G01115.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01120	AT1G01120.1	25.15	33.07	17.57	33.41	40.63	44.40
AT1G01130	AT1G01130.1	2.78	0.00	3.10	3.29	5.22	6.45
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	11.48	11.02	9.16	6.96	4.35	6.15
AT1G01150	AT1G01150.1	0.15	0.00	0.52	0.60	0.37	0.40
AT1G01160	AT1G01160.1,AT1G01160.2	29.61	24.73	37.97	30.87	25.82	24.51
AT1G01170	AT1G01170.1,AT1G01170.2	65.01	68.92	59.93	23.90	53.36	35.35
AT1G01180	AT1G01180.1	24.90	25.16	20.35	21.31	20.01	23.61
AT1G01183	AT1G01183.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01190	AT1G01190.1	5.74	12.01	10.05	21.26	19.64	16.51
AT1G01200	AT1G01200.1	2.43	2.57	4.29	16.26	8.51	10.83
AT1G01210	AT1G01210.1	27.31	41.44	25.39	57.51	36.86	48.10
AT1G01220	AT1G01220.1	6.91	7.45	6.63	7.80	5.61	6.38
AT1G01225	AT1G01225.1	6.23	9.74	6.95	10.76	9.25	6.56
AT1G01230	AT1G01230.1	70.53	72.53	65.69	49.50	57.78	59.44
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3	35.73	37.94	44.56	12.84	19.96	17.33
AT1G01250	AT1G01250.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	7.40	6.84	7.24	7.97	7.70	8.72
AT1G01270	AT1G01270.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01280	AT1G01280.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01290	AT1G01290.1,AT1G01290.2	14.57	13.77	11.32	19.85	14.63	15.82
AT1G01300	AT1G01300.1	28.06	29.79	25.24	57.93	52.96	35.79
AT1G01305	AT1G01305.1	0.60	0.00	0.00	0.00	0.00	0.00
AT1G01310	AT1G01310.1	0.26	0.48	0.53	0.10	0.55	0.59
AT1G01320	AT1G01320.1,AT1G01320.2	4.51	3.87	4.77	5.35	5.33	4.30
AT1G01340	AT1G01340.1,AT1G01340.2	11.20	13.21	16.19	10.89	10.89	12.74
AT1G01350	AT1G01350.1	15.21	20.63	19.45	22.99	20.54	20.43
AT1G01355	AT1G01355.1	1.08	2.75	1.03	0.25	0.40	0.00
