gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010	NAC001	27.69032	33.454851	29.774686	25.134319	25.199388	24.778564
AT1G01020	ARV1	6.876284	3.67703	6.081795	5.771897	7.35967	9.493735
AT1G01030	NGA3	0.021851	0	0.012163	0.142094	0.884379	0.526019
AT1G01040	DCL1	11.708884	10.372913	10.264732	9.7531	10.130851	8.018347
AT1G01046	MIR838A	0.429811	0	0	0	0	0
AT1G01050	PPA1	98.876086	97.116794	100.476868	106.753803	93.720885	90.778785
AT1G01060	LHY	73.569102	162.852451	68.019658	49.638247	17.76738	57.205222
AT1G01070	AT1G01070	46.570369	34.969554	48.573761	18.908571	22.567108	20.696012
AT1G01073	AT1G01073	0	0	0	0	0	0
AT1G01080	AT1G01080	7.87642	6.394202	7.61464	11.464148	11.272576	10.772848
AT1G01090	PDH-E1	102.715648	89.873999	94.408417	113.564011	94.972981	106.699911
AT1G01100	RPP1A	533.083547	476.460118	551.70198	800.962474	587.24435	620.634521
AT1G01110	IQD18	5.538328	1.903451	4.108778	5.669464	5.388682	2.338197
AT1G01115	AT1G01115	0	0	0	0	0	0
AT1G01120	KCS1	27.929064	34.642052	18.323541	35.653534	45.219577	48.582368
AT1G01130	AT1G01130	2.631787	0	2.983345	3.13741	5.012265	6.359398
AT1G01140	CIPK9	12.728629	11.378485	9.43722	7.285862	4.847637	7.043007
AT1G01150	AT1G01150	0.156674	0	0.523146	0.646642	0.402514	0.427515
AT1G01160	GIF2	32.796244	26.314942	40.251769	32.888962	29.596492	28.06178
AT1G01170	AT1G01170	70.897146	71.231289	65.639012	23.442431	57.13243	37.226536
AT1G01180	AT1G01180	29.165842	29.728042	23.177928	25.941866	23.281299	26.135095
AT1G01183	MIR165A	0	0	0	0	0	0
AT1G01190	CYP78A8	6.906943	12.468423	10.182508	22.424848	22.454013	17.904338
AT1G01200	RABA3	2.98868	3.134535	4.406959	20.061641	10.623547	14.249424
AT1G01210	AT1G01210	29.66817	43.112821	25.589679	61.347927	42.063656	52.420343
AT1G01220	FKGP	7.375264	7.602163	6.82384	8.537136	6.160386	6.933474
AT1G01225	AT1G01225	6.86337	10.270215	7.062819	11.900646	10.098919	7.303292
AT1G01230	AT1G01230	80.7126	77.245835	68.360274	53.896031	67.89434	64.863875
AT1G01240	AT1G01240	40.586182	40.306464	46.72274	13.85148	22.866948	19.311938
AT1G01250	ERF023	0	0	0	0	0	0
AT1G01260	BHLH13	9.246957	7.367764	8.924668	10.023498	9.816753	10.677506
AT1G01270	AT1G01270	0	0	0	0	0	0
AT1G01280	CYP703A2	0	0	0	0	0	0
