gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	sham11_ssal	sham12_ssal	sham21_ssal	sham22_ssal	sham31_ssal	sham32_ssal	sbs11_ssal	sbs12_ssal	sbs21_ssal	sbs22_ssal	sbs31_ssal	sbs32_ssal	transcript_id(s)	sham11_srsem	sham12_srsem	sham21_srsem	sham22_srsem	sham31_srsem	sham32_srsem	sbs11_srsem	sbs12_srsem	sbs21_srsem	sbs22_srsem	sbs31_srsem	sbs32_srsem	sham11_sfc	sham12_sfc	sham21_sfc	sham22_sfc	sham31_sfc	sham32_sfc	sbs11_sfc	sbs12_sfc	sbs21_sfc	sbs22_sfc	sbs31_sfc	sbs32_sfc	sham11_hfc	sham12_hfc	sham21_hfc	sham22_hfc	sham31_hfc	sham32_hfc	sbs11_hfc	sbs12_hfc	sbs21_hfc	sbs22_hfc	sbs31_hfc	sbs32_hfc	sham11_psal	sham12_psal	sham21_psal	sham22_psal	sham31_psal	sham32_psal	sbs11_psal	sbs12_psal	sbs21_psal	sbs22_psal	sbs31_psal	sbs32_psal
ERCC-00130	30000.0	7500.0	1725.55414	1692.17026	1439.280265	1421.326064	1661.024063	1604.477491	896.229223	896.235852	851.620143	828.923982	1206.182174	1178.306803	EF011072	2043.51	1984.82	1700.19	1660.6	1993.52	1907.01	1074.76	1074.76	1008.78	975.26	1440.31	1402.63	1870.03894	1842.180054	1556.057129	1547.381226	1842.126953	1788.321533	958.003418	958.003418	924.282104	902.42627	1326.234863	1301.373779	2185.712402	2135.121094	1834.330811	1801.136841	2150.42627	2070.25415	1109.71936	1109.813721	1080.378662	1048.594971	1536.041992	1499.608398	1787.103051	1750.573562	1496.764864	1474.081134	1716.14077	1654.303718	919.790661	919.790667	878.609961	852.464672	1232.672191	1206.619099
ERCC-00004	7500.0	1875.0	1276.44459	1245.341622	1358.284129	1266.69842	1265.358757	1197.484125	777.965281	777.971036	792.036676	733.681826	1041.427744	991.433078	DQ516752	1126.19	1084.28	1188.66	1093.94	1128.53	1061.23	689.73	689.73	697.1	640.39	930.22	876.89	947.501038	929.041077	1006.338684	945.098267	961.212402	919.640381	569.268494	569.268494	589.009216	547.519165	784.645386	751.135437	1113.016724	1077.665527	1180.807373	1100.375854	1124.103149	1065.658447	660.222778	660.27887	691.592285	636.519836	920.307068	865.691162	1408.94395	1375.391176	1495.710901	1399.898834	1390.052882	1324.573195	852.379284	852.379289	872.286105	804.706952	1141.80277	1082.883667
ERCC-00136	1875.0	468.75	86.476011	83.157354	82.07374	74.462929	86.72633	84.900016	38.60235	38.602636	41.259965	38.579391	59.726298	60.550202	EF011063	104.38	97.57	99.85	86.41	104.65	100.95	46.67	46.67	50.28	45.2	71.71	72.22	92.885658	89.577568	88.029343	80.362946	95.177696	93.739059	41.041321	41.041321	44.372639	41.577694	65.03405	66.262825	109.841866	103.993942	106.678642	93.333755	111.181526	108.890182	48.273956	48.278057	52.910545	48.316425	75.596397	76.50666	90.830562	86.018851	86.945441	77.028608	89.276157	87.767095	39.271754	39.271754	43.203041	39.524981	60.612123	62.107454
ERCC-00108	937.5	234.375	85.579699	79.39115	73.721905	67.628085	80.637395	72.907676	40.289983	40.290281	40.11144	36.92658	56.760119	50.743935	DQ668365	100.83	92.78	89.09	78.21	98.47	86.64	48.81	48.81	47.59	43.35	69.61	60.27	91.411629	85.307266	78.791565	72.629967	88.266426	80.195	42.575539	42.575539	42.957195	39.673584	61.566048	55.352169	106.869133	98.788818	94.175354	84.259583	104.313873	92.694618	49.5116	49.515808	50.661217	45.960514	73.144218	63.659473	88.247476	82.750809	78.312602	70.442877	84.549463	75.587135	41.840187	41.840188	41.418302	38.155905	60.226763	52.043667
ERCC-00116	468.75	117.1875	2.798912	1.925814	1.527946	1.931156	1.609335	2.293851	1.303132	1.303142	0.80847	0.915607	1.214282	1.372549	DQ668367	3.74	2.5	1.93	2.52	2.23	3.07	1.9	1.9	1.13	1.18	1.72	1.83	3.469639	2.403315	1.887793	2.413778	2.041715	2.926863	1.605995	1.605995	1.003164	1.141337	1.527476	1.737055	4.059028	2.793782	2.117007	2.84043	2.450552	3.414477	1.965241	1.965408	1.217848	1.315246	1.878662	2.023593	2.827848	1.975812	1.558678	1.986908	1.668659	2.344453	1.371381	1.371381	0.845568	0.932381	1.283315	1.394025
ERCC-00092	234.375	58.59375	18.022825	20.383034	17.941547	15.700132	18.243808	18.158328	12.141771	12.141861	8.435772	9.484181	11.727705	12.797939	DQ459425	21.24	24.35	21.2	18.64	22.4	21.95	14.95	14.95	10.45	11.43	13.92	15.56	19.850023	22.623442	19.748701	17.415947	20.605597	20.617853	13.237955	13.237955	9.341813	10.530772	13.0702	14.406237	23.234739	26.235205	23.226896	20.371347	23.990908	23.917587	15.541744	15.543064	11.113291	12.329283	14.691323	16.71982	18.691062	21.097765	18.562935	16.301595	18.810363	18.792386	12.614574	12.614574	8.875911	9.773709	11.71824	13.106332
ERCC-00095	117.1875	29.296875	16.099446	18.310728	15.757374	15.63412	17.106245	16.42507	9.992126	9.9922	7.419857	8.235058	9.928519	14.070864	DQ516759	13.26	15.92	12.76	13.55	14.95	14.66	8.9	8.9	6.71	7.04	9.21	12.32	11.863288	13.575558	11.605554	11.644396	12.958932	12.474974	7.27247	7.27247	5.506337	6.115224	7.439162	10.560137	13.214399	15.805874	12.670917	13.529106	15.150822	14.569727	8.402684	8.403399	6.669841	7.157469	8.918493	12.131328	17.379674	20.00569	17.037474	17.285455	18.772967	17.955457	10.994502	10.994502	8.339255	9.011516	11.275739	15.152386
ERCC-00131	117.1875	29.296875	18.70597	17.976214	13.973941	15.319908	18.969094	18.484429	8.147338	8.147398	9.520014	8.821959	14.386417	11.417655	DQ855003	20.31	19.11	13.64	16.47	20.68	20.0	8.57	8.57	10.69	9.53	15.8	12.45	17.981293	17.308256	13.352631	14.754568	18.58099	18.252844	7.679777	7.679777	9.160502	8.493773	14.003276	11.151308	21.094103	20.031195	15.050171	17.188171	21.889118	21.190649	8.592781	8.593512	11.110849	9.944017	16.514877	12.861986	19.323097	18.906969	14.226463	16.146929	20.200169	19.469766	8.262468	8.262468	10.305776	9.298388	15.333579	11.848796
ERCC-00062	58.59375	14.6484375	5.497576	5.436261	4.165831	5.905382	5.469923	4.655104	3.976448	3.976477	2.427851	2.921434	3.149261	3.387322	DQ516786	6.53	6.26	5.07	6.93	6.37	5.42	4.57	4.57	2.94	3.4	3.91	3.94	5.87832	5.850532	4.453404	6.370637	5.993475	5.109392	4.20625	4.20625	2.601943	3.13772	3.425533	3.694276	6.912188	6.766514	5.231116	7.491533	6.87062	5.912427	4.773591	4.773996	3.043526	3.671363	4.102176	4.255976	5.698608	5.622913	4.372206	6.191318	5.744507	4.8482	4.061164	4.061164	2.587507	3.031482	3.391539	3.505694
ERCC-00019	29.296875	7.32421875	3.595285	3.063511	3.375831	3.330091	3.749595	3.959386	1.671752	1.671764	2.211519	1.955503	2.11374	2.580849	DQ883651	3.73	2.98	3.53	3.36	3.67	3.94	1.85	1.85	2.36	1.91	2.35	2.65	3.108121	2.659963	2.926431	2.887783	3.327156	3.5332	1.418298	1.418298	1.934652	1.696111	1.857414	2.286148	3.657287	3.114645	3.674735	3.395875	3.918056	4.079121	1.735558	1.735705	2.353499	1.919987	2.281076	2.65435	3.855698	3.313581	3.832277	3.61213	4.174661	4.209413	1.854764	1.854764	2.438498	2.026981	2.355115	2.763454
