task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	05/1b7af8	697900	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-01-12 13:50:34.155	4s	0ms	91.4%	6.2 MB	30.2 MB	1.4 MB	1.7 KB
1	df/e88bbc	697902	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (danio_ercc.gtf)	COMPLETED	0	2023-01-12 13:50:34.329	18.8s	11s	75.7%	1.7 GB	1.7 GB	562.9 MB	12 MB
3	a6/ec8fbf	697901	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (danio_ercc.fasta)	COMPLETED	0	2023-01-12 13:50:34.206	28.9s	22s	37.9%	5.7 MB	26.8 MB	1.6 GB	117 KB
2	51/c626fa	697899	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (danio_ercc.fasta)	COMPLETED	0	2023-01-12 13:50:34.089	49s	36s	26.6%	715.5 MB	739.5 MB	2.1 GB	562.7 MB
17	8c/1ebd5b	697907	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655797)	COMPLETED	0	2023-01-12 13:50:38.333	1m 10s	1m 1s	94.3%	1.1 GB	4.3 GB	922.5 MB	1.9 MB
6	5e/a51e3d	697908	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655791)	COMPLETED	0	2023-01-12 13:50:38.421	1m 10s	1m 2s	95.4%	1005.7 MB	4.2 GB	943.6 MB	1.9 MB
20	ff/9bffbe	697912	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655799)	COMPLETED	0	2023-01-12 13:50:38.779	1m 9s	59s	95.0%	2.8 MB	11 MB	925.3 MB	1.9 MB
10	b5/ed11b2	697910	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655793)	COMPLETED	0	2023-01-12 13:50:38.620	1m 15s	1m 2s	95.5%	2.9 MB	11 MB	907.7 MB	1.8 MB
14	a9/c306e0	697913	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655795)	COMPLETED	0	2023-01-12 13:50:38.846	1m 19s	1m 4s	95.3%	2.9 MB	11 MB	982.5 MB	1.8 MB
19	f0/82a19d	697917	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655798)	COMPLETED	0	2023-01-12 13:50:39.298	1m 29s	59s	95.4%	1002.4 MB	4.2 GB	922.5 MB	1.9 MB
