task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	d8/453ee0	686788	output_documentation	COMPLETED	0	2023-01-09 15:56:28.654	4.4s	1.1s	42.3%	4 MB	60.9 MB	5.8 MB	32.3 KB
2	ae/cf29c9	686770	makeBED12 (danio_ercc.gtf)	COMPLETED	0	2023-01-09 15:56:26.652	16.3s	10.9s	97.9%	1.7 GB	1.7 GB	562.8 MB	12 MB
1	31/5bab86	686778	get_software_versions	COMPLETED	0	2023-01-09 15:56:27.447	15.5s	7.3s	91.0%	74.5 MB	3.6 GB	86.6 MB	10.1 KB
4	c4/ee5961	686764	fastqc (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-09 15:56:24.220	1m 14s	1m 9s	100.4%	424.7 MB	3.2 GB	939.1 MB	1.9 MB
10	71/9be513	686766	fastqc (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-09 15:56:26.358	1m 12s	1m 5s	102.3%	396.1 MB	3.2 GB	918.1 MB	1.9 MB
15	fe/923818	686765	fastqc (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-09 15:56:24.552	1m 18s	1m 11s	101.4%	398.6 MB	3.1 GB	977.8 MB	1.8 MB
7	1c/fb5a3e	686767	fastqc (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-09 15:56:26.454	1m 17s	1m 11s	103.1%	393.8 MB	3.2 GB	903.4 MB	1.8 MB
8	6c/5649b9	686768	fastqc (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-09 15:56:26.554	1m 16s	1m 13s	102.5%	443.9 MB	3.3 GB	929.3 MB	1.9 MB
12	e5/3450b2	686769	fastqc (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-09 15:56:26.569	1m 21s	1m 16s	102.1%	397.9 MB	3.2 GB	917.9 MB	1.9 MB
13	bc/4e7f1a	686782	fastqc (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-09 15:56:27.955	2m 10s	2m 3s	71.5%	474 MB	3.2 GB	920.9 MB	1.9 MB
5	74/27600b	686772	fastqc (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-09 15:56:26.851	2m 26s	2m 23s	100.7%	477.2 MB	3.2 GB	1.7 GB	1.8 MB
14	fa/d1e39e	686763	fastqc (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-09 15:56:23.671	2m 34s	2m 27s	99.9%	399.7 MB	3.2 GB	1.8 GB	1.8 MB
11	6f/8283e5	686771	fastqc (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-09 15:56:26.744	2m 41s	2m 35s	100.9%	397.3 MB	3.2 GB	1.8 GB	1.8 MB
9	de/135d01	686761	fastqc (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-09 15:56:23.483	2m 49s	2m 47s	99.7%	404.1 MB	3.2 GB	1.8 GB	1.8 MB
6	e0/4b23dc	686775	fastqc (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-09 15:56:27.059	4m 46s	4m 41s	72.8%	403.3 MB	3.2 GB	1.8 GB	1.8 MB
19	a6/eac1d8	686781	trim_galore (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-09 15:56:27.850	6m 20s	6m 11s	147.6%	296.2 MB	3 GB	11.2 GB	10.3 GB
24	bb/4e2782	686776	trim_galore (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-09 15:56:27.158	6m 26s	6m 22s	151.3%	275.7 MB	3 GB	11.6 GB	10.6 GB
22	64/36d28d	686779	trim_galore (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-09 15:56:27.538	6m 30s	6m 21s	152.5%	286 MB	3 GB	11.6 GB	10.6 GB
20	e2/4393e6	686785	trim_galore (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-09 15:56:28.339	6m 31s	6m 23s	147.3%	233.2 MB	3 GB	11.6 GB	10.7 GB
16	ae/b1cac4	686774	trim_galore (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-09 15:56:27.004	6m 36s	6m 29s	148.1%	228 MB	3 GB	11.9 GB	11 GB
25	5c/1f3083	686784	trim_galore (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-09 15:56:28.153	6m 35s	6m 26s	148.0%	231.2 MB	3 GB	11.8 GB	10.8 GB
27	27/e9cbaa	686773	trim_galore (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-09 15:56:26.922	6m 46s	6m 42s	148.3%	233.3 MB	3 GB	12.5 GB	11.4 GB
17	f8/fff56c	686787	trim_galore (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-09 15:56:28.547	13m 9s	13m 1s	152.9%	231.3 MB	3 GB	26.3 GB	24.6 GB
26	48/89d1a2	686783	trim_galore (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-09 15:56:28.097	13m 30s	13m 21s	154.5%	230.3 MB	3 GB	27.5 GB	25.7 GB
23	03/2e2825	686780	trim_galore (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-09 15:56:27.712	13m 45s	13m 38s	154.8%	230.6 MB	3 GB	28.2 GB	26.4 GB
18	9b/3c5f06	686777	trim_galore (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-09 15:56:27.347	13m 56s	13m 46s	154.7%	236.3 MB	3 GB	28.8 GB	26.9 GB
21	18/19d00e	686786	trim_galore (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-09 15:56:28.437	14m	13m 51s	155.3%	234.1 MB	3 GB	28.6 GB	26.7 GB
3	fc/7e854d	686762	makeSTARindex (danio_ercc.fasta)	COMPLETED	0	2023-01-09 15:56:23.571	18m 29s	18m 10s	620.0%	43.2 GB	54.3 GB	29.2 GB	41.8 GB
33	33/abf6ea	686829	star (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-09 16:14:54.337	5m 9s	5m	484.9%	23.9 GB	25.7 GB	33.6 GB	7.7 GB
30	39/245504	686820	star (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-09 16:14:53.404	5m 20s	5m 12s	496.4%	23.9 GB	25.7 GB	33.7 GB	8.1 GB
34	ec/5f436c	686823	star (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-09 16:14:53.713	5m 19s	5m 13s	490.4%	23.9 GB	25.8 GB	34 GB	8.2 GB
35	66/102ec1	686827	star (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-09 16:14:54.155	5m 19s	5m 14s	506.7%	23.9 GB	25.7 GB	34.5 GB	8.1 GB
32	ba/c12a6b	686826	star (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-09 16:14:54.061	5m 24s	5m 19s	524.3%	23.9 GB	25.8 GB	33.4 GB	7.7 GB
31	28/6c5468	686830	star (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-09 16:14:54.425	5m 24s	5m 17s	495.1%	23.9 GB	25.8 GB	33.7 GB	8.1 GB
