task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	bf/a90dde	1556697	get_software_versions	COMPLETED	0	2021-09-28 14:16:59.122	28.6s	11.9s	97.9%	63.2 MB	3.6 GB	86.6 MB	10.1 KB
3	ed/c542bf	1556690	makeHisatSplicesites (genes.gtf)	COMPLETED	0	2021-09-28 14:16:58.492	34.2s	28.4s	89.1%	367.2 MB	402.4 MB	875 MB	8.6 MB
2	87/da509a	1556695	makeBED12 (genes.gtf)	COMPLETED	0	2021-09-28 14:16:59.045	1m 14s	35.6s	97.0%	2.7 GB	2.7 GB	873.8 MB	24.5 MB
19	46/ba8cac	1556710	output_documentation	COMPLETED	0	2021-09-28 14:16:59.834	1m 48s	1.1s	66.8%	1.8 MB	61.5 MB	5.8 MB	32.3 KB
4	d9/e175d3	1556696	fastqc (SRR950087)	COMPLETED	0	2021-09-28 14:16:59.090	10m 59s	10m 22s	164.3%	460.9 MB	3.3 GB	10.4 GB	3.9 MB
16	85/0ee246	1556705	fastqc (SRR950082)	COMPLETED	0	2021-09-28 14:16:59.608	12m 48s	11m 31s	162.2%	453 MB	3.3 GB	11.4 GB	4 MB
14	c8/998f92	1556704	fastqc (SRR950086)	COMPLETED	0	2021-09-28 14:16:59.518	13m 3s	11m 47s	167.6%	514.3 MB	3.3 GB	12.4 GB	3.9 MB
25	b8/d3bc24	1556714	makeHISATindex (genome.fa)	COMPLETED	0	2021-09-28 14:17:32.785	13m	12m 49s	306.5%	17.5 GB	19.7 GB	16.5 GB	14.7 GB
5	f7/fdebd0	1556692	fastqc (SRR950080)	COMPLETED	0	2021-09-28 14:16:58.906	14m 44s	14m 42s	167.8%	543.4 MB	3.3 GB	15.8 GB	3.9 MB
15	8e/49930b	1556703	fastqc (SRR950078)	COMPLETED	0	2021-09-28 14:16:59.451	17m 13s	16m 27s	170.6%	465.9 MB	3.3 GB	17.2 GB	3.9 MB
23	15/6bac7e	1556712	fastqc (SRR950085)	COMPLETED	0	2021-09-28 14:16:59.972	18m 18s	16m 7s	163.5%	537.1 MB	3.4 GB	16.2 GB	3.9 MB
6	b1/94127b	1556693	fastqc (SRR950079)	COMPLETED	0	2021-09-28 14:16:58.957	18m 59s	18m 56s	160.2%	548.6 MB	3.3 GB	18.9 GB	4 MB
7	b7/61cedd	1556694	fastqc (SRR950083)	COMPLETED	0	2021-09-28 14:16:58.995	19m 39s	19m 20s	159.1%	526.9 MB	3.3 GB	19.4 GB	3.9 MB
13	61/38b7f7	1556702	fastqc (SRR950084)	COMPLETED	0	2021-09-28 14:16:59.389	21m 39s	20m 52s	162.8%	524.5 MB	3.3 GB	21.4 GB	3.9 MB
22	4d/73d190	1556711	fastqc (SRR950081)	COMPLETED	0	2021-09-28 14:16:59.909	21m 58s	20m 11s	158.7%	538.8 MB	3.4 GB	19.4 GB	3.9 MB
8	21/d1b1e5	1556700	trim_galore (SRR950087)	COMPLETED	0	2021-09-28 14:16:59.243	1h 29m 40s	1h 28m 37s	181.3%	246.6 MB	3 GB	187.7 GB	177.2 GB
20	9c/8b8cb3	1556708	trim_galore (SRR950082)	COMPLETED	0	2021-09-28 14:16:59.737	1h 33m 40s	1h 31m 41s	184.4%	247.5 MB	3 GB	197.3 GB	185.8 GB
17	7b/e503d4	1556706	trim_galore (SRR950086)	COMPLETED	0	2021-09-28 14:16:59.662	1h 46m 20s	1h 44m 51s	180.3%	308.2 MB	3.1 GB	221.2 GB	208.6 GB
26	22/c6954c	1558344	hisat2Align (SRR950087)	COMPLETED	0	2021-09-28 15:46:39.777	19m	18m 46s	879.1%	4.3 GB	5.1 GB	70.7 GB	48.2 GB
27	3b/52f778	1558352	hisat2Align (SRR950082)	COMPLETED	0	2021-09-28 15:50:39.794	21m 5s	20m 51s	911.5%	4.3 GB	5 GB	72 GB	49.4 GB
29	e4/2e1739	1558419	hisat2_sortOutput (SRR950087_1)	COMPLETED	0	2021-09-28 16:05:40.044	6m 20s	6m 8s	324.2%	24.8 GB	26.2 GB	23.4 GB	13 GB
32	b3/46f02a	1558614	qualimap (SRR950087_1.sorted)	COMPLETED	0	2021-09-28 16:12:00.091	5m 20s	5m 14s	98.7%	10.7 GB	19.6 GB	7.9 GB	340.2 KB
30	ff/df4165	1558609	hisat2_sortOutput (SRR950082_1)	COMPLETED	0	2021-09-28 16:11:44.992	8m 10s	8m 1s	271.6%	24.8 GB	26.2 GB	23.4 GB	13 GB
31	19/50dae5	1558613	stringtieFPKM (SRR950087_1)	COMPLETED	0	2021-09-28 16:12:00.056	8m 35s	8m 29s	108.0%	1.3 GB	1.4 GB	8.1 GB	616.4 MB
41	e5/429339	1558665	qualimap (SRR950082_1.sorted)	COMPLETED	0	2021-09-28 16:19:55.290	5m 5s	4m 42s	106.8%	10.7 GB	19.6 GB	7.8 GB	340.3 KB
