task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	e8/55a660	2420957	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheetSRX.csv)	COMPLETED	0	2022-06-17 15:52:42.824	4.1s	1s	98.8%	3.6 MB	30.4 MB	1.4 MB	2.4 KB
3	e7/a3757d	2420958	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa)	COMPLETED	0	2022-06-17 15:52:42.870	19s	17s	82.2%	2.3 MB	26.6 MB	2.9 GB	5.7 KB
2	2d/0ce5d3	2420955	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa)	COMPLETED	0	2022-06-17 15:52:42.733	39.1s	33s	70.1%	1.1 GB	1.1 GB	3.8 GB	799.5 MB
1	a9/c743d9	2420956	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2022-06-17 15:52:42.785	39.1s	35s	96.9%	2.7 GB	2.7 GB	873.9 MB	24.5 MB
25	ee/87311d	2420979	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/genome.fa)	COMPLETED	0	2022-06-17 15:53:21.998	59.9s	46s	94.5%	1.2 MB	11 MB	4 GB	1.2 GB
19	00/173d31	2420972	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B5)	COMPLETED	0	2022-06-17 15:52:47.640	9m 34s	9m 25s	155.8%	1.2 GB	4.4 GB	9.7 GB	3.9 MB
12	46/cc0035	2420959	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A3)	COMPLETED	0	2022-06-17 15:52:47.101	10m 5s	10m	154.9%	1.2 GB	4.4 GB	10.6 GB	4 MB
14	72/05a21f	2420962	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A5)	COMPLETED	0	2022-06-17 15:52:47.251	10m 35s	10m 29s	160.1%	1.1 GB	4.4 GB	11.6 GB	3.9 MB
11	6a/efabb1	2420963	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A2)	COMPLETED	0	2022-06-17 15:52:47.282	12m 50s	12m 44s	166.0%	1.1 GB	4.4 GB	14.7 GB	3.9 MB
18	25/a915c5	2420970	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B4)	COMPLETED	0	2022-06-17 15:52:47.569	13m 9s	13m 4s	165.5%	1.2 GB	4.4 GB	15.1 GB	3.9 MB
