task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	71/be4555	1546078	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2021-09-27 10:04:26.737	7.6s	1s	76.7%	3.8 MB	30.4 MB	1.4 MB	1.9 KB
2	89/b3e639	1546081	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa)	COMPLETED	0	2021-09-27 10:04:26.986	22.4s	17s	77.8%	2.3 MB	26.6 MB	2.9 GB	5.7 KB
4	30/ba3279	1546079	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa)	COMPLETED	0	2021-09-27 10:04:26.832	42.5s	34s	68.2%	1.1 GB	1.1 GB	3.8 GB	799.5 MB
1	3c/9e62d0	1546080	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2021-09-27 10:04:26.908	42.5s	35s	97.0%	2.7 GB	2.7 GB	873.9 MB	24.5 MB
26	be/4d1b8d	1546103	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/genome.fa)	COMPLETED	0	2021-09-27 10:05:09.695	59.7s	46s	94.7%	1.1 GB	1.4 GB	4 GB	1.2 GB
19	a6/4b5de9	1546094	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B5)	COMPLETED	0	2021-09-27 10:04:36.178	8m 48s	8m 42s	171.4%	1.1 GB	4.4 GB	10.4 GB	3.9 MB
6	ba/797fc9	1546085	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A3)	COMPLETED	0	2021-09-27 10:04:35.260	10m 4s	9m 57s	167.6%	1.1 GB	4.4 GB	11.4 GB	4 MB
14	7e/32b8da	1546090	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A5)	COMPLETED	0	2021-09-27 10:04:35.904	11m 4s	10m 57s	163.4%	1.1 GB	4.4 GB	12.4 GB	3.9 MB
13	3a/b7120c	1546086	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A2)	COMPLETED	0	2021-09-27 10:04:35.397	13m 49s	13m 45s	166.3%	1.1 GB	4.4 GB	15.8 GB	3.9 MB
8	34/003bfe	1546083	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A1)	COMPLETED	0	2021-09-27 10:04:34.878	14m 10s	14m 5s	173.5%	1.1 GB	4.4 GB	17.2 GB	3.9 MB
18	21/b2e865	1546095	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B4)	COMPLETED	0	2021-09-27 10:04:36.226	14m 48s	14m 42s	160.0%	1.1 GB	4.4 GB	16.2 GB	3.9 MB
15	03/ae856f	1546087	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B1)	COMPLETED	0	2021-09-27 10:04:35.635	16m 34s	16m 25s	164.1%	1.1 GB	4.4 GB	18.9 GB	4 MB
17	a6/402e35	1546088	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B3)	COMPLETED	0	2021-09-27 10:04:35.730	16m 39s	16m 32s	167.7%	1.1 GB	4.4 GB	19.4 GB	3.9 MB
16	3a/193a77	1546089	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B2)	COMPLETED	0	2021-09-27 10:04:35.840	16m 49s	16m 43s	165.2%	1.1 GB	4.4 GB	19.4 GB	3.9 MB
7	bf/7583ee	1546084	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A4)	COMPLETED	0	2021-09-27 10:04:35.127	18m 29s	18m 24s	163.7%	1.1 GB	4.4 GB	21.4 GB	3.9 MB
5	e0/da31fe	1546082	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome.fa)	COMPLETED	0	2021-09-27 10:04:27.041	25m 33s	24m 59s	582.5%	68.4 GB	83.3 GB	53.1 GB	69.7 GB
25	50/a579ea	1546100	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B5)	COMPLETED	0	2021-09-27 10:04:36.822	31m 43s	31m 17s	494.9%	3.1 GB	3.9 GB	257.6 GB	247.1 GB
