Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
A1	81.52413718186263	75850601	59.367759860917175	47.0	97.0721275031272	18.181818181818183	93040667.0						
A1_1			57.9819658905518	47.0	94.69204518922892	18.181818181818183	93040667.0	58.77358433198186	47.0	101.0	36.36363636363637	100387010.0	11.646015734703145
A1_2								59.349691307581914	47.0	101.0	18.181818181818183	100387010.0	5.711355562047242
A2	81.8499220004554	68996739	56.907134261926714	48.0	96.94640662215672	18.181818181818183	84296646.0						
A2_1			56.28125919102308	48.0	94.71254794645091	18.181818181818183	84296646.0	57.75374281580652	48.0	101.0	45.45454545454545	91781477.0	12.309497032956674
A2_2								56.8067407730793	48.0	101.0	18.181818181818183	91781477.0	6.860252056486667
A3	80.88992848852773	46382649	53.91003676205526	48.0	96.6505342040392	18.181818181818183	57340450.0						
A3_1			53.259846857523065	48.0	94.48400404949734	18.181818181818183	57340450.0	57.17872933571556	47.0	101.0	36.36363636363637	67207757.0	18.367024284867817
A3_2								53.14748574721611	48.0	101.0	18.181818181818183	67207757.0	13.456407986057354
A4	82.24399670905993	93123592	60.403137104744694	47.0	96.89646038300431	18.181818181818183	113228437.0						
A4_1			59.453179979969	47.0	94.51113557277135	18.181818181818183	113228437.0	61.22387360656262	47.0	101.0	45.45454545454545	125083194.0	13.706154775930035
A4_2								60.07704283567704	47.0	101.0	18.181818181818183	125083194.0	8.269297508939975
A5	85.22748553532709	56892327	52.297224198008166	48.0	96.5899771513094	18.181818181818183	66753497.0						
A5_1			51.34720849575522	48.0	94.2835527552961	18.181818181818183	66753497.0	52.49976695304483	49.0	101.0	36.36363636363637	71765617.0	11.623150668486844
A5_2								52.67948014092987	49.0	101.0	18.181818181818183	71765617.0	6.042055426675484
B1	81.34253506895777	80988329	56.32418922492811	47.0	97.0066510620497	18.181818181818183	99564550.0						
B1_1			55.46031255076572	47.0	94.6155773114025	18.181818181818183	99564550.0	57.68651708894799	47.0	101.0	45.45454545454545	111037701.0	14.437029574912819
B1_2								56.16166678312606	47.0	101.0	27.27272727272727	111037701.0	8.874742462472273
B2	81.48088660006468	84398863	57.30670112236644	48.0	96.77854537647231	18.181818181818183	103581179.0						
B2_1			56.424053861471585	48.0	94.3967410720436	18.181818181818183	103581179.0	57.660350615291975	48.0	101.0	36.36363636363637	112427764.0	12.309833991638303
B2_2								57.46322709205099	48.0	101.0	18.181818181818183	112427764.0	6.658544928651096
B3	80.94983867983193	83468771	58.17265977380419	47.0	96.82632703634465	18.181818181818183	103111720.0						
B3_1			57.33773085572897	47.0	94.38461055639456	18.181818181818183	103111720.0	58.707180814628835	47.0	101.0	45.45454545454545	113161956.0	13.151284187543183
B3_2								58.05146517534136	47.0	101.0	18.181818181818183	113161956.0	7.373977005011636
B4	81.0989993971986	70278011	54.90247330564183	47.0	96.92860373077725	18.181818181818183	86657063.0						
B4_1			53.99085790708034	47.0	94.58360620876338	18.181818181818183	86657063.0	55.42143886381971	48.0	101.0	45.45454545454545	94186894.0	12.273833485424698
B4_2								54.81407767879832	48.0	101.0	18.181818181818183	94186894.0	6.7998192661034516
B5	83.8514706582928	47664587	49.099700415434654	48.0	96.96643966438151	9.090909090909092	56844068.0						
B5_1			48.05649361665267	48.0	94.83088117479558	9.090909090909092	56844068.0	48.93344519090485	48.0	101.0	18.181818181818183	60599733.0	10.482896430459112
B5_2								49.490798066717055	48.0	101.0	9.090909090909092	60599733.0	5.16421114976997
