Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
A1	1.4.0	none	vb	[]	1	['IU']	1001	154.80010092038034	46.043290424367996	False	False	4096	mapping	False	194979	26	559535	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	93040667	75850601	4593596	370253	6008359	39139379	81.52413718186263	quant	Fri Jun 17 16:44:20 2022	Fri Jun 17 17:04:10 2022
A2	1.4.0	none	vb	[]	1	['IU']	1001	167.40919338241036	52.15813209173071	False	False	4096	mapping	False	194979	26	589862	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	84296646	68996739	4204822	349257	5496084	35285041	81.8499220004554	quant	Fri Jun 17 16:40:00 2022	Fri Jun 17 16:57:49 2022
A3	1.4.0	none	vb	[]	1	['IU']	1001	165.33242195122259	53.362867014447865	False	False	4096	mapping	False	194979	26	515360	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	57340450	46382649	2874522	195369	3662685	23528664	80.88992848852773	quant	Fri Jun 17 16:29:43 2022	Fri Jun 17 16:42:29 2022
A4	1.4.0	none	vb	[]	1	['IU']	1001	166.05261544755425	52.366830023108264	False	False	4096	mapping	False	194979	26	624919	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	113228437	93123592	5616126	429438	7377106	47215557	82.24399670905993	quant	Fri Jun 17 16:55:20 2022	Fri Jun 17 17:18:13 2022
A5	1.4.0	none	vb	[]	1	['IU']	1001	178.63937970766284	58.33156426303571	False	False	4096	mapping	False	194979	26	625387	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	66753497	56892327	2780590	203893	3666116	25651103	85.22748553532709	quant	Fri Jun 17 16:30:03 2022	Fri Jun 17 16:42:59 2022
B1	1.4.0	none	vb	[]	1	['IU']	1001	159.57406257590324	48.29416202157633	False	False	4096	mapping	False	194979	26	570309	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	99564550	80988329	4604045	413808	6162531	37067891	81.34253506895777	quant	Fri Jun 17 16:48:24 2022	Fri Jun 17 17:05:59 2022
B2	1.4.0	none	vb	[]	1	['IU']	1001	167.34595657916495	52.3725573403582	False	False	4096	mapping	False	194979	26	594958	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	103581179	84398863	4851146	442681	6432591	36190422	81.48088660006468	quant	Fri Jun 17 16:52:06 2022	Fri Jun 17 17:09:41 2022
B3	1.4.0	none	vb	[]	1	['IU']	1001	170.04868891366152	52.39423173759009	False	False	4096	mapping	False	194979	26	585886	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	103111720	83468771	4925462	382198	6416316	34477340	80.94983867983193	quant	Fri Jun 17 16:51:26 2022	Fri Jun 17 17:10:06 2022
B4	1.4.0	none	vb	[]	1	['IU']	1001	170.44534509688873	52.103060063296006	False	False	4096	mapping	False	194979	26	565838	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	86657063	70278011	4212784	340777	5571438	29719405	81.0989993971986	quant	Fri Jun 17 16:41:04 2022	Fri Jun 17 16:56:51 2022
B5	1.4.0	none	vb	[]	1	['IU']	1001	171.88347658985833	53.11712408816791	False	False	4096	mapping	False	194979	26	527485	False	['range_factorized', 'gzipped']	[506, 647, 1002, 2224, 91667]	e7ad4fb70606d69f257fc8cb68739ade5791965dc3754f923190510349cb7192	a57faaca952d72f409040dca506735d27cdc96a405b85d41bd60e49024c44a30	9057be38bb8736383ecd8900e2a757ff9fd01831f4f6a3e5dc915e85515167e1aa7d29df8fc47b860687866628e1ba53dbb839bee6c6f4e39a9d4d25a2f86cc1	0a80247a8af8566d6ab8d176cb84c0096b241713f88a5e664d6daa8542a5e3902bcee8b1acefaa031ffb51fe15bfb679d1ff7c2e66ef22c0f80a2431ef57a054	88deec0bde0ba8fb09d293bf39bdeeeadb28f365ba2c766f60b9de8a440018ad	ba0c50587d0414411d2fd1673029d496ed188e23491cbd317490b715fec7a820	0	56844068	47664587	2411068	175237	3162275	17755084	83.8514706582928	quant	Fri Jun 17 16:29:43 2022	Fri Jun 17 16:40:08 2022
