task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	f3/d404a5	2712112	output_documentation	COMPLETED	0	2022-08-31 19:48:33.438	14s	8.2s	9.0%	44.2 MB	243.8 MB	5.8 MB	32.3 KB
2	28/e0feb2	2712107	makeBED12 (erccTAIRigen.gtf)	COMPLETED	0	2022-08-31 19:48:33.258	19.2s	12.5s	71.9%	479.9 MB	512.3 MB	209.6 MB	4 MB
3	56/f0b103	2712109	makeHisatSplicesites (erccTAIRigen.gtf)	COMPLETED	0	2022-08-31 19:48:33.331	19.1s	11.1s	54.8%	56.3 MB	91.4 MB	210.8 MB	2.6 MB
1	ab/65955d	2712100	get_software_versions	COMPLETED	0	2022-08-31 19:48:33.022	24.4s	15.8s	76.8%	81.2 MB	3.9 GB	86.6 MB	10.1 KB
17	5c/b8f040	2712114	makeHISATindex (erccTAIRigen.fa)	COMPLETED	0	2022-08-31 19:48:52.549	39.9s	33.7s	265.6%	738.2 MB	2.1 GB	690 MB	635 MB
4	78/d7b550	2712101	fastqc (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 19:48:33.056	9m 49s	9m 39s	177.2%	530.5 MB	3.4 GB	6.5 GB	3.3 MB
7	e8/325e59	2712098	fastqc (SRX9432643_SRR12980998)	COMPLETED	0	2022-08-31 19:48:32.797	11m 40s	11m 33s	184.1%	441.9 MB	3.3 GB	8.5 GB	3.3 MB
6	b4/00de82	2712106	fastqc (SRX9432642_SRR12980997)	COMPLETED	0	2022-08-31 19:48:33.219	12m 4s	11m 58s	177.1%	543 MB	3.3 GB	8.6 GB	3.3 MB
8	a2/9dec30	2712110	fastqc (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 19:48:33.371	14m 4s	13m 58s	173.0%	543.2 MB	3.3 GB	8.5 GB	3.3 MB
14	30/755cab	2712111	fastqc (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 19:48:33.406	19m 14s	19m 10s	142.8%	535.3 MB	3.3 GB	9.1 GB	3.3 MB
5	1d/cb567b	2712099	fastqc (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 19:48:32.956	20m 55s	20m 47s	137.8%	536.7 MB	3.3 GB	9.5 GB	3.3 MB
9	90/4712bc	2712105	trim_galore (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 19:48:33.183	1h 29m 30s	1h 29m 16s	180.0%	248.9 MB	3 GB	180.4 GB	173.8 GB
18	5d/fce92e	2712152	hisat2Align (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 21:18:03.143	20m 15s	20m 4s	765.0%	392.1 MB	1 GB	82.4 GB	58.1 GB
19	1f/57ca38	2712155	hisat2_sortOutput (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:38:18.269	5m	4m 51s	322.1%	24 GB	24.7 GB	13.4 GB	5.5 GB
12	45/bbbe3b	2712108	trim_galore (SRX9432643_SRR12980998)	COMPLETED	0	2022-08-31 19:48:33.296	1h 55m 15s	1h 54m 59s	180.3%	244.9 MB	3 GB	229.1 GB	220.5 GB
13	36/33e955	2712104	trim_galore (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 19:48:33.148	1h 56m 10s	1h 55m 54s	178.8%	249.1 MB	3.1 GB	232.1 GB	223.6 GB
21	99/ddc2ab	2712157	qualimap (SRX9432645_SRR12981000_1.sorted)	COMPLETED	0	2022-08-31 21:43:18.207	4m 5s	3m 59s	96.4%	4.5 GB	19.6 GB	3.2 GB	504.3 KB
11	0f/96e171	2712102	trim_galore (SRX9432642_SRR12980997)	COMPLETED	0	2022-08-31 19:48:33.086	1h 59m 15s	1h 59m 1s	177.3%	251.6 MB	3 GB	232.2 GB	223.5 GB
23	c9/142bd3	2712160	stringtieFPKM (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:43:18.280	5m 40s	5m 32s	103.5%	210.9 MB	295.7 MB	3.2 GB	112.2 MB
25	e1/4b7fff	2712161	featureCounts (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:43:18.336	7m 25s	7m 21s	98.9%	233.7 MB	376.8 MB	19.9 GB	11.1 GB
15	1a/497952	2712113	trim_galore (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 19:48:33.478	2h 3m 55s	2h 3m 41s	179.5%	244.7 MB	3 GB	247.7 GB	238.5 GB
10	94/c6f7b8	2712103	trim_galore (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 19:48:33.116	2h 10m 10s	2h 9m 55s	179.6%	249.4 MB	3 GB	263.5 GB	253.8 GB
20	cc/7456ff	2712158	preseq (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:43:18.231	20m 45s	20m 39s	99.6%	13.9 MB	173 MB	3 GB	439.8 KB
26	3f/3b7ead	2712162	hisat2Align (SRX9432643_SRR12980998)	COMPLETED	0	2022-08-31 21:43:48.195	22m 40s	22m 30s	901.2%	419 MB	1.1 GB	102.1 GB	71.2 GB
27	f5/494f82	2712165	hisat2Align (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 21:44:43.268	22m 55s	22m 42s	901.0%	390.8 MB	1.1 GB	105.3 GB	74.1 GB
28	dc/459a1d	2712167	hisat2Align (SRX9432642_SRR12980997)	COMPLETED	0	2022-08-31 21:47:48.135	22m 40s	22m 25s	906.7%	422.7 MB	1.1 GB	103.2 GB	72 GB
31	a7/873d1d	2712194	hisat2_sortOutput (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:06:28.272	5m 40s	5m 31s	331.8%	24 GB	24.8 GB	15.9 GB	6 GB
33	8d/10d2b7	2712196	hisat2_sortOutput (SRX9432642_SRR12980997_1)	COMPLETED	0	2022-08-31 22:10:28.308	6m	5m 54s	319.3%	24.2 GB	24.9 GB	16.2 GB	6.1 GB
34	71/70c9c1	2712201	qualimap (SRX9432643_SRR12980998_1.sorted)	COMPLETED	0	2022-08-31 22:12:08.403	4m 35s	4m 28s	106.1%	5.6 GB	19.7 GB	3.8 GB	503.6 KB
32	e7/fb0beb	2712195	hisat2_sortOutput (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 22:07:38.257	9m 25s	9m 14s	215.0%	24.2 GB	24.9 GB	16.3 GB	6.2 GB
29	d1/f1608e	2712188	hisat2Align (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 21:52:28.228	24m 50s	24m 36s	894.3%	377.8 MB	1 GB	111.4 GB	78.4 GB
22	f5/03be12	2712159	markDuplicates (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:43:18.256	34m 10s	34m 4s	113.6%	5 GB	12.9 GB	10.6 GB	4.6 GB
37	76/2b360f	2712200	stringtieFPKM (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:12:08.380	6m 55s	6m 48s	102.4%	208.9 MB	294 MB	3.8 GB	111.6 MB
38	b9/cd5b0b	2712202	featureCounts (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:12:08.424	8m 25s	8m 21s	98.9%	240.5 MB	379.3 MB	19.3 GB	9.7 GB
41	ab/3ed177	2712207	qualimap (SRX9432642_SRR12980997_1.sorted)	COMPLETED	0	2022-08-31 22:16:28.439	4m 55s	4m 49s	94.6%	5.2 GB	19.6 GB	3.9 GB	519.6 KB
47	88/a1f1f6	2712214	qualimap (SRX9432646_SRR12981001_1.sorted)	COMPLETED	0	2022-08-31 22:17:03.476	4m 30s	4m 24s	105.9%	6 GB	19.5 GB	4 GB	492.5 KB
43	d3/c17b77	2712206	stringtieFPKM (SRX9432642_SRR12980997_1)	COMPLETED	0	2022-08-31 22:16:28.416	7m	6m 52s	102.6%	215.1 MB	301.6 MB	3.9 GB	111.3 MB
48	7d/4a169b	2712212	stringtieFPKM (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 22:17:03.429	7m 15s	7m 11s	100.7%	214.1 MB	294.8 MB	4 GB	112 MB
44	30/959e3c	2712208	featureCounts (SRX9432642_SRR12980997_1)	COMPLETED	0	2022-08-31 22:16:28.460	8m 45s	8m 37s	98.3%	237.7 MB	372.8 MB	20 GB	10.1 GB
52	ee/7f2b80	2712215	hisat2_sortOutput (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:17:18.411	8m 35s	8m 26s	292.6%	24.2 GB	24.9 GB	20.3 GB	9.2 GB
49	56/fd6b97	2712211	featureCounts (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 22:17:03.408	9m 40s	9m 37s	94.7%	231 MB	317.1 MB	23.5 GB	12.9 GB
53	a9/76166d	2712216	dupradar (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 22:17:28.687	10m 30s	10m 20s	160.0%	505.7 MB	908.7 MB	41.8 GB	23.4 GB
58	c8/fd65fc	2712323	qualimap (SRX9432644_SRR12980999_1.sorted)	COMPLETED	0	2022-08-31 22:25:53.765	5m 15s	5m 14s	96.3%	5.3 GB	19.6 GB	4.3 GB	499.9 KB
30	d2/284986	2712191	hisat2Align (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 21:58:43.399	34m 20s	34m 4s	746.9%	404.4 MB	1 GB	119.7 GB	84.2 GB
59	a4/599b85	2712324	stringtieFPKM (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:25:53.839	8m	7m 57s	102.3%	216 MB	295.5 MB	4.3 GB	113 MB
56	47/c7ddae	2712327	featureCounts (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:25:54.075	10m 49s	10m 45s	90.2%	227.3 MB	377.1 MB	23.4 GB	12.3 GB
36	d0/e1c52a	2712197	preseq (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:12:08.299	27m 10s	27m 3s	94.0%	18.6 MB	173.7 MB	3.5 GB	445 KB
60	ef/2d145a	2712343	hisat2_sortOutput (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 22:33:03.834	7m 55s	7m 49s	299.6%	24.2 GB	24.9 GB	20.6 GB	9.1 GB
45	9b/823f13	2712203	preseq (SRX9432642_SRR12980997_1)	COMPLETED	0	2022-08-31 22:16:28.346	25m 15s	25m 11s	99.4%	14.3 MB	173.4 MB	3.7 GB	439.6 KB
46	22/818636	2712209	preseq (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 22:17:03.308	26m 5s	26m 2s	98.9%	18.4 MB	173.8 MB	3.7 GB	444.5 KB
62	a1/c65879	2712361	qualimap (SRX9432641_SRR12980996_1.sorted)	COMPLETED	0	2022-08-31 22:40:59.211	5m 9s	5m 1s	99.3%	4.7 GB	19.6 GB	4.4 GB	503.5 KB
64	0a/4b15ba	2712359	stringtieFPKM (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 22:40:59.167	8m 10s	8m 4s	100.3%	226.4 MB	311.4 MB	4.4 GB	111.8 MB
24	77/992991	2712156	rseqc (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 21:43:18.179	1h 8m 36s	1h 8m 32s	93.7%	4.9 GB	5.3 GB	15.2 GB	79.5 MB
63	f5/8751ff	2712357	featureCounts (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 22:40:59.123	12m 35s	12m 33s	89.1%	233.3 MB	317.5 MB	28.6 GB	16.4 GB
68	02/549855	2712389	merge_featureCounts (SRX9432645_SRR12981000_1_gene.featureCounts)	COMPLETED	0	2022-08-31 22:53:33.972	4.8s	494ms	79.8%	14.6 MB	197.3 MB	105.6 MB	70.3 MB
67	70/7fd1fb	2712390	sample_correlation (SRX9432645_SRR12981000_1)	COMPLETED	0	2022-08-31 22:53:33.998	9.7s	3.2s	98.7%	125.1 MB	409.2 MB	9.6 MB	137.3 KB
54	58/0bc461	2712322	preseq (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:25:53.612	31m 10s	31m 5s	94.1%	20.3 MB	173.8 MB	4.1 GB	440.8 KB
35	01/4eb441	2712199	markDuplicates (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:12:08.360	48m 51s	48m 4s	101.7%	5.3 GB	12.9 GB	12.6 GB	5.5 GB
