task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	7b/bef317	2712118	makeBED12 (erccTAIRigen.gtf)	COMPLETED	0	2022-08-31 19:49:07.906	14.5s	7.8s	97.9%	489.1 MB	521.4 MB	209.6 MB	4 MB
16	5b/720e68	2712130	output_documentation	COMPLETED	0	2022-08-31 19:49:08.337	14.2s	5.6s	12.8%	44.2 MB	242 MB	5.8 MB	32.3 KB
1	c5/c2298c	2712120	get_software_versions	COMPLETED	0	2022-08-31 19:49:07.979	19.4s	14.7s	80.5%	57.9 MB	3.5 GB	86.6 MB	10.1 KB
3	6c/6c3024	2712115	makeSTARindex (erccTAIRigen.fa)	COMPLETED	0	2022-08-31 19:49:07.708	2m 5s	1m 57s	329.7%	4.7 GB	7.9 GB	2.4 GB	4.5 GB
7	24/7b500b	2712122	fastqc (SRX9432643_SRR12980998)	COMPLETED	0	2022-08-31 19:49:08.051	10m 59s	10m 55s	191.1%	460.6 MB	3.3 GB	8.5 GB	3.3 MB
6	c3/ae2373	2712127	fastqc (SRX9432642_SRR12980997)	COMPLETED	0	2022-08-31 19:49:08.235	11m 29s	11m 25s	190.7%	528.7 MB	3.4 GB	8.6 GB	3.3 MB
4	e4/401c93	2712117	fastqc (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 19:49:07.872	13m 55s	13m 46s	132.6%	531 MB	3.3 GB	6.5 GB	3.3 MB
8	85/4d924a	2712128	fastqc (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 19:49:08.266	17m 19s	17m 13s	132.5%	545.1 MB	3.3 GB	8.5 GB	3.3 MB
14	10/1bc608	2712121	fastqc (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 19:49:08.010	18m 40s	18m 35s	147.3%	447.7 MB	3.3 GB	9.1 GB	3.3 MB
5	6a/1b1107	2712116	fastqc (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 19:49:07.834	20m 20s	20m 17s	141.9%	533 MB	3.3 GB	9.5 GB	3.3 MB
9	7d/d08666	2712123	trim_galore (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 19:49:08.091	1h 29m 40s	1h 29m 30s	179.3%	245.6 MB	3 GB	180.4 GB	173.8 GB
12	48/3d559a	2712119	trim_galore (SRX9432643_SRR12980998)	COMPLETED	0	2022-08-31 19:49:07.945	1h 55m 10s	1h 54m 54s	178.5%	246.1 MB	3 GB	229.1 GB	220.5 GB
13	79/0fba63	2712129	trim_galore (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 19:49:08.299	1h 55m 15s	1h 55m 1s	179.5%	243.9 MB	3 GB	232.1 GB	223.6 GB
11	ca/f3ab81	2712125	trim_galore (SRX9432642_SRR12980997)	COMPLETED	0	2022-08-31 19:49:08.170	1h 58m 20s	1h 58m 5s	176.8%	243.9 MB	3 GB	232.2 GB	223.5 GB
15	80/f1086c	2712126	trim_galore (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 19:49:08.204	2h 4m 20s	2h 4m 1s	178.6%	249 MB	3 GB	247.7 GB	238.5 GB
10	d1/462085	2712124	trim_galore (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 19:49:08.135	2h 10m 35s	2h 10m 18s	178.6%	255.8 MB	3 GB	263.5 GB	253.8 GB
17	6d/d0fd99	2712153	star (SRX9432645_SRR12981000)	COMPLETED	0	2022-08-31 21:18:48.063	3h 26m 46s	3h 26m 40s	962.4%	8.9 GB	11.3 GB	120.6 GB	44.9 GB
23	20/6bf4c1	2712668	qualimap (SRX9432645_SRR12981000_1Aligned.sortedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.142	4m 29s	4m 27s	95.8%	5 GB	19.5 GB	4.8 GB	530.5 KB
27	a8/003f60	2712669	featureCounts (SRX9432645_SRR12981000_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.170	10m 14s	10m 10s	98.9%	193.6 MB	381.6 MB	33.2 GB	19.3 GB
24	a6/fe1d31	2712665	preseq (SRX9432645_SRR12981000_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.063	21m 50s	21m 48s	99.5%	13.3 MB	172.3 MB	4.6 GB	446.6 KB
28	84/04180c	2712667	markDuplicates (SRX9432645_SRR12981000_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.116	35m 20s	35m 15s	114.2%	5.2 GB	13 GB	14.3 GB	5.2 GB
25	a1/093fba	2712666	stringtieFPKM (SRX9432645_SRR12981000_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.089	46m 30s	46m 27s	100.7%	1.6 GB	1.9 GB	4.8 GB	114.2 MB
29	5c/597785	2712728	dupradar (SRX9432645_SRR12981000_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2022-09-01 01:20:55.042	13m	12m 53s	163.0%	509.4 MB	972.8 MB	62.3 GB	38.3 GB
26	1b/21b6d6	2712664	rseqc (SRX9432645_SRR12981000_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 00:45:35.010	1h 10m 45s	1h 10m 41s	99.6%	5.5 GB	5.8 GB	23 GB	80.9 MB
19	2a/1f6288	2712164	star (SRX9432646_SRR12981001)	COMPLETED	0	2022-08-31 21:44:23.085	4h 23m 42s	4h 23m 33s	967.0%	10 GB	11.3 GB	152.6 GB	56.4 GB
21	ef/1c4233	2712189	star (SRX9432644_SRR12980999)	COMPLETED	0	2022-08-31 21:53:28.175	4h 15m 57s	4h 15m 43s	941.3%	10.3 GB	11.6 GB	162.2 GB	59.9 GB
34	df/a95454	2712832	qualimap (SRX9432646_SRR12981001_1Aligned.sortedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.339	5m 50s	5m 44s	96.4%	5.2 GB	19.6 GB	5.8 GB	506.8 KB
38	60/5f95fd	2712841	qualimap (SRX9432644_SRR12980999_1Aligned.sortedByCoord.out)	COMPLETED	0	2022-09-01 02:09:25.374	5m 55s	5m 50s	94.4%	5.4 GB	19.6 GB	6.2 GB	510.9 KB
41	fb/1bdea0	2712842	featureCounts (SRX9432644_SRR12980999_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:09:25.396	12m 55s	12m 46s	99.0%	194.9 MB	377.4 MB	38.4 GB	21.4 GB
35	6d/4e604b	2712834	featureCounts (SRX9432646_SRR12981001_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.381	20m 20s	20m 13s	60.1%	197.5 MB	377.2 MB	38.8 GB	22.3 GB
31	2a/d51482	2712833	preseq (SRX9432646_SRR12981001_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.360	28m 55s	28m 46s	99.8%	14 MB	173.1 MB	5.6 GB	449.1 KB
36	1b/701058	2712838	preseq (SRX9432644_SRR12980999_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:09:25.283	30m 25s	30m 21s	99.8%	13.9 MB	173 MB	6 GB	446.2 KB
33	1a/9c9bc5	2712831	markDuplicates (SRX9432646_SRR12981001_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.317	46m 30s	46m 18s	114.0%	6.5 GB	14.1 GB	17.7 GB	6.4 GB
40	79/839f2a	2712839	markDuplicates (SRX9432644_SRR12980999_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:09:25.330	49m 25s	49m 17s	117.9%	5.6 GB	13.2 GB	18.8 GB	6.9 GB
30	ac/97eeb6	2712829	stringtieFPKM (SRX9432646_SRR12981001_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.262	58m 5s	57m 59s	100.6%	1.4 GB	1.7 GB	5.8 GB	114.1 MB
42	6a/cd850e	2712908	dupradar (SRX9432646_SRR12981001_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2022-09-01 02:54:35.675	16m 10s	16m 3s	162.8%	491.2 MB	953.4 MB	71.8 GB	43.4 GB
43	e5/00fbe0	2712912	dupradar (SRX9432644_SRR12980999_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2022-09-01 02:58:50.795	16m 25s	16m 19s	165.3%	513 MB	914 MB	71.4 GB	42.1 GB
22	83/495fb2	2712193	star (SRX9432641_SRR12980996)	COMPLETED	0	2022-08-31 21:59:43.251	5h 22m 32s	5h 22m 24s	969.8%	10.9 GB	12.2 GB	172.6 GB	63.9 GB
45	e6/59fd7d	2712943	qualimap (SRX9432641_SRR12980996_1Aligned.sortedByCoord.out)	COMPLETED	0	2022-09-01 03:22:15.863	5m 30s	5m 26s	104.2%	4.8 GB	19.5 GB	6.5 GB	509 KB
39	26/e651c7	2712840	stringtieFPKM (SRX9432644_SRR12980999_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:09:25.352	1h 19m 35s	1h 19m 28s	100.5%	1.6 GB	1.9 GB	6.2 GB	115 MB
32	f0/ccf764	2712830	rseqc (SRX9432646_SRR12981001_1AlignedByCoord.out)	COMPLETED	0	2022-09-01 02:08:05.295	1h 26m 50s	1h 26m 42s	99.5%	6 GB	6.4 GB	28.3 GB	80.1 MB
