task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ea/bf70dd	2713498	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:42:12.860	3.6s	1s	86.2%	2.1 MB	26.6 MB	116.2 MB	4.8 KB
4	7d/69192b	2713499	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheetSpaceTair.csv)	COMPLETED	0	2022-09-01 07:42:12.914	3.7s	0ms	102.2%	6.9 MB	32.8 MB	1.4 MB	1.7 KB
2	dc/eac47c	2713501	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:42:13.031	8.4s	3s	91.0%	267.3 MB	293.5 MB	327.3 MB	209.5 MB
1	0c/602ad1	2713502	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (erccTAIRigen.gtf)	COMPLETED	0	2022-09-01 07:42:13.095	13.4s	7s	98.2%	478.7 MB	501.9 MB	209.7 MB	4 MB
18	8f/22bf6c	2713515	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:42:21.527	5m 10s	7s	84.1%	192.9 MB	244 MB	389.2 MB	273.5 MB
5	91/02a85c	2713500	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE (rsem/erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:42:12.961	5m 59s	1m 49s	355.7%	1.2 MB	11 MB	2.8 GB	4.8 GB
15	c8/c513db	2713508	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ground2)	COMPLETED	0	2022-09-01 07:42:16.983	7m 45s	7m 37s	195.2%	1.1 GB	4.4 GB	6.5 GB	3.3 MB
13	f6/fbf92f	2713504	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (flight3)	COMPLETED	0	2022-09-01 07:42:16.829	9m 30s	9m 23s	195.8%	1.1 GB	4.4 GB	8.5 GB	3.3 MB
16	91/e68615	2713506	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ground3)	COMPLETED	0	2022-09-01 07:42:16.906	9m 35s	9m 26s	195.2%	1.1 GB	4.5 GB	8.5 GB	3.3 MB
12	49/8f60d7	2713505	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (flight2)	COMPLETED	0	2022-09-01 07:42:16.865	9m 55s	9m 50s	195.1%	1 GB	4.3 GB	8.6 GB	3.3 MB
