task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	05/1936d4	2713462	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:41:03.108	8.6s	2s	39.6%	2.1 MB	26.6 MB	116.2 MB	4.8 KB
5	56/61186b	2713463	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheetSpaceTair.csv)	COMPLETED	0	2022-09-01 07:41:03.186	8.6s	1s	43.2%	2.1 MB	29.8 MB	1.4 MB	1.7 KB
2	a1/a055a6	2713464	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:41:03.234	13.5s	7s	83.5%	267.9 MB	294.2 MB	327.3 MB	209.5 MB
1	25/1ad5f0	2713465	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (erccTAIRigen.gtf)	COMPLETED	0	2022-09-01 07:41:03.301	13.4s	8s	92.3%	480.2 MB	503.3 MB	209.7 MB	4 MB
4	d7/0178dc	2713466	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:41:03.365	2m 3s	1m 23s	393.5%	1.3 MB	11 MB	2.5 GB	3.2 GB
18	a6/434b54	2713479	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/erccTAIRigen.fa)	COMPLETED	0	2022-09-01 07:41:16.808	4m 15s	6s	86.5%	1.2 MB	11 MB	389.2 MB	273.5 MB
15	e6/2b1f52	2713471	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ground2)	COMPLETED	0	2022-09-01 07:41:12.101	8m	7m 57s	186.9%	1.1 GB	4.4 GB	6.5 GB	3.3 MB
13	af/3dab44	2713469	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (flight3)	COMPLETED	0	2022-09-01 07:41:12.043	9m 55s	9m 50s	188.4%	1 GB	4.3 GB	8.5 GB	3.3 MB
12	a0/8b37ba	2713468	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (flight2)	COMPLETED	0	2022-09-01 07:41:12.013	10m 10s	10m 4s	186.9%	1.1 GB	4.4 GB	8.6 GB	3.3 MB
16	5b/1bba5c	2713472	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ground3)	COMPLETED	0	2022-09-01 07:41:12.154	10m 10s	10m 6s	187.3%	1.1 GB	4.4 GB	8.5 GB	3.3 MB
