Geneid	gene_name	SRR3655801	SRR3655798	SRR3655791	SRR3655799	SRR3655795	SRR3655793	SRR3655797	SRR3655792	SRR3655794	SRR3655800	SRR3655802	SRR3655796
rpl24	NA	15069	12182	24441	13800	29512	16775	12182	60576	42408	34468	37522	70884
cep97	NA	109	53	91	89	103	70	53	267	174	228	321	300
nfkbiz	NA	1439	553	320	1100	187	254	553	835	673	2844	3800	480
eed	NA	219	225	155	172	151	193	225	373	502	433	585	383
hikeshi	NA	265	136	213	164	220	214	136	661	587	401	713	690
tmem39a	NA	411	281	390	275	512	288	281	1069	752	702	1114	1301
ildr1a	NA	397	153	65	314	29	64	153	160	128	777	1162	85
LOC100332762	NA	45	55	19	40	17	22	55	64	61	100	109	58
si:zfos-1011f11.1	NA	1	18	1	1	0	2	18	4	7	4	1	8
zgc:163025	NA	154	262	10	442	31	20	262	38	34	1210	429	100
f7	NA	140	392	2	647	4	2	392	4	13	1678	343	16
f7i	NA	169	371	1	617	0	1	371	1	7	1649	415	2
f10	NA	902	1110	142	1910	247	126	1110	352	288	5066	2407	542
prozb	NA	62	137	0	372	1	1	137	1	2	1042	166	1
pcid2	NA	249	168	103	158	75	159	168	282	437	440	654	241
cul4a	NA	711	745	651	601	628	487	745	1707	1324	1730	1873	1601
zgc:64072	NA	365	2155	229	465	254	288	2155	731	906	1385	1116	612
grtp1a	NA	62	124	42	111	49	38	124	96	103	327	199	109
adprhl1	NA	3	3	0	2	0	0	3	0	0	3	2	0
dcun1d2b	NA	254	312	195	389	106	118	312	487	353	968	744	263
tmco3	NA	113	111	59	238	49	53	111	180	173	635	326	147
tfdp1b	NA	167	165	102	116	118	93	165	268	274	356	429	317
grk1a	NA	1	0	0	0	0	0	0	1	0	1	2	0
cenpe	NA	616	262	10	146	12	36	262	24	115	346	1848	34
tmem255b	NA	1	2	1	0	1	0	2	0	0	0	1	0
LOC108187164	NA	0	16	2	0	1	0	16	3	1	3	4	4
gas6	NA	192	349	95	281	134	90	349	283	236	749	474	344
pros1	NA	348	723	471	466	514	370	723	1211	1032	1325	966	1330
rasa3	NA	91	215	143	79	107	147	215	380	338	246	249	246
tpp2	NA	464	636	99	386	119	125	636	259	282	1105	1237	271
LOC100149425	NA	1	0	0	0	0	0	0	2	0	0	1	0
zgc:92518	NA	2	0	1	6	0	0	0	3	0	13	1	5
ercc5	NA	264	94	183	131	93	132	94	528	331	359	694	259
blzf1	NA	652	392	397	442	234	207	392	1037	546	1150	1759	658
trmt10c	NA	103	117	220	118	192	195	117	577	483	376	262	530
txnl4b	NA	47	41	69	44	53	71	41	185	189	133	136	113
si:ch73-41e3.7	NA	9	10	4	7	1	0	10	7	1	23	29	2
