Geneid	gene_name	SRR3655795Aligned.sortedByCoord.out.bam	SRR3655801Aligned.sortedByCoord.out.bam	SRR3655791Aligned.sortedByCoord.out.bam	SRR3655798Aligned.sortedByCoord.out.bam	SRR3655797Aligned.sortedByCoord.out.bam	SRR3655799Aligned.sortedByCoord.out.bam	SRR3655793Aligned.sortedByCoord.out.bam	SRR3655800Aligned.sortedByCoord.out.bam	SRR3655802Aligned.sortedByCoord.out.bam	SRR3655792Aligned.sortedByCoord.out.bam	SRR3655794Aligned.sortedByCoord.out.bam	SRR3655796Aligned.sortedByCoord.out.bam
rpl24	NA	31032	16120	25719	12945	12945	14558	18172	35116	37569	61633	41988	72922
cep97	NA	118	124	101	62	62	93	79	231	330	286	183	319
nfkbiz	NA	203	1622	361	610	610	1158	283	2912	4086	905	699	528
eed	NA	165	239	171	241	241	186	232	445	626	388	538	402
hikeshi	NA	241	303	231	146	146	176	238	408	786	698	612	736
tmem39a	NA	571	461	442	316	316	289	318	718	1190	1141	780	1380
ildr1a	NA	30	453	71	180	180	330	67	795	1239	168	140	90
LOC100332762	NA	22	55	25	69	69	52	26	121	133	79	71	64
si:zfos-1011f11.1	NA	0	6	1	24	24	1	3	4	12	5	9	8
zgc:163025	NA	37	191	15	315	315	562	28	1451	544	43	42	124
f7	NA	5	154	2	452	452	732	2	1780	357	4	15	18
f7i	NA	0	215	1	442	442	757	2	1864	458	1	7	2
f10	NA	278	1072	157	1265	1265	2112	141	5429	2611	383	305	603
prozb	NA	1	67	0	147	147	399	1	1071	173	1	2	1
pcid2	NA	83	282	120	183	183	164	170	449	688	302	447	252
cul4a	NA	668	780	687	808	808	649	539	1772	1905	1748	1371	1632
zgc:64072	NA	327	459	309	2712	2712	599	383	1723	1423	924	1135	803
grtp1a	NA	53	76	44	131	131	125	43	352	206	100	111	114
adprhl1	NA	0	3	0	4	4	3	0	3	2	0	0	0
dcun1d2b	NA	129	307	224	358	358	498	145	1169	838	533	413	294
tmco3	NA	56	145	63	123	123	274	63	713	366	195	194	159
tfdp1b	NA	128	182	112	180	180	127	101	374	447	285	287	341
grk1a	NA	0	1	0	0	0	0	0	1	2	1	0	0
cenpe	NA	12	703	11	301	301	159	41	368	1914	26	119	37
tmem255b	NA	1	1	1	2	2	0	0	0	1	0	0	0
LOC108187164	NA	1	1	3	24	24	0	0	3	5	5	2	5
gas6	NA	146	204	109	374	374	312	103	764	482	291	237	355
pros1	NA	585	407	530	817	817	509	424	1415	1032	1308	1096	1419
rasa3	NA	112	99	151	235	235	84	155	253	264	391	347	256
tpp2	NA	134	515	107	698	698	437	135	1212	1316	272	299	284
LOC100149425	NA	0	0	0	0	0	1	0	1	5	3	0	1
zgc:92518	NA	0	2	1	0	0	8	0	15	2	3	0	5
ercc5	NA	103	298	211	109	109	153	147	401	734	576	344	274
blzf1	NA	310	917	545	501	501	570	287	1371	2334	1344	693	835
trmt10c	NA	208	116	245	133	133	133	220	399	274	596	510	555
txnl4b	NA	59	59	84	49	49	54	83	146	160	211	206	123
si:ch73-41e3.7	NA	1	11	4	11	11	9	0	27	31	7	1	2
mrpl16	NA	427	487	478	410	410	416	479	1203	1443	1278	1472	1224
cenpq	NA	7	44	6	53	53	21	27	55	128	17	40	13
LOC101885604	NA	5	38	7	43	43	15	24	57	89	29	48	15
mir155	NA	0	0	0	0	0	0	0	0	0	0	0	0
mrpl39	NA	235	373	222	260	260	261	312	685	932	578	766	563
jam2a	NA	128	87	95	43	43	52	58	103	212	293	160	251
atp5j	NA	1299	2134	1206	1249	1249	1250	1329	3132	5126	3033	3253	3265
appa	NA	2145	2072	1959	2910	2910	2498	1835	6234	5167	5172	4718	5022
cyyr1	NA	81	96	44	123	123	75	47	197	338	114	145	208
adamts1	NA	42	55	25	1095	1095	846	41	2062	128	61	82	77
adamts5	NA	1	8	2	23	23	4	1	20	22	7	3	6
n6amt1	NA	94	131	111	108	108	148	86	403	304	247	230	289
gart	NA	145	264	107	130	130	270	168	657	729	330	406	340
LOC100332351	NA	70	100	92	68	68	93	53	251	261	232	106	150
LOC101886071	NA	11	11	33	4	4	3	1	1	33	83	0	39
donson	NA	4	28	1	26	26	18	15	25	64	4	28	2
runx1	NA	16	32	12	343	343	71	25	219	65	35	64	48
mir459	NA	0	0	0	0	0	0	0	1	0	1	0	0
urp2	NA	0	0	0	0	0	0	0	0	0	1	0	0
LOC100333907	NA	10	7	16	11	11	8	6	14	26	30	14	29
atp1a1a.4	NA	21087	11230	20391	1273	1273	15698	25101	39466	28682	51111	63309	51324
atp1a1a.1	NA	16969	10586	25505	13083	13083	6977	19693	17969	26915	64017	50963	41303
LOC108187381	NA	0	0	0	0	0	0	0	0	0	0	0	2
atp1a1a.2	NA	84	7	71	5	5	15	135	35	9	172	309	177
atp1a1a.3	NA	9	10	74	52	52	4	20	13	14	141	25	19
atp1a1a.5	NA	35	10	7	5	5	2	13	5	21	18	15	70
si:ch211-132g1.3	NA	101	177	176	623	623	305	96	707	457	426	227	229
LOC103911757	NA	2	21	0	4	4	1	0	1	48	1	1	1
si:ch211-132g1.6	NA	24	14	25	58	58	15	26	47	43	56	58	37
si:ch211-132g1.4	NA	312	296	155	185	185	185	371	445	725	353	905	717
si:ch211-132g1.1	NA	115	93	120	161	161	105	208	304	175	314	460	322
si:ch211-132g1.7	NA	13	49	29	74	74	30	8	114	108	48	10	35
slc5a3a	NA	0	4	0	14	14	0	3	7	5	0	9	1
oxgr1a.1	NA	0	0	1	1	1	1	0	0	0	0	0	0
oxgr1a.3	NA	0	0	0	0	0	0	0	0	0	0	0	0
oxgr1a.2	NA	0	0	0	8	8	0	0	1	2	0	5	1
mbnl2	NA	406	552	454	919	919	669	438	1665	1328	1120	1106	1014
rap2ab	NA	1	1	0	4	4	13	0	18	1	2	0	0
kpnb3	NA	2483	1978	2293	1783	1783	1695	1931	4335	5139	5577	4969	6175
farp1	NA	263	356	232	330	330	443	311	1020	821	627	777	708
si:ch211-235f1.3	NA	1	0	0	0	0	1	0	0	0	2	0	0
ggact.3	NA	84	314	56	11	11	295	14	727	750	175	42	194
ggact.2	NA	304	917	332	20	20	466	19	1040	2230	875	45	649
ggact.1	NA	784	2002	1250	146	146	1428	260	3519	4801	3218	779	1906
gpc6a	NA	4	5	8	11	11	8	7	21	10	7	13	5
LOC110439758	NA	0	1	0	0	0	0	0	0	2	0	0	0
gpc5a	NA	28	56	31	67	67	54	32	122	121	64	88	84
mir92a-1	NA	2	1	2	1	1	0	0	3	3	3	0	2
mir19b	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir20a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir19a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir18a	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir17a-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
