Geneid	gene_name	SRR950087	SRR950082	SRR950086	SRR950085	SRR950080	SRR950078	SRR950079	SRR950083	SRR950081	SRR950084
ENSG00000223972	DDX11L1	2	4	3	1	5	2	8	4	5	4
ENSG00000227232	WASH7P	1064	1017	1609	1463	1515	875	1422	1626	1537	1546
ENSG00000243485	MIR1302-10	0	1	1	1	2	2	4	0	4	0
ENSG00000237613	FAM138A	0	0	0	0	2	6	0	0	0	0
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	2	0	0	0	0	0	1	0
ENSG00000186092	OR4F5	0	0	4	0	0	0	0	0	0	2
ENSG00000238009	RP11-34P13.7	9	11	37	7	30	26	4	6	9	29
ENSG00000239945	RP11-34P13.8	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	CICP27	2	4	8	9	10	21	9	21	10	17
ENSG00000237683	AL627309.1	157	502	674	218	902	669	246	288	246	917
ENSG00000268903	RP11-34P13.15	2	7	3	2	5	42	1	2	6	9
ENSG00000269981	RP11-34P13.16	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	RP11-34P13.13	24	107	64	94	126	116	107	128	111	107
ENSG00000222623	RNU6-1100P	1	0	1	0	0	1	0	0	0	0
ENSG00000241599	RP11-34P13.9	0	12	0	0	6	6	2	0	2	5
ENSG00000228463	AP006222.2	229	130	161	374	194	220	341	432	394	259
ENSG00000241670	AP006222.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	RP4-669L17.10	27	68	85	51	78	69	50	37	62	80
ENSG00000250575	RP4-669L17.8	4	19	17	4	21	16	5	4	4	52
ENSG00000233653	CICP7	0	0	0	4	0	0	1	2	0	0
ENSG00000224813	RP4-669L17.4	0	0	0	0	0	0	0	0	0	0
ENSG00000235249	OR4F29	0	0	0	0	0	0	0	0	0	2
ENSG00000269732	WBP1LP7	0	2	0	0	0	0	0	0	0	0
ENSG00000256186	AL732372.1	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	RP4-669L17.2	0	2	4	0	0	0	0	0	0	0
ENSG00000236743	RP5-857K21.15	0	0	0	0	5	0	0	2	0	3
ENSG00000236679	RP4-669L17.1	1	0	0	1	0	1	1	1	0	2
ENSG00000231709	RP5-857K21.1	7	2	7	11	9	4	25	18	41	6
ENSG00000235146	RP5-857K21.2	2	0	4	1	1	2	0	0	0	2
ENSG00000239664	RP5-857K21.3	0	0	1	0	1	0	2	1	0	0
ENSG00000230021	RP5-857K21.4	5	1	13	7	7	5	9	7	10	6
ENSG00000223659	RP5-857K21.5	2	0	0	2	0	0	0	2	0	1
ENSG00000225972	MTND1P23	140	1554	1532	251	2382	2853	308	300	282	3449
ENSG00000225630	MTND2P28	64512	16145	27068	80865	24816	28531	95356	91339	99268	33242
ENSG00000237973	hsa-mir-6723	13673	11749	13926	27476	16070	17797	52981	22395	41097	24561
ENSG00000229344	RP5-857K21.7	9178	162	150	14218	253	267	18532	14399	17865	260
ENSG00000240409	MTATP8P1	14	6	10	21	3	5	21	40	29	15
ENSG00000248527	MTATP6P1	124540	60184	73696	204498	100594	111524	235801	209926	251100	138985
ENSG00000198744	RP5-857K21.11	279	136	130	456	197	224	603	536	643	281
ENSG00000268663	WBP1LP6	0	0	0	1	0	0	0	0	0	0
ENSG00000185097	OR4F16	0	0	0	0	0	0	0	2	0	0
ENSG00000229376	CICP3	16	8	8	14	12	10	48	42	44	16
ENSG00000224956	RP11-206L10.1	47	22	241	32	36	52	29	16	23	49
ENSG00000235373	RP11-206L10.3	52	104	59	61	94	137	83	57	55	147
ENSG00000223181	RNU6-1199P	0	1	0	2	0	2	0	0	0	2
ENSG00000240618	RP11-206L10.5	9	31	16	27	9	21	9	8	10	13
ENSG00000229905	RP11-206L10.4	2	0	1	0	2	1	0	0	0	0
ENSG00000228327	RP11-206L10.2	71	169	142	146	233	238	188	124	165	229
ENSG00000237491	RP11-206L10.9	216	211	303	398	349	393	397	429	428	469
ENSG00000230092	RP11-206L10.8	12	9	12	17	21	19	33	22	28	27
ENSG00000269831	AL669831.1	4	4	4	4	5	6	2	7	11	5
ENSG00000240453	RP11-206L10.10	0	0	0	0	0	0	1	0	1	0
ENSG00000177757	FAM87B	30	24	40	53	36	51	58	57	72	42
ENSG00000225880	LINC00115	170	200	266	243	256	280	293	274	251	385
ENSG00000228794	LINC01128	3861	1272	1450	6094	1943	1933	7055	7722	7380	2431
ENSG00000230368	FAM41C	18	8	7	28	8	2	22	24	27	0
ENSG00000234711	TUBB8P11	0	0	0	5	8	2	0	4	6	10
ENSG00000269308	AL645608.2	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	RP11-54O7.16	7	63	66	2	100	76	7	6	3	68
ENSG00000230699	RP11-54O7.1	11	288	311	14	432	425	18	24	36	429
ENSG00000241180	RP11-54O7.2	0	0	0	0	2	0	0	0	0	3
ENSG00000223764	RP11-54O7.3	93	1090	1823	102	1618	1321	116	104	102	1703
ENSG00000187634	SAMD11	127	400	1516	77	697	433	88	89	88	679
ENSG00000268179	AL645608.1	4	4	25	3	10	5	0	0	0	11
ENSG00000188976	NOC2L	5459	11071	15345	8128	17072	15289	8641	9119	9434	19999
ENSG00000187961	KLHL17	1067	1797	3694	991	2719	1916	1279	1141	1174	2779
ENSG00000187583	PLEKHN1	3	303	576	3	381	315	4	3	8	389
ENSG00000187642	C1orf170	8	148	345	16	206	155	16	10	10	183
ENSG00000272512	RP11-54O7.17	96	122	172	104	168	120	128	136	98	123
ENSG00000188290	HES4	714	252	1454	218	395	204	234	218	218	390
ENSG00000231702	RP11-54O7.10	6	26	18	5	11	20	2	5	8	39
ENSG00000224969	RP11-54O7.11	4	29	32	9	24	36	10	5	17	57
ENSG00000187608	ISG15	601	426	1170	458	552	359	512	511	484	605
ENSG00000188157	AGRN	6598	9529	30095	5063	14112	11499	5798	5660	5690	15080
ENSG00000242590	RP11-54O7.14	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	RP11-465B22.3	185	815	968	242	1195	1163	288	246	256	1615
ENSG00000273443	RP11-54O7.18	8	68	98	7	70	58	14	19	5	79
ENSG00000237330	RNF223	0	178	310	0	328	299	2	4	2	364
ENSG00000131591	C1orf159	998	835	2490	715	1084	841	830	728	713	1129
ENSG00000223823	RP11-465B22.5	0	11	25	0	17	19	0	0	0	25
ENSG00000207730	MIR200B	0	0	4	0	0	0	0	0	0	2
ENSG00000207607	MIR200A	0	2	17	0	4	2	0	0	0	2
ENSG00000198976	MIR429	0	2	7	0	1	3	0	0	0	0
ENSG00000272141	RP11-465B22.8	0	6	47	0	36	20	0	0	0	28
ENSG00000205231	TTLL10-AS1	0	2	4	0	8	2	1	2	2	8
ENSG00000162571	TTLL10	6	15	8	5	23	22	10	7	6	28
ENSG00000186891	TNFRSF18	102	350	1019	59	460	331	81	68	88	447
ENSG00000186827	TNFRSF4	31	0	8	20	6	4	27	30	27	6
ENSG00000078808	SDF4	8367	10976	16861	10488	17738	13202	11563	12008	12682	17911
ENSG00000176022	B3GALT6	1314	1797	2690	1404	2384	2360	1762	1807	1897	3142
ENSG00000184163	FAM132A	75	86	282	50	96	66	40	58	26	101
ENSG00000260179	RP5-902P8.12	30	104	88	47	119	89	64	58	40	142
ENSG00000160087	UBE2J2	2904	2717	5419	2451	4158	4116	2834	2746	2959	5017
ENSG00000230415	RP5-902P8.10	204	96	80	309	117	100	356	468	387	112
ENSG00000162572	SCNN1D	1860	480	1183	1776	589	452	2004	2038	1749	690
ENSG00000131584	ACAP3	24414	4183	10123	22566	6300	5158	26167	25473	26221	6591
ENSG00000169972	PUSL1	380	597	1356	491	853	606	446	511	543	829
ENSG00000127054	CPSF3L	8682	8201	11303	12424	12518	10707	14057	14158	14666	13613
ENSG00000240731	RP5-890O3.9	424	457	416	789	740	753	883	911	916	983
ENSG00000224051	GLTPD1	1775	864	2468	1281	1212	912	1532	1618	1465	1432
ENSG00000169962	TAS1R3	68	56	105	66	63	72	74	61	90	62
ENSG00000107404	DVL1	8722	3132	9613	6878	4277	3065	7702	7554	7374	4438
ENSG00000162576	MXRA8	1467	1206	1994	1668	1580	1445	1786	1911	1858	1797
ENSG00000175756	AURKAIP1	4347	4555	7409	4984	6198	5390	5361	5489	5238	7604
ENSG00000223663	RP5-890O3.3	6	5	10	5	12	7	2	7	10	13
ENSG00000221978	CCNL2	13198	15723	22383	18319	23974	23522	21064	22234	22037	29420
ENSG00000224870	RP4-758J18.2	1139	2182	2426	1920	3393	3077	2196	2370	2487	4259
ENSG00000242485	MRPL20	3034	4349	4940	4805	6301	7017	5459	5518	5409	8858
ENSG00000264293	RN7SL657P	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	RP4-758J18.13	301	563	598	513	961	1039	618	626	596	1391
ENSG00000235098	ANKRD65	2020	68	151	2105	150	85	2380	2597	2484	124
ENSG00000225905	RP4-758J18.7	29	4	1	61	9	5	84	57	63	6
ENSG00000205116	TMEM88B	847	0	13	120	2	0	140	176	105	3
ENSG00000225285	RP4-758J18.10	39	14	40	17	16	25	11	23	24	18
ENSG00000179403	VWA1	5537	814	2490	4076	1198	807	4730	4471	4630	1060
ENSG00000215915	ATAD3C	234	239	324	284	336	319	330	354	365	403
ENSG00000160072	ATAD3B	1533	3515	5736	1817	5090	3947	2332	2258	2276	5517
ENSG00000197785	ATAD3A	1124	2270	5866	1017	3388	3130	1140	1249	1238	3962
ENSG00000205090	TMEM240	1263	8	68	477	6	8	616	564	594	18
ENSG00000160075	SSU72	6847	9531	10182	10864	14099	15569	12817	13329	13221	20068
ENSG00000215791	AL645728.2	0	0	0	0	0	0	0	0	0	0
ENSG00000215014	AL645728.1	41	35	53	57	41	52	53	82	70	60
ENSG00000236684	AL645728.3	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	C1orf233	1454	1127	2180	1490	1390	1012	1623	1870	1596	1605
ENSG00000272106	RP11-345P4.9	1986	568	645	2943	824	758	3346	3646	3626	1016
ENSG00000197530	MIB2	6251	1283	5003	3752	1696	1279	4385	4259	4050	1685
ENSG00000189409	MMP23B	9	0	29	1	0	2	5	6	3	0
ENSG00000248333	CDK11B	1917	2538	3282	2895	3944	3746	3225	3215	3333	4886
ENSG00000272004	RP11-345P4.10	1	4	3	7	1	1	3	6	2	1
ENSG00000189339	SLC35E2B	5839	4399	5551	8530	6580	6552	10208	10267	10541	7613
ENSG00000269737	RP11-345P4.7	119	122	134	198	215	161	214	251	320	249
ENSG00000269227	RP11-345P4.6	36	52	28	61	72	56	87	68	92	82
ENSG00000215914	MMP23A	4	2	30	0	40	22	0	25	1	2
ENSG00000008128	CDK11A	172	161	235	225	214	145	212	256	235	190
ENSG00000268575	RP1-283E3.8	451	456	372	961	682	690	1050	1038	1062	897
ENSG00000227775	RP1-283E3.4	758	504	581	1247	793	741	1363	1411	1398	1004
ENSG00000215790	SLC35E2	324	225	302	552	435	389	722	723	689	506
ENSG00000008130	NADK	2311	5404	7409	3546	9125	7247	4125	4192	4283	9531
ENSG00000078369	GNB1	55325	37034	39802	90573	54450	60374	102766	109706	109751	72168
ENSG00000231050	RP1-140A9.1	57	23	18	102	48	37	140	115	160	53
ENSG00000169885	CALML6	80	59	69	87	86	94	142	92	110	140
ENSG00000178821	TMEM52	102	180	342	76	304	212	102	105	100	328
ENSG00000142609	C1orf222	893	84	99	1414	103	125	1612	1785	1813	125
ENSG00000233542	RP11-547D24.1	1264	0	0	2174	2	0	2343	2498	2677	4
ENSG00000187730	GABRD	16020	24	22	19488	30	32	22631	22151	23489	30
ENSG00000226969	RP11-547D24.3	0	2	0	1	3	2	4	0	1	0
ENSG00000067606	PRKCZ	9894	1178	1315	17084	1971	1875	19027	19815	21158	2362
ENSG00000271806	RP5-892K4.1	66	23	8	207	38	50	173	240	180	18
ENSG00000182873	RP11-181G12.2	1341	279	377	1871	430	428	2165	2089	2294	546
ENSG00000162585	C1orf86	1659	1413	3371	1517	1753	1534	1665	1587	1581	2039
ENSG00000269554	AL590822.2	0	0	0	0	0	0	0	0	0	0
ENSG00000203301	AL590822.1	10	18	22	14	17	28	28	42	44	13
ENSG00000243558	RP11-181G12.5	0	0	0	0	0	0	0	0	0	0
ENSG00000234396	RP11-181G12.4	8	2	7	6	3	2	2	3	2	2
ENSG00000157933	SKI	21487	4793	8572	21770	6859	7179	25960	25963	26089	8547
ENSG00000116151	MORN1	1137	372	380	1658	477	513	1821	1842	1916	567
ENSG00000272161	RP4-713A8.1	42	4	2	33	8	4	52	52	51	4
ENSG00000269753	AL589739.1	64	4	10	83	2	10	74	31	92	1
ENSG00000269896	RP4-740C4.6	419	171	201	648	233	207	799	782	957	283
ENSG00000238240	RP4-740C4.5	0	0	0	0	0	0	0	0	0	0
ENSG00000272420	RP4-740C4.7	238	63	70	418	65	104	462	494	457	117
ENSG00000271921	RP4-740C4.9	4	16	23	13	42	25	14	2	13	34
ENSG00000271847	RP4-740C4.8	9	20	23	12	14	15	9	21	9	20
ENSG00000178642	AL513477.1	0	0	0	0	0	0	0	0	0	0
ENSG00000157916	RER1	5872	8385	10636	7925	12256	13338	9152	9682	9745	16078
ENSG00000157911	PEX10	1206	899	1583	1035	1265	1158	1428	1381	1321	1491
ENSG00000149527	PLCH2	8744	58	214	8190	149	99	9547	9362	9592	111
ENSG00000224387	RP3-395M20.2	99	6	4	147	19	2	191	206	226	6
ENSG00000229393	RP3-395M20.3	120	4	5	118	3	0	122	142	139	5
ENSG00000157881	PANK4	2764	1994	2997	3584	3167	2656	3915	4165	4286	3615
ENSG00000197921	HES5	102	0	2	126	4	0	104	90	96	2
ENSG00000272449	RP3-395M20.12	58	24	157	40	24	24	28	38	27	20
ENSG00000238164	RP3-395M20.8	45	530	737	81	804	698	80	82	107	989
ENSG00000157873	TNFRSF14	970	4080	6963	1112	6328	4692	1254	1359	1429	6328
ENSG00000225931	RP3-395M20.7	3	67	128	13	98	78	9	20	12	156
ENSG00000228037	RP3-395M20.9	4	33	32	23	68	61	26	25	11	83
ENSG00000157870	FAM213B	3222	2545	3215	5004	3787	3479	5970	6176	6003	4507
ENSG00000142606	MMEL1	20	60	88	44	107	65	38	45	56	96
ENSG00000237058	RP13-436F16.1	1	0	0	0	0	0	3	1	0	0
ENSG00000215912	TTC34	103	67	107	170	150	93	207	205	179	138
ENSG00000233234	RP11-740P5.2	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	RP11-740P5.3	0	0	0	0	1	0	0	0	0	2
ENSG00000169717	ACTRT2	0	0	0	0	0	0	0	0	2	0
ENSG00000177133	LINC00982	990	8	38	1069	14	10	1187	1265	1301	28
ENSG00000256761	AL008733.1	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	PRDM16	958	129	181	1116	178	168	1314	1301	1313	203
ENSG00000226286	RP1-163G9.2	0	0	1	2	0	0	4	4	1	2
ENSG00000272235	RP11-22L13.1	24	8	12	8	22	30	22	20	26	13
ENSG00000130762	ARHGEF16	192	1142	1735	204	1669	1450	262	288	285	1884
ENSG00000272088	RP11-168F9.2	0	17	17	3	36	24	2	3	8	25
ENSG00000162591	MEGF6	412	1082	3530	303	1440	1041	374	340	253	1415
ENSG00000207776	MIR551A	0	0	0	0	0	0	0	0	0	2
ENSG00000238260	RP11-46F15.2	142	25	35	206	52	46	184	232	227	61
ENSG00000158109	TPRG1L	11838	2960	3089	19740	4431	4552	22091	23574	23751	6065
ENSG00000116213	WRAP73	1619	2453	3617	2222	3965	3327	2514	2592	2755	4279
ENSG00000078900	TP73	641	470	736	722	576	533	852	811	846	649
ENSG00000227589	RP5-1092A11.5	4	3	6	4	4	23	5	4	8	18
ENSG00000235131	RP5-1092A11.2	0	2	3	2	4	6	1	2	4	4
ENSG00000227372	TP73-AS1	2687	3109	3617	4092	4747	4719	4749	4649	4894	6006
ENSG00000162592	CCDC27	8	12	15	17	22	44	15	15	16	45
ENSG00000235169	SMIM1	38	88	355	34	113	68	32	28	49	113
ENSG00000130764	LRRC47	5334	4482	6291	7299	6945	7331	7982	8178	8318	9339
ENSG00000266075	RN7SL574P	10	11	18	9	21	17	9	14	10	14
ENSG00000272153	RP1-286D6.5	75	73	90	136	118	115	87	131	155	188
ENSG00000116198	CEP104	3363	3165	4145	5169	4689	5057	5851	6030	6018	6189
ENSG00000169598	DFFB	844	758	981	1297	1150	1084	1430	1374	1464	1491
ENSG00000264428	AL691523.1	0	0	0	0	0	0	0	0	0	0
ENSG00000198912	C1orf174	1226	3230	3720	2149	5222	5280	2304	2368	2462	6472
ENSG00000236423	LINC01134	22	159	166	24	241	192	33	28	38	328
ENSG00000233304	RP13-614K11.1	14	5	0	35	0	5	34	50	21	1
ENSG00000226374	RP13-614K11.2	2	0	0	4	0	2	3	4	3	2
ENSG00000229280	RP11-374C13.1	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	RP5-1166F10.1	2	0	4	0	6	0	0	0	0	6
ENSG00000227169	RP1-37J18.1	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	RP1-37J18.2	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	AJAP1	4633	2906	3563	6650	4461	4617	7824	8137	8285	5809
ENSG00000231510	RP11-542C10.1	0	1	0	0	0	2	0	0	0	0
ENSG00000260972	RP1-58B11.1	0	0	0	0	0	0	2	0	0	0
ENSG00000264341	MIR4417	0	0	0	0	0	0	5	0	0	0
ENSG00000236948	RP11-154H17.1	0	0	0	0	0	0	0	0	0	0
ENSG00000216045	AL356693.1	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	MIR4689	0	0	4	1	0	0	2	3	0	0
ENSG00000131697	NPHP4	1729	2058	3117	2477	3371	2627	2943	2959	3157	3365
ENSG00000266687	AL356261.1	1	0	0	0	2	0	2	0	2	0
ENSG00000069424	KCNAB2	26802	4564	6504	37041	6890	5859	42353	44403	44299	7590
ENSG00000268332	AL035406.1	0	0	0	0	0	0	0	0	0	0
ENSG00000116254	CHD5	16040	147	196	23450	243	169	26680	27178	27716	249
ENSG00000116251	RPL22	15410	41684	40547	23858	55470	71429	26224	28552	26525	90504
ENSG00000226944	RP1-120G22.11	38	143	137	104	231	162	87	129	104	306
ENSG00000158286	RNF207	1371	2110	2302	2114	3126	3128	2496	2511	2642	3908
ENSG00000116237	ICMT	6770	11429	13343	10817	16202	18059	11958	12708	12978	21447
ENSG00000225077	LINC00337	2	118	100	10	114	183	12	16	16	184
ENSG00000173673	HES3	2	16	23	4	0	8	0	0	4	12
ENSG00000158292	GPR153	790	940	1405	931	1476	1308	1126	1214	1138	1695
ENSG00000097021	ACOT7	9606	5195	7007	14008	8402	7137	15694	16256	17182	9648
ENSG00000271746	RP1-202O8.3	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	HES2	4	90	104	2	124	136	2	0	2	166
ENSG00000187017	ESPN	644	906	2448	674	1356	998	751	636	687	1394
ENSG00000265392	MIR4252	0	0	0	0	0	2	0	0	0	0
ENSG00000231868	RP1-202O8.2	0	4	2	0	7	14	0	0	0	14
ENSG00000215788	TNFRSF25	6970	650	958	9721	902	860	10324	11384	10750	1180
ENSG00000171680	PLEKHG5	12367	897	1498	15214	1266	1092	18432	18184	18055	1452
ENSG00000162408	NOL9	1950	4693	4295	4053	6839	8054	4326	4421	4385	10038
ENSG00000253022	RNU6-731P	0	10	2	0	3	12	0	0	3	4
ENSG00000229519	RP11-58A11.2	8	18	23	11	41	49	14	26	19	40
ENSG00000173662	TAS1R1	16	56	34	6	78	56	35	22	26	93
ENSG00000204859	ZBTB48	1121	1902	2001	1917	2542	2274	2122	2090	2490	3183
ENSG00000162413	KLHL21	5975	4303	6113	8441	6848	6080	9421	9940	10453	7937
ENSG00000116273	PHF13	1792	3410	4053	2533	5057	5792	2890	2932	3189	6921
ENSG00000041988	THAP3	1236	1001	1381	1757	1643	1312	1984	2041	2078	1648
ENSG00000007923	DNAJC11	2537	5040	5260	4689	7916	8500	5306	5042	5315	10117
ENSG00000228750	RP11-242F24.1	0	0	0	0	1	0	0	2	4	1
ENSG00000239166	snoU13	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	RP11-312B8.1	16	53	42	19	64	79	25	34	19	84
ENSG00000171735	CAMTA1	19089	2359	2677	26003	3406	4102	30053	32250	30906	5342
ENSG00000227950	RP11-312B8.2	2	2	3	6	8	14	5	3	2	12
ENSG00000237365	RP11-334N17.1	0	1	1	1	5	0	2	2	1	0
ENSG00000207056	RNU1-8P	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	CAMTA1-IT1	0	0	2	12	2	3	6	10	4	6
ENSG00000237728	RP3-453P22.2	0	0	4	3	0	0	3	0	3	0
ENSG00000225126	RP4-549F15.1	1	5	2	3	2	2	4	2	0	6
ENSG00000270171	RP11-338N10.1	273	10	22	372	31	43	434	376	446	34
ENSG00000270035	RP11-338N10.2	67	3	12	94	20	32	95	107	138	16
ENSG00000269978	RP11-338N10.3	55	32	40	100	32	38	90	119	124	42
ENSG00000049245	VAMP3	6277	8215	9558	9379	11401	14013	10631	11409	10928	16750
ENSG00000269925	RP3-467L1.6	91	45	58	139	52	93	140	160	143	101
ENSG00000049246	PER3	7098	2200	2795	10667	3381	4088	12585	12917	13136	4267
ENSG00000236266	RP3-467L1.4	36	21	21	68	39	33	91	77	73	54
ENSG00000049247	UTS2	8	658	692	13	991	1229	11	10	3	1462
ENSG00000049249	TNFRSF9	2	103	77	4	124	178	10	2	2	201
ENSG00000270330	RP5-892F13.2	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	PARK7	12751	17007	17449	21973	23937	29170	23296	25646	24317	36489
ENSG00000200344	Y_RNA	1	8	3	4	6	10	9	5	11	18
ENSG00000116285	ERRFI1	3964	15537	18619	6243	22749	27495	7022	7304	7290	31534
