,Geneid,gene_name,SRR950087,SRR950082,SRR950086,SRR950080,SRR950085,SRR950078,SRR950079,SRR950083,SRR950081,SRR950084
0,ENSG00000223972,DDX11L1,0,2,1,0,0,1,0,2,1,0
1,ENSG00000227232,WASH7P,492,468,772,697,674,370,671,777,742,700
2,ENSG00000243485,MIR1302-10,0,3,1,3,1,7,0,0,2,0
3,ENSG00000237613,FAM138A,0,0,0,0,0,1,0,0,0,1
4,ENSG00000268020,OR4G4P,0,0,0,0,0,0,0,0,0,0
5,ENSG00000240361,OR4G11P,0,0,1,0,0,0,0,0,0,0
6,ENSG00000186092,OR4F5,0,0,1,0,0,0,0,0,0,1
7,ENSG00000238009,RP11-34P13.7,2,10,21,9,2,14,1,0,2,20
8,ENSG00000239945,RP11-34P13.8,0,0,0,0,0,0,0,0,0,0
9,ENSG00000233750,CICP27,2,6,7,8,6,11,9,19,9,11
10,ENSG00000237683,AL627309.1,96,286,395,494,132,345,156,166,138,478
11,ENSG00000268903,RP11-34P13.15,1,3,3,3,3,3,1,1,5,7
12,ENSG00000269981,RP11-34P13.16,0,0,0,0,0,0,0,0,0,0
13,ENSG00000239906,RP11-34P13.14,2,2,4,8,2,5,8,5,17,9
14,ENSG00000241860,RP11-34P13.13,26,53,40,76,53,96,92,77,80,37
15,ENSG00000222623,RNU6-1100P,1,0,1,0,0,1,0,0,0,0
16,ENSG00000241599,RP11-34P13.9,0,6,0,3,0,2,1,0,1,3
17,ENSG00000228463,AP006222.2,100,60,66,90,183,109,187,251,198,112
18,ENSG00000241670,AP006222.1,0,0,0,0,0,0,0,0,0,0
19,ENSG00000237094,RP4-669L17.10,20,46,55,72,36,52,52,22,42,68
20,ENSG00000250575,RP4-669L17.8,6,2,8,6,3,3,0,1,1,10
21,ENSG00000233653,CICP7,0,0,0,0,3,2,4,0,0,2
22,ENSG00000224813,RP4-669L17.4,0,0,0,0,0,0,0,0,0,0
23,ENSG00000235249,OR4F29,0,0,0,0,0,0,0,0,0,0
24,ENSG00000269732,WBP1LP7,0,0,0,0,0,0,0,0,0,0
25,ENSG00000256186,AL732372.1,0,0,0,0,0,0,0,0,0,0
26,ENSG00000236601,RP4-669L17.2,0,1,1,0,0,0,0,0,0,0
27,ENSG00000236743,RP5-857K21.15,0,0,0,1,0,0,0,0,0,2
28,ENSG00000236679,RP4-669L17.1,2,0,0,0,1,3,0,1,2,1
29,ENSG00000231709,RP5-857K21.1,2,1,2,2,3,1,8,6,7,0
30,ENSG00000235146,RP5-857K21.2,1,0,2,1,1,1,0,0,0,1
31,ENSG00000239664,RP5-857K21.3,0,0,2,1,0,0,1,1,0,0
32,ENSG00000230021,RP5-857K21.4,1,1,2,3,2,3,4,2,4,2
33,ENSG00000223659,RP5-857K21.5,1,0,0,0,1,0,0,1,0,0
34,ENSG00000225972,MTND1P23,49,598,601,963,70,1196,95,70,77,1367
35,ENSG00000225630,MTND2P28,10567,3343,4611,4461,14353,5473,17180,16626,17501,6445
36,ENSG00000237973,hsa-mir-6723,7895,5976,7319,8594,11920,9629,13178,13304,13713,12887
37,ENSG00000229344,RP5-857K21.7,2873,71,70,79,4141,91,5667,4321,5099,124
38,ENSG00000240409,MTATP8P1,3,3,2,5,1,3,9,8,6,3
39,ENSG00000248527,MTATP6P1,48580,24181,28452,40352,81202,47398,99590,81299,100809,56558
40,ENSG00000198744,RP5-857K21.11,59,41,55,47,100,68,141,126,131,94
41,ENSG00000268663,WBP1LP6,0,0,0,0,1,0,0,0,0,0
42,ENSG00000185097,OR4F16,0,0,0,0,0,0,0,0,0,0
43,ENSG00000229376,CICP3,9,6,3,8,12,6,24,24,25,9
44,ENSG00000224956,RP11-206L10.1,31,14,121,27,11,21,22,13,12,45
45,ENSG00000235373,RP11-206L10.3,15,34,31,45,23,82,24,31,23,63
46,ENSG00000223181,RNU6-1199P,0,1,0,0,1,1,0,0,0,1
47,ENSG00000240618,RP11-206L10.5,1,3,1,2,3,3,4,2,4,0
48,ENSG00000229905,RP11-206L10.4,1,0,1,1,0,1,0,0,0,0
49,ENSG00000228327,RP11-206L10.2,69,97,79,153,98,126,122,118,129,148
50,ENSG00000237491,RP11-206L10.9,116,113,168,190,220,214,229,236,245,263
51,ENSG00000230092,RP11-206L10.8,9,9,13,18,13,14,21,19,17,21
52,ENSG00000269831,AL669831.1,1,2,1,2,0,3,2,3,9,3
53,ENSG00000240453,RP11-206L10.10,0,0,0,0,0,0,1,0,1,0
54,ENSG00000177757,FAM87B,15,11,18,20,28,25,31,31,38,23
55,ENSG00000225880,LINC00115,93,103,135,127,131,142,166,147,139,204
56,ENSG00000228794,LINC01128,1926,622,707,941,3016,938,3532,3836,3693,1176
57,ENSG00000230368,FAM41C,13,4,4,3,18,1,13,16,15,0
58,ENSG00000234711,TUBB8P11,1,0,0,1,2,1,0,3,5,4
60,ENSG00000272438,RP11-54O7.16,5,37,44,63,2,48,4,3,2,46
61,ENSG00000230699,RP11-54O7.1,6,156,175,231,7,221,10,12,19,236
62,ENSG00000241180,RP11-54O7.2,0,0,0,2,0,0,0,0,0,4
63,ENSG00000223764,RP11-54O7.3,47,556,941,840,52,680,58,53,51,896
64,ENSG00000187634,SAMD11,71,240,868,416,46,267,50,53,53,409
65,ENSG00000268179,AL645608.1,3,3,19,7,2,5,0,0,0,8
66,ENSG00000188976,NOC2L,2908,5888,8228,9108,4296,8166,4612,4870,5024,10686
67,ENSG00000187961,KLHL17,573,971,2000,1472,543,1056,679,613,638,1515
68,ENSG00000187583,PLEKHN1,2,162,313,206,2,169,2,2,4,206
69,ENSG00000187642,C1orf170,4,83,190,116,10,84,9,5,5,101
70,ENSG00000272512,RP11-54O7.17,43,61,92,89,50,61,74,76,49,68
71,ENSG00000188290,HES4,369,131,761,201,114,107,121,112,112,201
72,ENSG00000231702,RP11-54O7.10,5,11,9,8,6,15,1,4,4,27
73,ENSG00000224969,RP11-54O7.11,4,17,22,21,7,24,5,7,12,39
74,ENSG00000187608,ISG15,305,220,601,285,243,185,263,262,249,322
75,ENSG00000188157,AGRN,3531,5092,16105,7627,2727,6177,3097,3038,3080,8248
76,ENSG00000242590,RP11-54O7.14,0,0,0,0,0,0,0,0,0,0
77,ENSG00000217801,RP11-465B22.3,107,447,564,680,138,633,166,146,147,892
78,ENSG00000273443,RP11-54O7.18,4,39,62,40,4,33,9,10,3,50
79,ENSG00000237330,RNF223,0,90,163,165,0,154,1,2,1,198
80,ENSG00000131591,C1orf159,530,445,1304,588,383,451,443,398,386,613
81,ENSG00000223823,RP11-465B22.5,0,7,13,9,0,10,0,0,0,13
82,ENSG00000207730,MIR200B,0,0,3,0,0,0,0,0,0,1
83,ENSG00000207607,MIR200A,0,1,10,2,0,1,0,0,0,1
84,ENSG00000198976,MIR429,0,1,4,1,0,2,0,0,0,0
85,ENSG00000272141,RP11-465B22.8,0,3,25,19,0,10,0,0,0,16
86,ENSG00000205231,TTLL10-AS1,0,1,2,4,0,1,1,1,1,4
87,ENSG00000162571,TTLL10,3,8,4,16,4,11,5,4,4,16
88,ENSG00000186891,TNFRSF18,55,183,539,256,33,176,41,35,48,234
89,ENSG00000186827,TNFRSF4,16,0,4,2,14,2,15,15,15,3
90,ENSG00000078808,SDF4,4293,5634,8629,9094,5419,6794,5957,6205,6548,9227
91,ENSG00000176022,B3GALT6,669,918,1368,1221,722,1213,899,917,967,1610
92,ENSG00000184163,FAM132A,40,45,151,53,26,35,21,30,15,54
93,ENSG00000260179,RP5-902P8.12,20,65,50,67,26,52,37,33,24,86
94,ENSG00000160087,UBE2J2,1512,1445,2850,2207,1307,2190,1507,1469,1590,2681
95,ENSG00000230415,RP5-902P8.10,121,55,50,66,189,49,215,272,231,64
96,ENSG00000162572,SCNN1D,994,258,627,309,964,248,1083,1109,945,373
97,ENSG00000131584,ACAP3,12810,2223,5285,3332,11992,2746,13864,13554,13941,3544
98,ENSG00000169972,PUSL1,216,331,747,461,268,332,247,283,301,454
99,ENSG00000127054,CPSF3L,4633,4347,5949,6693,6756,5751,7598,7684,7968,7276
100,ENSG00000240731,RP5-890O3.9,275,261,251,418,470,415,522,526,532,540
101,ENSG00000224051,GLTPD1,913,441,1266,621,667,463,782,835,750,734
102,ENSG00000169962,TAS1R3,38,28,55,32,34,38,40,37,49,33
103,ENSG00000107404,DVL1,4519,1631,4986,2225,3596,1596,4001,3904,3837,2311
104,ENSG00000162576,MXRA8,794,626,1046,841,886,761,943,1022,1001,956
105,ENSG00000175756,AURKAIP1,2208,2329,3770,3164,2544,2770,2741,2815,2696,3905
106,ENSG00000223663,RP5-890O3.3,3,3,6,6,3,4,1,4,5,7
107,ENSG00000221978,CCNL2,6781,8186,11540,12423,9436,12145,10844,11518,11371,15240
108,ENSG00000224870,RP4-758J18.2,581,1128,1249,1748,986,1577,1120,1219,1275,2189
109,ENSG00000242485,MRPL20,1625,2358,2685,3405,2608,3804,2926,2984,2928,4835
110,ENSG00000264293,RN7SL657P,0,0,0,0,0,0,0,0,0,0
111,ENSG00000272455,RP4-758J18.13,172,322,329,517,306,552,357,342,347,775
112,ENSG00000235098,ANKRD65,1050,34,76,78,1068,43,1219,1312,1271,64
113,ENSG00000225905,RP4-758J18.7,19,3,1,5,40,3,52,38,39,4
114,ENSG00000205116,TMEM88B,478,0,8,1,99,0,104,134,81,2
115,ENSG00000225285,RP4-758J18.10,23,7,25,9,10,13,6,15,13,9
116,ENSG00000179403,VWA1,2820,432,1279,631,2103,423,2455,2318,2410,563
117,ENSG00000215915,ATAD3C,131,128,186,178,160,171,191,196,208,219
118,ENSG00000160072,ATAD3B,872,1970,3339,2924,1050,2214,1298,1279,1310,3075
