,Geneid,gene_name,SRX9432645,SRX9432643,SRX9432642,SRX9432646,SRX9432644,SRX9432641
0,AT1G01010,NAC001,1379,2113,2371,1808,1977,2201
1,AT1G01020,ARV1,583,549,487,826,649,608
3,AT1G01040,DCL1,2338,3117,3157,2451,3285,4036
4,AT1G01046,MIR838A,22,18,40,40,19,30
5,AT1G01050,PPA1,2335,3285,3298,3228,4043,3806
6,AT1G01060,LHY,1608,8341,19796,7074,6756,9963
7,AT1G01070,AT1G01070,914,2498,1698,1077,1113,2691
9,AT1G01080,AT1G01080,504,410,349,612,729,475
10,AT1G01090,PDH-E1 ALPHA,4851,6468,5988,7362,8657,7772
11,AT1G01100,RPP1A,8377,10237,8752,11923,16582,11037
12,AT1G01110,IQD18,343,339,187,218,506,521
14,AT1G01120,KCS1,2773,1502,2779,4010,3200,2520
15,AT1G01130,AT1G01130,71,116,85,147,130,131
16,AT1G01140,CIPK9,311,604,800,512,571,991
18,AT1G01160,GIF2,887,1376,1029,1149,1468,1346
19,AT1G01170,AT1G01170,509,709,795,454,303,816
20,AT1G01180,AT1G01180,802,1014,1208,1201,1262,1363
22,AT1G01190,CYP78A8,1667,1004,1235,1672,2361,780
23,AT1G01200,RABA3,353,176,107,566,781,118
24,AT1G01210,AT1G01210,623,479,782,1006,1334,668
25,AT1G01220,FKGP,804,1131,1278,1168,1563,1412
26,AT1G01225,AT1G01225,295,281,399,313,532,324
27,AT1G01230,AT1G01230,1474,1987,2166,1914,1725,2575
28,AT1G01240,AT1G01240,979,2592,2225,1112,871,2520
30,AT1G01260,BHLH13,764,881,789,1107,1100,1057
33,AT1G01290,CNX3,549,502,613,747,1050,713
34,AT1G01300,AT1G01300,3446,2081,2390,3262,5374,2662
37,AT1G01320,AT1G01320,1319,1469,1123,1430,1784,1623
38,AT1G01340,CNGC10,1072,1982,1596,1568,1481,1660
39,AT1G01350,AT1G01350,998,1181,1229,1304,1590,1113
40,AT1G01355,AT1G01355,19,34,58,5,23,31
41,AT1G01360,PYL9,925,1355,2138,1565,1368,1349
42,AT1G01370,HTR12,312,487,116,486,457,361
43,AT1G01380,ETC1,134,52,207,174,327,179
47,AT1G01420,UGT72B3,112,64,45,215,187,77
48,AT1G01430,TBL25,1341,1376,1522,1503,1537,2014
49,AT1G01440,AT1G01440,772,1186,1225,1056,1064,1587
50,AT1G01448,AT1G01448,199,255,177,210,240,366
54,AT1G01470,LEA14,2603,1885,1911,2772,2941,1800
56,AT1G01480,ACS2,235,201,154,253,266,274
57,AT1G01490,AT1G01490,2002,2723,3271,4338,4884,3232
58,AT1G01500,AT1G01500,413,361,400,633,708,554
59,AT1G01510,AN,2246,3290,3778,2814,3857,3787
62,AT1G01540,AT1G01540,1613,2521,2339,2492,2628,2381
63,AT1G01550,BPS1,8436,11834,10526,11472,12088,12226
64,AT1G01560,MPK11,92,38,126,172,194,36
65,AT1G01570,AT1G01570,219,261,165,249,304,178
66,AT1G01580,FRO2,2270,1706,262,9177,22592,379
68,AT1G01600,CYP86A4,288,176,355,290,414,230
69,AT1G01610,GPAT4,3557,3323,4319,6160,4934,3750
70,AT1G01620,PIP1-3,26704,69953,63262,34138,29800,77450
71,AT1G01630,AT1G01630,1375,1873,1669,2293,2521,2182
72,AT1G01640,AT1G01640,932,1750,1660,980,1220,2074
