gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010	AT1G01010.1	1995.00	2133.00	1895.00	1853.00	1212.00	1619.00
AT1G01020	AT1G01020.1,AT1G01020.2	418.00	246.00	360.00	344.00	297.00	545.00
AT1G01030	AT1G01030.1	2.00	0.00	0.00	12.00	38.00	44.00
AT1G01040	AT1G01040.1,AT1G01040.2	3734.00	2961.00	2905.00	3059.00	2196.00	2296.00
AT1G01046	AT1G01046.1	1.00	0.00	0.00	0.00	0.00	0.00
AT1G01050	AT1G01050.1	3828.00	3261.00	3522.00	4055.00	2459.00	3188.00
AT1G01060	AT1G01060.1,AT1G01060.2,AT1G01060.3,AT1G01060.4,AT1G01060.5	9255.00	18341.00	7841.00	6340.00	1526.00	6681.00
AT1G01070	AT1G01070.1,AT1G01070.2	2480.00	1685.00	2274.00	1037.00	866.00	1069.00
AT1G01073	AT1G01073.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01080	AT1G01080.1,AT1G01080.2	451.00	325.00	368.00	658.00	444.00	554.00
AT1G01090	AT1G01090.1	7080.00	5363.00	5721.00	7707.00	4396.00	6831.00
AT1G01100	AT1G01100.1,AT1G01100.2,AT1G01100.3,AT1G01100.4	10250.00	8161.00	9499.00	15424.00	7747.00	10959.00
AT1G01110	AT1G01110.1,AT1G01110.2	462.00	143.00	292.00	438.00	285.00	179.00
AT1G01115	AT1G01115.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01120	AT1G01120.1	2419.00	2693.00	1438.00	3098.00	2712.00	3922.00
AT1G01130	AT1G01130.1	20.00	0.00	19.00	23.00	27.00	46.00
AT1G01140	AT1G01140.1,AT1G01140.2,AT1G01140.3	963.00	782.00	654.00	563.00	253.00	474.00
AT1G01150	AT1G01150.1	8.00	0.00	24.00	31.00	14.00	20.00
AT1G01160	AT1G01160.1,AT1G01160.2	1365.28	962.09	1491.00	1372.00	828.00	1042.52
AT1G01170	AT1G01170.1,AT1G01170.2	976.72	862.91	771.00	346.00	564.00	500.48
AT1G01180	AT1G01180.1	1339.00	1143.00	932.00	1105.00	748.00	1170.00
AT1G01183	AT1G01183.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01190	AT1G01190.1	454.00	804.00	677.00	1622.00	1079.00	1201.00
AT1G01200	AT1G01200.1	103.00	92.00	155.00	665.00	251.00	424.00
AT1G01210	AT1G01210.1	572.00	727.00	454.00	1162.00	540.00	940.00
AT1G01220	AT1G01220.1	1327.00	1212.00	1083.00	1444.00	746.00	1123.00
AT1G01225	AT1G01225.1	280.00	369.00	266.00	466.00	289.00	272.00
AT1G01230	AT1G01230.1	2370.00	2052.00	1882.00	1604.00	1353.00	1849.00
AT1G01240	AT1G01240.1,AT1G01240.2,AT1G01240.3	2301.00	2081.00	2436.00	821.00	881.00	1051.00
AT1G01250	AT1G01250.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01260	AT1G01260.1,AT1G01260.2,AT1G01260.3	994.00	760.00	798.00	987.00	669.00	1026.00
AT1G01270	AT1G01270.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01280	AT1G01280.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01290	AT1G01290.1,AT1G01290.2	661.00	535.00	446.00	892.00	472.00	663.00
AT1G01300	AT1G01300.1	2572.00	2311.00	1969.00	5120.00	3370.00	3014.00
AT1G01305	AT1G01305.1	12.00	0.00	0.00	0.00	0.00	0.00
AT1G01310	AT1G01310.1	11.00	17.00	19.00	4.00	16.00	23.00
AT1G01320	AT1G01320.1,AT1G01320.2	1527.00	1113.00	1376.00	1745.00	1250.00	1334.00
AT1G01340	AT1G01340.1,AT1G01340.2	1404.00	1403.00	1727.00	1317.00	948.00	1466.00
AT1G01350	AT1G01350.1	1018.00	1167.00	1108.00	1483.00	955.00	1258.00
AT1G01355	AT1G01355.1	27.00	58.00	22.00	6.00	7.00	0.00
AT1G01360	AT1G01360.1	1229.00	1945.00	1216.00	1169.00	859.00	1416.00
AT1G01370	AT1G01370.1,AT1G01370.2	246.00	111.00	366.00	386.00	241.00	429.00
AT1G01380	AT1G01380.1	144.00	189.00	50.00	243.00	90.00	118.00
AT1G01390	AT1G01390.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01400	AT1G01400.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01410	AT1G01410.1	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01420	AT1G01420.1	73.00	31.00	53.00	148.00	98.00	204.00
