gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
NA	a1cf	6049.796044275	1.66031634879187	0.335743714693245	4.94518966738911	7.60697637760822e-07	6.7755908917767e-06	1	DE
NA	a2ml	846.866588338025	-7.78425445303348	0.545272815344342	-14.2758894886731	3.0931579203059e-46	7.11566919757643e-44	1	DE
NA	aaas	218.690132528217	-0.386378848497856	0.278974248769668	-1.38499825773118	0.166053000108823	0.280861651477426	0	not_DE
NA	aacs	554.530111684572	-2.66823434532768	0.298440143851698	-8.94060132424274	3.87058376934542e-19	1.85854121979669e-17	1	DE
NA	aadac	27.0766743516512	0.812956163599526	0.478800940130108	1.69790009889833	0.0895266186076148	0.17429382088519	0	not_DE
NA	aadacl4	37.3893734922198	5.15790592410466	0.577536333782947	8.93087693776706	4.22645037448816e-19	2.02174530673767e-17	1	DE
NA	aadat	43.675806436316	0.500477619342381	0.459869207930014	1.08830426284716	0.276460809283878	0.412831392595806	0	not_DE
NA	aaed1	43.0328370566068	-1.30028652459534	0.347545617962933	-3.7413405820413	0.000183041269337969	0.000932526539278701	1	DE
NA	aagab_1	0.520636355339282	-0.451523035053232	2.10878600869865	-0.21411515117737	0.830457260843903	NA	0	not_DE
NA	aak1a	102.281994648619	0.199211487121838	0.14890288257666	1.33786185784065	0.180941472797893	0.299693936978052	0	not_DE
NA	aak1b	78.2113027210893	0.255491892401366	0.264088911425747	0.967446497552782	0.333320875190569	0.473406563770407	0	not_DE
NA	aamdc	211.705477885023	0.108386967127811	0.317132568424521	0.341771794887752	0.732522637204253	0.822892894186878	0	not_DE
NA	aamp	945.454578504416	1.40064858840074	0.189902154645131	7.37563294644089	1.63566084186892e-13	4.33407304748617e-12	1	DE
NA	aanat1	0.040664563576741	-0.189304090240223	3.11653965008542	-0.0607417557594795	0.951564876769269	NA	0	not_DE
NA	aanat2	9.94163860295992	-2.39640669007234	0.606993341986362	-3.94799501791929	7.88084442779366e-05	0.000444450118665743	1	DE
NA	aar2	207.189856213212	-0.0564793044221185	0.103025877139712	-0.548205033435705	0.583551126334393	0.705868128675516	0	not_DE
NA	aars	258.274525401677	0.639111782442387	0.351187401564978	1.81985965212404	0.0687803807151037	0.141785970340478	0	not_DE
NA	aars_1	117.899853483762	0.0145427071212614	0.396359051369917	0.0366907405570735	0.970731591638539	0.982849714976723	0	not_DE
