gene_id	gene_name	SRR3655791	SRR3655792	SRR3655793	SRR3655794	SRR3655795	SRR3655796	SRR3655797	SRR3655798	SRR3655799	SRR3655800	SRR3655801	SRR3655802
ERCC-00002	ERCC-00002	1152.483738	1115.165277	1000.175978	953.682296	1098.084409	1050.122534	4331.103773	4331.103798	4046.882758	3929.755218	6039.77096	5793.618047
ERCC-00003	ERCC-00003	98.063547	99.761352	115.962815	105.919738	99.075024	96.655724	485.512209	485.512212	460.206652	444.985949	583.433993	563.021332
ERCC-00004	ERCC-00004	1408.94395	1375.391176	1495.710901	1399.898834	1390.052882	1324.573195	852.379284	852.379289	872.286105	804.706952	1141.80277	1082.883667
ERCC-00009	ERCC-00009	48.093041	49.750386	44.131984	44.155425	49.677454	47.242691	94.360441	94.360441	94.075023	89.506388	133.886352	133.173292
ERCC-00012	ERCC-00012	0.082335	0	0	0	0	0.029153	0.105618	0.105618	0	0	0	0.035407
ERCC-00013	ERCC-00013	0	0.169609	0	0.104001	0.099474	0.235845	0.142407	0.142407	0.777706	0.200095	0.751113	0.477394
ERCC-00014	ERCC-00014	0	0.013422	0	0.03292	0.031487	0.062212	0.450772	0.450772	0.164116	0.126676	0.237756	0.181336
ERCC-00016	ERCC-00016	0	0	0	0	0	0	0	0	0.121431	0	0.117279	0
ERCC-00017	ERCC-00017	0	0.026237	0	0	0.061552	0	0	0	0	0	0	0
ERCC-00019	ERCC-00019	3.855698	3.313581	3.832277	3.61213	4.174661	4.209413	1.854764	1.854764	2.438498	2.026981	2.355115	2.763454
ERCC-00022	ERCC-00022	24.980193	26.487808	20.440082	23.343957	30.51278	23.938488	107.770703	107.770704	103.17075	102.594724	144.769476	148.788546
ERCC-00024	ERCC-00024	0.227132	0	0.28516	0	0.203521	0	0	0	0	0.204695	0	0.097674
ERCC-00025	ERCC-00025	1.826693	1.671881	1.903943	1.226969	1.48239	1.6963	3.271717	3.271717	2.97789	3.059537	4.430691	4.431609
ERCC-00028	ERCC-00028	0.34627	0.052904	0.086947	0.291956	0.186165	0.294255	0	0	0.242579	0.031206	0.156189	0.089344
ERCC-00031	ERCC-00031	0.137225	0.209656	0.086142	0.160696	0.06148	0.097177	0.440077	0.440077	0.240333	0.309175	0.232115	0.295056
ERCC-00033	ERCC-00033	0	0.064694	0.04253	0.06347	0	0.047978	0	0	0	0.030529	0.038199	0.072837
ERCC-00034	ERCC-00034	0.954867	1.276507	1.598429	1.006366	1.711215	1.465087	2.143559	2.143559	2.136864	2.689199	2.871367	3.113894
ERCC-00035	ERCC-00035	8.933755	8.4646	7.042729	6.520348	8.625626	7.405415	12.437316	12.437316	11.482064	13.200323	16.399877	16.230855
ERCC-00039	ERCC-00039	0.38164	0.097179	0.319429	0.238354	0.227978	0.315303	0.815937	0.815937	1.336786	0.745204	2.295245	1.258232
ERCC-00040	ERCC-00040	0	0.192705	0.158355	0.059081	0	0.08932	0.323597	0.323597	0	0.341013	0.71116	0.325441
ERCC-00041	ERCC-00041	0	0	0	0	0.062493	0.024694	0.089465	0.089465	0.162861	0.062853	0.078646	0.089975
ERCC-00042	ERCC-00042	53.266156	49.366754	48.690471	48.529554	52.126086	49.462845	112.798842	112.798843	108.767717	103.641033	134.501304	134.884146
ERCC-00043	ERCC-00043	66.879497	64.965801	71.64455	64.693715	68.083052	62.073769	293.926777	293.926778	282.59276	277.00616	393.329296	383.039661
ERCC-00044	ERCC-00044	1.942553	1.842126	1.009178	1.568828	1.140407	1.826264	6.10081	6.10081	5.240068	5.855667	7.553562	7.575846
ERCC-00046	ERCC-00046	695.838778	681.84055	699.852584	658.600126	705.111405	662.629568	3102.525723	3102.525741	3027.354793	2940.659966	4299.362489	4085.64279
ERCC-00048	ERCC-00048	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00051	ERCC-00051	39.254144	40.366611	68.237996	36.774423	40.58494	50.250236	135.57028	135.570281	102.241547	82.998802	139.60564	159.715774
ERCC-00053	ERCC-00053	1.18721	1.451074	2.186103	1.445877	1.205637	1.625408	3.655048	3.655048	3.141973	3.56645	5.444313	4.186412
ERCC-00054	ERCC-00054	3.134168	13.168221	0	14.680901	8.4251	6.658428	36.184214	36.184214	43.912771	35.30711	49.47973	40.43376
ERCC-00057	ERCC-00057	0	0.03019	0	0	0	0	0	0	0	0	0	0
ERCC-00058	ERCC-00058	0.137544	0.131339	0	0.128855	0.061623	0.121753	0.352878	0.352878	0.481781	0.464838	0.387755	0.384463
ERCC-00059	ERCC-00059	4.723614	4.510519	1.482607	2.43387	3.597699	3.261423	12.118773	12.118774	10.203129	12.451741	20.507469	20.617735
