gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_mix2_vs_mix1	lfcSE_condition_stage_mix2_vs_mix1	stat_condition_stage_mix2_vs_mix1	pvalue_condition_stage_mix2_vs_mix1	padj_condition_stage_mix2_vs_mix1	contrast_vector	outcome
NAC001	AT1G01010	1946.90472643531	-0.334648262434219	0.149175581511005	-2.24331796829315	0.0248763174901834	0.100413933754711	0	not_DE
ARV1	AT1G01020	613.593746983864	0.386397615377291	0.227952254291343	1.6950813519196	0.0900599892703874	0.251951879798397	0	not_DE
NGA3	AT1G01030	20.7073680529152	6.01721399823884	1.53815103260623	3.91197864883484	9.15430068233319e-05	0.00117373319201381	1	DE
DCL1	AT1G01040	3014.74181069718	-0.298495574288357	0.149108270790345	-2.00187134292543	0.0452985704607669	0.155516253833114	0	not_DE
MIR838A	AT1G01046	28.0230102753604	-0.0523950242689829	0.840080049213077	-0.0623690853247409	0.950268913351705	0.979727525615245	0	not_DE
PPA1	AT1G01050	3262.43194063077	-0.0866137823616264	0.129232801564233	-0.670215156781048	0.502720643163704	0.716985766716736	0	not_DE
LHY	AT1G01060	8651.34708163916	-1.36268308463572	0.607228504435661	-2.24410263135153	0.0248257987077392	0.100274030586504	0	not_DE
AT1G01070	AT1G01070	1635.08044340637	-1.08661148005697	0.19284203757132	-5.63472308082776	1.75339855556768e-08	6.44839099013034e-07	1	DE
AT1G01080	AT1G01080	507.007671016295	0.627146064308165	0.220307470343102	2.84668542256629	0.0044176993350979	0.0272730850150902	1	DE
PDH-E1 ALPHA	AT1G01090	6693.03948808014	0.0703121052263868	0.128407810556038	0.547568757086645	0.583988046980442	0.776453794755078	0	not_DE
RPP1A	AT1G01100	10878.7671772375	0.310180282567984	0.139399378752246	2.22511954747852	0.0260732138284963	0.10390675371548	0	not_DE
IQD18	AT1G01110	345.915150550684	0.101137083872558	0.38424407534162	0.263210522589424	0.792388320830011	0.900978369568869	0	not_DE
KCS1	AT1G01120	2781.11895557085	0.615419745307019	0.215214055285241	2.85957041463371	0.00424215228685827	0.0264442357553278	1	DE
AT1G01130	AT1G01130	110.459563900256	0.0894814858994784	0.437283956370282	0.204630159867351	0.837861089822321	0.924735715028737	0	not_DE
CIPK9	AT1G01140	613.399536695657	-0.752289764843774	0.230653071911656	-3.26156403905131	0.00110799402531159	0.00908435961612997	1	DE
AT1G01150	AT1G01150	24.175317828605	1.27546330277793	1.17462578819446	1.08584650158114	0.277546909102081	0.509418723077116	0	not_DE
GIF2	AT1G01160	1186.70060307021	-0.0688689512460658	0.181122581758721	-0.380233930950742	0.703771774111435	0.850833710441736	0	not_DE
AT1G01170	AT1G01170	599.747593596794	-0.750201487096078	0.304193074171116	-2.46620173434347	0.0136554402485339	0.0644589755850626	0	not_DE
AT1G01180	AT1G01180	1119.14117629072	-0.0985957013617416	0.171990264674995	-0.573263268988249	0.566466451477069	0.7639483608459	0	not_DE
MIR165A	AT1G01183	13.7916589862424	0.903531379163431	1.46863859771491	0.615216963907428	0.538411446202557	0.744493854312004	0	not_DE
CYP78A8	AT1G01190	1449.07841427244	0.949518702621752	0.221444597432909	4.28783864510142	1.80420071418715e-05	0.000295215245615387	1	DE
RABA3	AT1G01200	340.921900403106	2.07483629742288	0.313542352982357	6.61740360652212	3.65562430289581e-11	2.5417144659192e-09	1	DE
AT1G01210	AT1G01210	793.506595586148	0.623377797507304	0.236955668784059	2.63077815654791	0.00851896245328256	0.04525575153712	1	DE
FKGP	AT1G01220	1195.38242963718	-0.0954873421708505	0.174684826816924	-0.546626423775917	0.584635411658127	0.776853645541592	0	not_DE
AT1G01225	AT1G01225	350.804126289446	0.202916314390136	0.287800047673818	0.705060044396219	0.48077287023761	0.699585943201675	0	not_DE
AT1G01230	AT1G01230	1948.97730427114	-0.332167988261889	0.163395694235883	-2.03290539457155	0.0420620819263265	0.147243328981935	0	not_DE
AT1G01240	AT1G01240	1699.57816138368	-1.22644833827342	0.205261045778012	-5.97506620715465	2.29996757387142e-09	1.06934467992497e-07	1	DE
BHLH13	AT1G01260	934.611950147639	0.168271206935428	0.181067187376499	0.92933020815934	0.352717984652345	0.586155023532321	0	not_DE
AT1G01270	AT1G01270	2.09254745119618	-4.49386117526144	3.92734179554971	-1.14425008293235	0.252519938236456	NA	0	not_DE
CNX3	AT1G01290	678.71212362193	0.38227877286862	0.212453162451544	1.7993555306846	0.0719624591747574	0.216168727786574	0	not_DE
AT1G01300	AT1G01300	3163.96443357051	0.803363317655861	0.169043396148069	4.75240876580696	2.0100747852076e-06	4.45226545310687e-05	1	DE
AT1G01305	AT1G01305	1.7936121010253	-4.27189419553301	3.93075353440522	-1.08678759890231	0.277130689569109	NA	0	not_DE
AT1G01310	AT1G01310	15.1655677735838	-0.13855922377794	1.14616317596233	-0.120889613873352	0.903778468763252	0.957702898640821	0	not_DE
AT1G01320	AT1G01320	1441.26982975075	0.160085725944507	0.179951090210261	0.889606869052352	0.373677016553391	0.60644638195522	0	not_DE
CNGC10	AT1G01340	1540.15468720137	-0.310317472431668	0.178512870093822	-1.73834789765339	0.0821495313774283	0.23702958252506	0	not_DE
AT1G01350	AT1G01350	1217.97898079984	0.170093531515214	0.170065994048715	1.00016192223879	0.317232153324225	0.550688065946872	0	not_DE
AT1G01355	AT1G01355	28.2283560265802	-1.32332827867177	0.903731033635302	-1.46429438563	0.143113530532347	0.342654596077813	0	not_DE
PYL9	AT1G01360	1430.50024884239	-0.305064910856799	0.228344861365867	-1.33598325371556	0.181554746968584	0.395756130827745	0	not_DE
HTR12	AT1G01370	364.605781246944	0.417479483088739	0.410540226829276	1.01690274376535	0.309199697972397	0.542528426104057	0	not_DE
ETC1	AT1G01380	172.635294128769	0.541112564241294	0.490527041935928	1.10312483916427	0.269972955362475	0.500984128653899	0	not_DE
UGT72B3	AT1G01420	114.475966204834	1.49806866653285	0.436926777172716	3.42864924925547	0.000606592909750314	0.00560412472154218	1	DE
TBL25	AT1G01430	1532.71655549388	-0.0909041994484647	0.180792758929543	-0.502808851342829	0.615098669903661	0.797143622120347	0	not_DE
AT1G01440	AT1G01440	1127.32586099707	-0.415953569514199	0.171809088801259	-2.42102191692173	0.0154769441220126	0.0706939091036418	0	not_DE
AT1G01448	AT1G01448	237.486178814102	-0.220792734652574	0.340721314052806	-0.648015623168073	0.516974845521136	0.728630590454056	0	not_DE
AT1G01453	AT1G01453	69.3860004410231	0.406411438973192	0.604881053891361	0.671886540930053	0.501655929313957	0.715958284443273	0	not_DE
PIP5K10	AT1G01460	4.44446498540063	0.152928806676623	3.0587494736963	0.0499971664864133	0.960124646315903	0.983549723438205	0	not_DE
LEA14	AT1G01470	2322.01580904729	0.633528215284765	0.167363659676753	3.78533916208789	0.000153499086031294	0.00179881741442923	1	DE
ACS2	AT1G01480	228.926122798283	0.340131919585733	0.330437203144018	1.0293390585245	0.303320375310126	0.536907342352327	0	not_DE
AT1G01490	AT1G01490	3300.92749640827	0.273874051808811	0.189386062397869	1.44611513825894	0.148144910411703	0.34965072489349	0	not_DE
AT1G01500	AT1G01500	500.02385997117	0.450948179369277	0.232596635103897	1.93875624713077	0.052531026053015	0.17289888071406	0	not_DE
AN	AT1G01510	3229.70263848866	-0.257908822407553	0.140517295000093	-1.83542404803182	0.0664428832558926	0.204615098879718	0	not_DE
RVE3	AT1G01520	14.1694235243464	1.53638304361267	1.50118975389749	1.02344359840174	0.306098154425949	0.539827066029366	0	not_DE
AT1G01540	AT1G01540	2288.3751629498	-0.081365078178768	0.148433730227742	-0.548157605780905	0.583583688881327	0.776087255575859	0	not_DE
BPS1	AT1G01550	10936.5401118902	-0.0716055637537533	0.116686370920588	-0.613658332064204	0.539441128376455	0.745104047610963	0	not_DE
MPK11	AT1G01560	107.357062828966	1.1753302093441	0.574861849759409	2.04454376270751	0.0408998586997346	0.144263545658094	0	not_DE
AT1G01570	AT1G01570	227.870977479374	0.390288552888745	0.336785587230657	1.15886358468614	0.246511794387501	0.472630734776137	0	not_DE
FRO2	AT1G01580	5508.32538227716	3.71314632960311	1.10514958142402	3.35985860377255	0.000779823727611656	0.00683204433899526	1	DE
FRO1	AT1G01590	4.55519522344238	-0.103101400796211	2.71939687334045	-0.0379133335803108	0.969756782033293	0.988101226729077	0	not_DE
CYP86A4	AT1G01600	289.836979291245	0.421974235457874	0.339064676823067	1.24452431734159	0.213306655272868	0.43620505447585	0	not_DE
GPAT4	AT1G01610	4287.26839975539	0.397996888640905	0.171970975378888	2.31432593647873	0.0206498501254289	0.0877350151595816	0	not_DE
PIP1-3	AT1G01620	49421.2767895315	-1.15083580159507	0.139471490779629	-8.2514053242138	1.56542627687885e-16	2.67232284205997e-14	1	DE
AT1G01630	AT1G01630	1938.39811552902	0.134107126109645	0.15913148048385	0.842744161632148	0.399371542958121	0.629710510576425	0	not_DE
AT1G01640	AT1G01640	1412.80170655592	-0.750402424162263	0.167069494720272	-4.49155859014643	7.07038440900406e-06	0.000131706061364795	1	DE
SPPL4	AT1G01650	3065.74656228067	-0.365723393573872	0.145661217532644	-2.51078083630539	0.0120464460288144	0.0587631843313626	0	not_DE
PUB55	AT1G01660	373.356855115066	-0.283399343773497	0.25792316991151	-1.09877427402403	0.271866536097607	0.50291129353928	0	not_DE
PUB56	AT1G01670	400.463851786726	-0.574163134082359	0.250589769460781	-2.29124730557773	0.0219491143756881	0.0916549819904828	0	not_DE
PUB54	AT1G01680	22.9952412234177	0.907930262416896	0.981523509024991	0.925021412190931	0.354954769624799	0.588222642396491	0	not_DE
ATPRD3	AT1G01690	505.364253467957	0.350956426889196	0.235405439153031	1.4908594642159	0.135998395775779	0.330953542911803	0	not_DE
AT1G01695	AT1G01695	8.06872470894195	6.49418887276353	2.04032668203369	3.1829162113836	0.00145799799268908	0.0113479768910387	1	DE
ROPGEF2	AT1G01700	53.7004482616803	0.740410685728114	0.613186414486207	1.207480577254	0.227247120612112	0.452298441862934	0	not_DE
AT1G01710	AT1G01710	1656.62172199086	0.056867181381164	0.159955181917041	0.355519469263944	0.722200461985948	0.86190448812726	0	not_DE
NAC002	AT1G01720	3510.91208509429	-0.596990778048984	0.156276100929701	-3.82010284680402	0.000133396039307756	0.00158846142590573	1	DE
AT1G01725	AT1G01725	289.218799903862	-0.530245377018094	0.305359539127007	-1.73646246170666	0.0824820962384365	0.23771928328767	0	not_DE
