gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010	NAC001	26.628619	32.521819	28.645292	24.399198	24.172387	24.250436
AT1G01020	ARV1	7.608145	5.818822	9.280663	7.751235	11.098694	11.721401
AT1G01030	NGA3	0.020884	0	0.011598	0.136123	0.856774	0.503632
AT1G01040	DCL1	11.501665	10.080785	9.837996	9.530823	9.842258	7.822176
AT1G01046	MIR838A	0.408633	0	0.941506	0	0	0
AT1G01050	PPA1	98.110154	97.664484	98.875828	105.823736	92.52295	94.488857
AT1G01060	LHY	72.883675	159.573984	66.786502	49.181179	17.175821	56.44303
AT1G01070	AT1G01070	45.007551	33.70515	46.990097	18.307132	22.259886	20.154521
AT1G01073	AT1G01073	0	0	0	0	0	0
AT1G01080	AT1G01080	7.815216	6.196943	7.548495	11.299829	10.94211	10.614916
AT1G01090	PDH-E1	99.441493	86.58968	91.654406	110.364011	92.085551	103.572334
AT1G01100	RPP1A	523.584651	472.505788	541.316607	788.250554	577.941694	611.089631
AT1G01110	IQD18	5.676386	1.963182	4.099136	5.774849	5.389731	2.711996
AT1G01115	AT1G01115	0	0	0	0	0	0
AT1G01120	KCS1	27.038362	33.120334	17.659102	34.355002	43.471188	46.629612
AT1G01130	AT1G01130	2.873077	1.152529	6.664395	4.213844	4.782268	7.351263
AT1G01140	CIPK9	12.559823	11.530159	9.532849	7.098902	4.841667	6.927627
AT1G01150	AT1G01150	0.149614	0	0.498772	0.975146	0.519961	0.409252
AT1G01160	GIF2	32.280439	25.660502	39.630422	31.967032	29.934081	27.888301
AT1G01170	AT1G01170	69.840067	69.064265	64.589957	26.238106	57.653711	38.047976
AT1G01180	AT1G01180	27.607759	28.579667	22.702029	25.202343	22.626355	25.059595
AT1G01183	MIR165A	0	0	0	0	0	0
AT1G01190	CYP78A8	7.185712	13.107705	10.204685	22.56251	22.355935	18.090754
AT1G01200	RABA3	2.900105	3.358186	4.201201	19.354163	10.844144	14.262936
AT1G01210	AT1G01210	28.681678	41.353769	24.966382	60.387845	40.999307	51.558157
AT1G01220	FKGP	7.152204	7.569541	6.764327	8.252121	6.006461	6.708258
AT1G01225	AT1G01225	7.045237	9.93097	6.783104	11.608756	9.712608	7.285111
AT1G01230	AT1G01230	78.818225	74.378557	66.793546	52.829875	65.489837	63.090852
AT1G01240	AT1G01240	39.72679	39.024024	45.845204	13.655249	21.981921	18.761227
AT1G01250	ERF023	0	0	0	0	0	0
AT1G01260	BHLH13	8.829109	7.098507	8.680313	9.873758	9.476038	10.295058
AT1G01270	AT1G01270	0	0	0	0	0	0
AT1G01280	CYP703A2	0	0	0	0	0	0
AT1G01290	CNX3	15.32701	14.051329	11.883847	21.585366	17.00043	17.231713
AT1G01300	AT1G01300	30.437656	31.253073	26.322459	62.115121	58.287992	40.592778
AT1G01305	AT1G01305	0.601459	0	0	0	0	0
AT1G01310	AT1G01310	0.311179	0.456276	0.50553	0.096004	0.594965	0.601673
AT1G01320	AT1G01320	5.016878	3.803367	4.953143	5.493857	5.953185	4.785538
AT1G01340	CNGC10	12.910539	13.562351	17.294	11.709361	12.195226	13.772121
AT1G01350	AT1G01350	17.955239	22.192235	21.873436	27.188485	24.675349	23.884578
AT1G01355	AT1G01355	1.083482	2.763765	1.071269	0.723658	0.467877	0
AT1G01360	PYL9	30.755261	55.610651	35.267344	31.721775	30.965124	39.625503
AT1G01370	HTR12	8.310737	4.121329	13.96418	12.679046	11.606764	13.947842
AT1G01380	ETC1	8.803128	13.139262	3.267248	16.816825	10.593694	10.106321
AT1G01390	UGT72B2	0	0	0	0	0	0
AT1G01400	AT1G01400	0	0	0	0	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	1.008599	0.623796	0.832805	2.227805	2.135771	3.284608
AT1G01430	TBL25	25.028811	20.645323	18.402525	19.179025	23.827981	20.030187
AT1G01440	AT1G01440	13.087525	11.660937	10.770551	8.573882	9.706176	8.981915
AT1G01448	AT1G01448	9.153915	5.653673	8.468941	4.877453	7.142995	5.434826
AT1G01450	AT1G01450	0.1163	1.546047	1.046085	0.122922	0.305115	0.365106
AT1G01453	AT1G01453	2.236508	0.744319	1.164374	1.45465	1.709665	2.269979
AT1G01460	PIP5K10	0.201692	0	0	0	0.063287	0
AT1G01470	LEA14	65.638644	76.692404	75.818879	110.51705	141.84381	112.836354
AT1G01471	AT1G01471	0	0	0	0	0	0
AT1G01480	ACS2	3.000772	1.974059	2.651672	2.997453	3.638784	2.85845
AT1G01490	AT1G01490	68.467199	77.071568	64.273225	105.500869	62.802038	104.586831
AT1G01500	AT1G01500	7.921487	6.434273	5.59176	10.452608	8.396133	9.286675
AT1G01510	AN	33.58579	37.285914	32.732155	34.252942	29.73212	27.881797
AT1G01520	RVE3	0.085219	0.478687	0.126326	0.170881	0.083003	1.395366
AT1G01530	AGL28	0	0	0	0	0	0
AT1G01540	AT1G01540	24.102391	26.57502	28.687146	26.766646	23.810819	28.207121
AT1G01550	BPS1	176.275852	168.80651	189.723234	174.786581	179.52716	180.901932
AT1G01560	MPK11	0.308069	1.866331	0.72062	3.123797	2.150116	2.946836
AT1G01570	AT1G01570	2.042603	2.020365	4.376583	4.140392	4.016351	3.72299
AT1G01580	FRO2	2.989783	2.207674	15.226435	173.543952	25.67336	78.200519
AT1G01590	FRO1	0	0.154764	0	0.018573	0.081426	0
AT1G01600	CYP86A4	2.211591	3.590175	1.83476	3.783858	3.743917	2.761641
AT1G01610	GPAT4	41.445072	52.602186	40.322224	53.950905	56.875739	74.636572
AT1G01620	PIP1-3	1349.416623	1179.360635	1296.29621	499.188521	656.676983	623.938281
AT1G01630	AT1G01630	40.90998	34.720232	38.74294	47.2107	37.487753	46.798937
AT1G01640	AT1G01640	53.958477	47.269863	50.739683	31.761213	34.877489	27.546135
AT1G01650	SPPL4	34.028211	35.334645	36.809193	32.952201	25.461984	29.446049
AT1G01660	PUB55	4.083131	3.865977	5.155437	4.582524	3.842664	4.539483
AT1G01670	PUB56	7.01207	7.365204	8.901142	5.759795	5.941726	4.885033
AT1G01680	PUB54	0	0.191105	0.784729	0.854311	0.106771	0.904462
AT1G01690	ATPRD3	5.277276	6.676095	6.928148	7.87784	9.136022	6.781735
AT1G01695	AT1G01695	0	0	0	0.346998	0	0.216467
AT1G01700	ROPGEF2	0.587714	0.784301	0.461838	1.164306	0.755649	0.643682
AT1G01710	AT1G01710	15.403287	13.206271	12.788186	14.634609	14.599738	14.580247
AT1G01720	NAC002	64.455271	87.604816	72.266703	49.338582	54.603596	50.750337
AT1G01725	AT1G01725	32.803952	33.473495	29.882935	16.157444	24.255465	24.660448
AT1G01730	AT1G01730	50.767619	44.804853	54.734504	39.042968	43.560987	33.677474
AT1G01740	AT1G01740	2.481474	2.11593	3.887985	3.502737	3.105217	3.469727
AT1G01750	ADF10	45.350893	39.644737	51.930058	47.82203	48.931007	55.295029
AT1G01760	AT1G01760	5.402557	4.560254	5.313661	3.142428	1.815866	2.841053
