gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_mix2_vs_mix1	lfcSE_condition_stage_mix2_vs_mix1	stat_condition_stage_mix2_vs_mix1	pvalue_condition_stage_mix2_vs_mix1	padj_condition_stage_mix2_vs_mix1	contrast_vector	outcome
NAC001	AT1G01010	1769.33405722405	-0.320656174525647	0.151341451048187	-2.11875974694832	0.0341107761801374	0.127796446587102	0	not_DE
ARV1	AT1G01020	367.252791679514	0.204572910809684	0.322119575751934	0.635083758359434	0.525373789240031	0.740883914024586	0	not_DE
NGA3	AT1G01030	17.3271132609907	5.75442415983534	1.60674172654227	3.58142448458031	0.000341725915023779	0.00359040462817446	1	DE
DCL1	AT1G01040	2836.1343824158	-0.280755037326633	0.151106216557785	-1.85799792835967	0.0631693084975567	0.198612996881915	0	not_DE
MIR838A	AT1G01046	0.152501804079032	-1.10414936419856	4.0804728567969	-0.270593483389888	0.786703708409837	NA	0	not_DE
PPA1	AT1G01050	3348.66868726601	-0.0933393047350331	0.130850357279686	-0.71332861961947	0.475642431688031	0.703826917145015	0	not_DE
LHY	AT1G01060	8117.66581718192	-1.32559124341268	0.601008304222987	-2.20561219220835	0.0274111646771145	0.109277456285195	0	not_DE
AT1G01070	AT1G01070	1552.23920934426	-1.04659748334758	0.184882545329767	-5.66087772905124	1.50600705776421e-08	5.85631595670219e-07	1	DE
AT1G01073	AT1G01073	0	NA	NA	NA	NA	NA	NA	not_DE
AT1G01080	AT1G01080	464.226749356958	0.587609777663284	0.231156972670692	2.54203786662494	0.0110208233039593	0.0563408126946682	0	not_DE
PDH-E1 ALPHA	AT1G01090	6092.15781813155	0.0966988542130435	0.130837379935529	0.73907666341754	0.459860446546825	0.691501997531866	0	not_DE
RPP1A	AT1G01100	10169.483849756	0.300986760116064	0.141682697047712	2.12437203969024	0.033639046115176	0.126437800571498	0	not_DE
IQD18	AT1G01110	299.151616846356	0.124506952636597	0.434209451337408	0.286743994754383	0.774308348489235	0.896284806855713	0	not_DE
AT1G01115	AT1G01115	0	NA	NA	NA	NA	NA	NA	not_DE
KCS1	AT1G01120	2722.11451976051	0.64387358144759	0.217011946741404	2.96699601619095	0.00300724855583757	0.0205605798499395	1	DE
AT1G01130	AT1G01130	22.330206857625	1.33174250120379	1.20548960355383	1.10473163541001	0.269275891200964	0.506144902358111	0	not_DE
CIPK9	AT1G01140	599.259678854788	-0.875513048223283	0.239936471240665	-3.64893691941111	0.000263327747847435	0.00290178924240615	1	DE
AT1G01150	AT1G01150	15.9570385950887	1.00916544651674	1.36967194540061	0.73679354381576	0.461247909955305	0.69240637171341	0	not_DE
