gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_mix2_vs_mix1	lfcSE_condition_stage_mix2_vs_mix1	stat_condition_stage_mix2_vs_mix1	pvalue_condition_stage_mix2_vs_mix1	padj_condition_stage_mix2_vs_mix1	contrast_vector	outcome
NAC001	AT1G01010	1961.70925335708	-0.332532183461794	0.148088520864857	-2.24549601494944	0.0247363077772568	0.0992740446759354	0	not_DE
ARV1	AT1G01020	400.638748521508	0.390236337591902	0.322952237783126	1.20834071400354	0.22691623392383	0.448466205558921	0	not_DE
NGA3	AT1G01030	21.345505337043	5.43755916516896	1.38626222466077	3.92246074980482	8.76491752900878e-05	0.00111530690709711	1	DE
DCL1	AT1G01040	2960.14011513191	-0.271513555665411	0.14709511785704	-1.84583662341052	0.064915931143458	0.196873280943939	0	not_DE
MIR838A	AT1G01046	0.15034150024043	-0.891050064527131	4.0804728567969	-0.218369315468646	0.827141371344504	NA	0	not_DE
PPA1	AT1G01050	3474.7899441731	-0.0846250465316022	0.128077569004426	-0.660732766786646	0.50878370639889	0.721363721745476	0	not_DE
LHY	AT1G01060	8604.56532066823	-1.34455463451725	0.60164379439738	-2.23480179973266	0.0254303636544992	0.101246876820248	0	not_DE
AT1G01070	AT1G01070	1687.79989690312	-1.12327587642849	0.185088223856526	-6.06886733809283	1.28815494082101e-09	6.2116451918549e-08	1	DE
AT1G01073	AT1G01073	0	NA	NA	NA	NA	NA	NA	not_DE
AT1G01080	AT1G01080	482.499262176607	0.556018272780761	0.226980717143502	2.44962779119794	0.0143003954813019	0.0663254311598874	0	not_DE
PDH-E1 ALPHA	AT1G01090	6789.85946050616	0.0771239532723463	0.125617226257217	0.613960008274861	0.539241754450121	0.742367292090994	0	not_DE
RPP1A	AT1G01100	10909.1024368759	0.302398741939049	0.141552832633991	2.13629594203142	0.0326552994429514	0.121392526190102	0	not_DE
IQD18	AT1G01110	301.274029272176	0.148419403290671	0.43322484070341	0.342592089247902	0.73190535417724	0.87102162732725	0	not_DE
AT1G01115	AT1G01115	0	NA	NA	NA	NA	NA	NA	not_DE
KCS1	AT1G01120	2835.84190562223	0.627706102146644	0.217495715796021	2.88606191551533	0.00390095406568808	0.0244207853788358	1	DE
AT1G01130	AT1G01130	23.1502983024264	1.31243378262036	1.20401321257153	1.0900493191576	0.275691419483469	0.504787106096493	0	not_DE
CIPK9	AT1G01140	624.83849094099	-0.862474050444513	0.240634923095072	-3.58415993552091	0.000338164834892577	0.00342478554882095	1	DE
AT1G01150	AT1G01150	16.2604337510073	1.04603298791313	1.36538055863408	0.766110943427803	0.443610292031859	0.668029859901654	0	not_DE
GIF2	AT1G01160	1233.05196792376	-0.194816533156966	0.200941450207795	-0.969518896949856	0.33228635644977	0.565280921268885	0	not_DE
AT1G01170	AT1G01170	701.905412112013	-0.871650719560613	0.29705250292855	-2.93433218359474	0.00334266255524152	0.021632427540908	1	DE
AT1G01180	AT1G01180	1191.28466968739	-0.178896643890075	0.176321903065401	-1.01460250133371	0.310295346534062	0.5428825400167	0	not_DE
MIR165A	AT1G01183	0	NA	NA	NA	NA	NA	NA	not_DE
CYP78A8	AT1G01190	1020.05569276585	1.02836683697852	0.234990756427114	4.37620122856827	1.20765531707549e-05	0.00020508921083719	1	DE
RABA3	AT1G01200	325.754176189847	2.02998035549776	0.329760208612292	6.15592877030369	7.46387668384625e-10	3.83191636678758e-08	1	DE
AT1G01210	AT1G01210	745.709348820215	0.60691896414297	0.249134035984095	2.4361142055344	0.0148459964554698	0.068413453815318	0	not_DE
FKGP	AT1G01220	1172.16985353719	-0.0700314577397978	0.180379361972587	-0.388245401103264	0.697834437854028	0.849786883237198	0	not_DE
AT1G01225	AT1G01225	336.723428589459	0.216606993209517	0.306397399516064	0.706947883864661	0.479598865436426	0.697558412630971	0	not_DE
AT1G01230	AT1G01230	1956.19342851466	-0.332553848840835	0.164594823939921	-2.02043928770337	0.0433378416845773	0.148856647195327	0	not_DE
AT1G01240	AT1G01240	1707.71039832524	-1.24286061469443	0.206956930790507	-6.0054070668091	1.90852458112291e-09	8.91313055427781e-08	1	DE
ERF023	AT1G01250	0	NA	NA	NA	NA	NA	NA	not_DE
BHLH13	AT1G01260	1006.78204648463	0.199555521155417	0.184007304631508	1.08449782227421	0.278144132026682	0.507730666361729	0	not_DE
AT1G01270	AT1G01270	0	NA	NA	NA	NA	NA	NA	not_DE
CYP703A2	AT1G01280	0	NA	NA	NA	NA	NA	NA	not_DE
CNX3	AT1G01290	627.30320169216	0.327913246377053	0.216164066833176	1.51696464255606	0.12927561120626	0.315181145411261	0	not_DE
AT1G01300	AT1G01300	3278.67184651187	0.816722726353312	0.172090091718503	4.74590209231376	2.07579108076659e-06	4.48879724955654e-05	1	DE
AT1G01305	AT1G01305	1.80409800288517	-4.2614452880479	3.93068962528562	-1.0841469803758	0.278299635303369	NA	0	not_DE
