task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	ff/8f3672	687355	output_documentation	COMPLETED	0	2023-01-10 09:44:03.547	4.5s	305ms	105.8%	15.8 MB	141.6 MB	5.8 MB	32.3 KB
1	56/44d096	687346	get_software_versions	COMPLETED	0	2023-01-10 09:44:03.440	9.6s	5.7s	112.6%	73.3 MB	3.6 GB	86.6 MB	10.1 KB
3	ab/6dc59e	687334	makeHisatSplicesites (danio_ercc.gtf)	COMPLETED	0	2023-01-10 09:44:03.303	14.7s	10.2s	76.5%	213.4 MB	245.2 MB	564.1 MB	9.7 MB
2	e3/71442c	687337	makeBED12 (danio_ercc.gtf)	COMPLETED	0	2023-01-10 09:44:03.337	19.7s	13.1s	82.5%	1.6 GB	1.6 GB	562.8 MB	12 MB
7	01/511478	687329	fastqc (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-10 09:44:03.244	1m 10s	1m 5s	102.6%	397.8 MB	3.2 GB	903.4 MB	1.8 MB
12	9b/bd545c	687332	fastqc (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:44:03.281	1m 10s	1m 5s	101.7%	395.7 MB	3.2 GB	917.9 MB	1.9 MB
13	4f/ec1b46	687340	fastqc (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:44:03.370	1m 10s	1m 4s	102.7%	400.6 MB	3.2 GB	920.9 MB	1.9 MB
10	b1/440d5d	687341	fastqc (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-10 09:44:03.382	1m 10s	1m 5s	101.5%	393.8 MB	3.1 GB	918.1 MB	1.9 MB
4	c8/54dfea	687333	fastqc (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-10 09:44:03.292	1m 15s	1m 7s	102.4%	472.8 MB	3.2 GB	939.1 MB	1.9 MB
8	7a/3c2ee8	687339	fastqc (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-10 09:44:03.358	1m 15s	1m 6s	102.1%	398.6 MB	3.2 GB	929.3 MB	1.9 MB
14	44/ccd418	687331	fastqc (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 09:44:03.269	2m 30s	2m 23s	100.7%	456.8 MB	3.2 GB	1.8 GB	1.8 MB
15	67/f615e7	687338	fastqc (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-10 09:44:03.347	2m 30s	2m 23s	65.9%	460.8 MB	3.2 GB	977.8 MB	1.8 MB
