task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	b3/415a30	751558	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (danio_ercc.fasta)	COMPLETED	0	2023-01-16 12:52:30.315	9.1s	6s	87.7%	2.8 MB	11 MB	1.6 GB	117 KB
4	f6/7b5c35	751561	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-01-16 12:52:30.359	9.2s	0ms	81.0%	2.8 MB	11 MB	1.4 MB	1.7 KB
1	27/93e4d6	751559	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (danio_ercc.gtf)	COMPLETED	0	2023-01-16 12:52:30.332	19.1s	9s	98.2%	2.8 MB	11 MB	562.9 MB	12 MB
2	e1/165b52	751560	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (danio_ercc.fasta)	COMPLETED	0	2023-01-16 12:52:30.345	24.1s	14s	54.1%	2.8 MB	11 MB	2.1 GB	562.7 MB
30	4e/8399cd	751587	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/danio_ercc.fasta)	COMPLETED	0	2023-01-16 12:52:54.496	30s	22s	98.3%	2.8 MB	11 MB	2.3 GB	803.6 MB
9	37/a81db9	751564	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655793)	COMPLETED	0	2023-01-16 12:52:39.643	59.8s	53s	102.2%	2.9 MB	11 MB	907.7 MB	1.8 MB
21	d6/b8e40c	751570	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655799)	COMPLETED	0	2023-01-16 12:52:39.715	59.8s	55s	103.2%	1000.3 MB	4.2 GB	925.1 MB	1.9 MB
16	0b/af7b43	751578	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655798)	COMPLETED	0	2023-01-16 12:52:39.841	59.7s	55s	103.4%	998.7 MB	4.2 GB	922.3 MB	1.9 MB
23	70/1ef8ea	751580	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655801)	COMPLETED	0	2023-01-16 12:52:39.881	59.7s	55s	103.1%	1000.1 MB	4.2 GB	933.8 MB	1.9 MB
6	14/893146	751563	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655791)	COMPLETED	0	2023-01-16 12:52:39.624	1m 5s	58s	103.1%	2.8 MB	11 MB	943.6 MB	1.9 MB
12	ee/afb2a9	751567	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655795)	COMPLETED	0	2023-01-16 12:52:39.680	1m 5s	1m	102.8%	2.9 MB	11 MB	982.3 MB	1.8 MB
15	97/c7e2a9	751572	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655797)	COMPLETED	0	2023-01-16 12:52:39.743	1m 5s	56s	102.9%	1003.3 MB	4.2 GB	922.3 MB	1.9 MB
10	0c/b6991a	751568	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655794)	COMPLETED	0	2023-01-16 12:52:39.693	2m 5s	1m 59s	101.1%	2.9 MB	11 MB	1.7 GB	1.8 MB
13	bb/491563	751565	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655796)	COMPLETED	0	2023-01-16 12:52:39.655	2m 15s	2m 8s	101.3%	2.8 MB	11 MB	1.8 GB	1.8 MB
14	78/e1d9e0	751583	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655793)	COMPLETED	0	2023-01-16 12:52:39.928	2m 30s	2m 23s	400.2%	2.8 MB	11 MB	17.4 GB	16.4 GB
28	25/ee438f	751575	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655801)	COMPLETED	0	2023-01-16 12:52:39.795	2m 35s	2m 29s	401.8%	2.3 GB	3.1 GB	18 GB	17.1 GB
25	45/407717	751581	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655799)	COMPLETED	0	2023-01-16 12:52:39.897	2m 35s	2m 28s	397.0%	2.4 GB	3.1 GB	18.3 GB	17.3 GB
20	dd/c7d5fe	751584	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655797)	COMPLETED	0	2023-01-16 12:52:39.942	2m 35s	2m 27s	405.7%	2.8 MB	11 MB	18 GB	17 GB
24	43/71f195	751586	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655798)	COMPLETED	0	2023-01-16 12:52:39.976	2m 35s	2m 26s	412.4%	2.8 MB	11 MB	18 GB	17 GB
18	b5/6d93ea	751577	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655795)	COMPLETED	0	2023-01-16 12:52:39.825	2m 45s	2m 38s	394.0%	2.3 GB	3.1 GB	19.4 GB	18.4 GB
7	c3/187014	751582	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655791)	COMPLETED	0	2023-01-16 12:52:39.911	2m 45s	2m 35s	395.1%	2.3 GB	3.1 GB	18.6 GB	17.6 GB
22	e0/289eb7	751573	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655800)	COMPLETED	0	2023-01-16 12:52:39.760	4m 5s	4m	77.0%	1004.4 MB	4.2 GB	1.8 GB	1.8 MB
27	44/cbc48e	751566	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655802)	COMPLETED	0	2023-01-16 12:52:39.669	4m 10s	4m 5s	76.6%	2.9 MB	11 MB	1.8 GB	1.8 MB
8	12/bd33d0	751571	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655792)	COMPLETED	0	2023-01-16 12:52:39.728	4m 15s	4m 6s	78.5%	1004.4 MB	4.2 GB	1.8 GB	1.8 MB
17	17/c388ed	751585	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655794)	COMPLETED	0	2023-01-16 12:52:39.961	5m 10s	5m 2s	404.6%	2.8 MB	11 MB	41.5 GB	39.7 GB
26	40/532c30	751574	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655800)	COMPLETED	0	2023-01-16 12:52:39.779	5m 30s	5m 22s	405.0%	3.7 GB	4.5 GB	44.5 GB	42.7 GB
19	23/eeb4ba	751579	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655796)	COMPLETED	0	2023-01-16 12:52:39.857	5m 45s	5m 25s	407.5%	3.7 GB	4.4 GB	45.4 GB	43.5 GB
29	72/a4dcc9	751569	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655802)	COMPLETED	0	2023-01-16 12:52:39.704	6m 30s	5m 33s	418.0%	2.8 MB	11 MB	43.3 GB	41.5 GB
11	5d/4f1b7a	751576	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655792)	COMPLETED	0	2023-01-16 12:52:39.811	6m 35s	5m 30s	424.0%	3.8 GB	4.5 GB	45.1 GB	43.2 GB
5	c7/f12a4f	751562	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE (rsem/danio_ercc.fasta)	COMPLETED	0	2023-01-16 12:52:30.375	15m 54s	15m 31s	710.7%	2.8 MB	11 MB	31.5 GB	42.6 GB
