task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	8b/1b8579	698460	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-01-12 14:05:24.684	8.1s	0ms	48.0%	4.7 MB	29.9 MB	1.4 MB	1.7 KB
1	60/383034	698456	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (danio_ercc.gtf)	COMPLETED	0	2023-01-12 14:05:24.429	18.4s	12s	70.3%	1.6 GB	1.6 GB	562.9 MB	12 MB
3	c1/0dfbe2	698455	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (danio_ercc.fasta)	COMPLETED	0	2023-01-12 14:05:24.357	28.4s	21s	46.1%	6.2 MB	26.9 MB	1.6 GB	117 KB
2	34/2e930f	698457	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (danio_ercc.fasta)	COMPLETED	0	2023-01-12 14:05:24.539	38.2s	23s	37.2%	597.6 MB	620.3 MB	2.1 GB	562.7 MB
18	e4/b87470	698463	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655797)	COMPLETED	0	2023-01-12 14:05:32.966	1m 5s	59s	94.0%	1003.7 MB	4.2 GB	922.5 MB	1.9 MB
12	1a/b87693	698464	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655793)	COMPLETED	0	2023-01-12 14:05:33.035	1m 15s	1m 3s	95.0%	999.9 MB	4.2 GB	907.9 MB	1.8 MB
19	7d/7d7e00	698468	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655798)	COMPLETED	0	2023-01-12 14:05:33.383	1m 19s	59s	93.5%	1003 MB	4.2 GB	922.3 MB	1.9 MB
21	e9/6950ad	698470	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655799)	COMPLETED	0	2023-01-12 14:05:33.659	1m 24s	59s	95.6%	1003.7 MB	4.2 GB	925.1 MB	1.9 MB
7	31/25fefc	698471	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655791)	COMPLETED	0	2023-01-12 14:05:33.783	1m 24s	1m 3s	95.0%	1001 MB	4.2 GB	943.8 MB	1.9 MB
25	0a/90e562	698474	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655801)	COMPLETED	0	2023-01-12 14:05:34.103	1m 24s	1m	93.9%	1000.2 MB	4.2 GB	934 MB	1.9 MB
30	ff/0a9db4	698497	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/danio_ercc.fasta)	COMPLETED	0	2023-01-12 14:06:02.991	59.8s	35s	65.3%	651.4 MB	772 MB	2.3 GB	803.6 MB
16	e7/e2d835	698466	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655796)	COMPLETED	0	2023-01-12 14:05:33.262	2m 30s	2m 18s	94.5%	1009.5 MB	4.2 GB	1.8 GB	1.8 MB
24	e9/4627ab	698465	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655800)	COMPLETED	0	2023-01-12 14:05:33.161	2m 35s	2m 25s	94.8%	998.5 MB	4.2 GB	1.8 GB	1.8 MB
14	96/67bfd4	698472	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655794)	COMPLETED	0	2023-01-12 14:05:33.944	2m 34s	2m 11s	95.1%	1001.3 MB	4.2 GB	1.7 GB	1.8 MB
15	71/4e2358	698467	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655795)	COMPLETED	0	2023-01-12 14:05:33.318	2m 39s	2m 18s	53.4%	1 GB	4.3 GB	982.3 MB	1.8 MB
9	d2/3c8bf9	698473	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655792)	COMPLETED	0	2023-01-12 14:05:34.057	2m 44s	2m 21s	95.1%	1005.4 MB	4.2 GB	1.8 GB	1.8 MB
26	91/34237c	698476	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3655802)	COMPLETED	0	2023-01-12 14:05:34.319	2m 43s	2m 19s	94.8%	996 MB	4.2 GB	1.8 GB	1.8 MB
28	60/38941e	698469	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655801)	COMPLETED	0	2023-01-12 14:05:33.480	2m 59s	2m 33s	380.6%	2.3 GB	3.1 GB	18 GB	17.1 GB
23	c5/160886	698475	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655799)	COMPLETED	0	2023-01-12 14:05:34.179	3m 4s	2m 31s	390.2%	2.3 GB	3.1 GB	18.3 GB	17.3 GB
22	67/c34f12	698481	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655798)	COMPLETED	0	2023-01-12 14:05:34.827	3m 3s	2m 28s	402.0%	2.3 GB	3.1 GB	18 GB	17 GB
10	dc/74602e	698479	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655793)	COMPLETED	0	2023-01-12 14:05:34.641	3m 8s	2m 32s	389.2%	2.3 GB	3.1 GB	17.4 GB	16.4 GB
20	00/a2b9e4	698484	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655797)	COMPLETED	0	2023-01-12 14:05:35.160	3m 8s	2m 30s	395.6%	2.3 GB	3 GB	18 GB	17 GB
13	e2/d095b3	698483	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655795)	COMPLETED	0	2023-01-12 14:05:35.021	3m 13s	2m 38s	395.4%	2.3 GB	3.1 GB	19.4 GB	18.4 GB
6	a8/58fc10	698485	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655791)	COMPLETED	0	2023-01-12 14:05:35.278	3m 23s	2m 44s	377.9%	2.8 MB	11 MB	18.6 GB	17.6 GB
11	91/db6357	698477	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655794)	COMPLETED	0	2023-01-12 14:05:34.474	5m 48s	5m 17s	402.8%	2.8 MB	11 MB	41.5 GB	39.7 GB
29	db/4bc30b	698482	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655802)	COMPLETED	0	2023-01-12 14:05:34.944	6m 8s	5m 33s	398.6%	3.7 GB	4.4 GB	43.3 GB	41.5 GB
17	65/c51838	698488	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655796)	COMPLETED	0	2023-01-12 14:05:35.533	6m 7s	5m 27s	407.1%	3.7 GB	4.5 GB	45.4 GB	43.5 GB
8	b7/302b0a	698478	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655792)	COMPLETED	0	2023-01-12 14:05:34.570	6m 13s	5m 38s	411.9%	3.7 GB	4.5 GB	45.1 GB	43.2 GB
27	85/67091a	698486	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3655800)	COMPLETED	0	2023-01-12 14:05:35.421	6m 22s	5m 43s	393.9%	2.8 MB	11 MB	44.5 GB	42.7 GB
4	e3/2d5fa4	698458	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (danio_ercc.fasta)	COMPLETED	0	2023-01-12 14:05:24.589	16m 58s	16m 17s	752.5%	42.1 GB	54.5 GB	30.8 GB	41.8 GB
35	5d/908d23	700738	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3655797)	COMPLETED	0	2023-01-12 14:22:23.021	5m	4m 53s	491.9%	24.8 GB	26.6 GB	24.3 GB	2.9 GB
34	eb/5eb835	700744	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3655793)	COMPLETED	0	2023-01-12 14:22:23.096	5m	4m 52s	511.6%	24.8 GB	26.6 GB	24.1 GB	2.7 GB
37	32/84e8e8	700742	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (SRR3655791)	COMPLETED	0	2023-01-12 14:22:23.073	5m 5s	4m 56s	484.5%	24.8 GB	26.6 GB	24.5 GB	2.9 GB
