task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	7a/1993ae	1544348	get_software_versions	COMPLETED	0	2021-09-24 13:52:38.138	48.8s	17.8s	93.4%	86.7 MB	3.7 GB	86.6 MB	10.1 KB
4	ab/37cbe2	1544347	fastqc (SRR950087)	COMPLETED	0	2021-09-24 13:52:38.102	10m 19s	9m 47s	176.8%	453.3 MB	3.3 GB	10.4 GB	3.9 MB
6	d8/9d8e56	1544343	fastqc (SRR950080)	COMPLETED	0	2021-09-24 13:52:37.696	14m 34s	14m 5s	181.6%	545.1 MB	3.3 GB	15.8 GB	3.9 MB
5	f5/696c9c	1544346	fastqc (SRR950079)	COMPLETED	0	2021-09-24 13:52:38.055	17m 34s	17m 3s	182.2%	454.6 MB	3.3 GB	18.9 GB	4 MB
7	66/c43864	1544345	fastqc (SRR950083)	COMPLETED	0	2021-09-24 13:52:38.001	17m 44s	17m 13s	185.1%	548.1 MB	3.4 GB	19.4 GB	3.9 MB
16	3e/1e04cb	1544349	fastqc (SRR950078)	COMPLETED	0	2021-09-24 13:52:38.175	32m 44s	17m 40s	155.6%	544.2 MB	3.4 GB	17.2 GB	3.9 MB
18	85/4051c3	1544351	fastqc (SRR950081)	COMPLETED	0	2021-09-24 13:52:38.264	37m 14s	18m 12s	172.7%	459.8 MB	3.3 GB	19.4 GB	3.9 MB
2	43/16a083	1544356	makeBED12 (genes.gtf)	COMPLETED	0	2021-09-24 13:52:38.455	47m 39s	35.6s	98.1%	2.7 GB	2.7 GB	873.8 MB	24.5 MB
3	65/5834ac	1544355	makeSTARindex (genome.fa)	COMPLETED	0	2021-09-24 13:52:38.418	1h 9m 24s	26m 26s	522.9%	64.7 GB	80.8 GB	50.2 GB	69.7 GB
12	96/615a45	1544357	fastqc (SRR950084)	COMPLETED	0	2021-09-24 13:52:38.489	1h 10m 9s	22m 7s	168.3%	459.2 MB	3.3 GB	21.4 GB	3.9 MB
14	03/991120	1544359	output_documentation	COMPLETED	0	2021-09-24 13:52:38.594	1h 10m 39s	1.3s	94.7%	1.9 MB	66.8 MB	5.8 MB	32.3 KB
15	a3/07c461	1544360	fastqc (SRR950086)	COMPLETED	0	2021-09-24 13:52:38.637	1h 25m 4s	13m 57s	162.2%	462.4 MB	3.3 GB	12.4 GB	3.9 MB
