task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	6e/12413f	1572589	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2021-10-04 14:40:57.368	12.7s	0ms	51.4%	1 MB	11 MB	1.4 MB	1.9 KB
5	ab/421443	1572586	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa)	COMPLETED	0	2021-10-04 14:40:57.079	27.9s	15s	87.4%	2.3 MB	26.6 MB	2.9 GB	5.7 KB
1	a7/956e97	1572588	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa)	COMPLETED	0	2021-10-04 14:40:57.212	42.8s	21s	87.5%	1.1 GB	1.1 GB	3.8 GB	799.5 MB
2	d5/38049d	1572587	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2021-10-04 14:40:57.160	47.8s	34s	97.6%	2.7 GB	2.7 GB	873.9 MB	24.5 MB
26	f3/c38899	1572611	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_TRANSCRIPTS (rsem/genome.fa)	COMPLETED	0	2021-10-04 14:41:40.146	1m 5s	46s	90.8%	1.2 MB	11 MB	4 GB	1.2 GB
8	e7/b205ff	1572594	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A3)	COMPLETED	0	2021-10-04 14:41:10.804	22m 55s	11m 46s	158.5%	1.1 GB	4.4 GB	11.4 GB	4 MB
7	a0/f5087d	1572591	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A2)	COMPLETED	0	2021-10-04 14:41:10.508	26m 10s	15m 15s	154.1%	1.1 GB	4.4 GB	15.8 GB	3.9 MB
6	1b/bde618	1572592	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A1)	COMPLETED	0	2021-10-04 14:41:10.644	26m 40s	15m 44s	155.2%	1.1 GB	4.4 GB	17.2 GB	3.9 MB
3	f1/3d8f93	1572590	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE (rsem/genome.fa)	COMPLETED	0	2021-10-04 14:40:57.444	29m 13s	27m 10s	518.6%	67.1 GB	83.7 GB	54.2 GB	70.9 GB
9	ee/530528	1572593	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A4)	COMPLETED	0	2021-10-04 14:41:10.743	31m 55s	20m 51s	150.5%	1.2 GB	4.4 GB	21.4 GB	3.9 MB
15	5a/df756c	1572599	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B1)	COMPLETED	0	2021-10-04 14:41:11.177	32m 20s	17m 47s	152.3%	1.1 GB	4.4 GB	18.9 GB	4 MB
16	ec/bee595	1572596	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B3)	COMPLETED	0	2021-10-04 14:41:10.980	34m 10s	19m 57s	150.3%	1.1 GB	4.4 GB	19.4 GB	3.9 MB
25	99/10541a	1572610	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B5)	COMPLETED	0	2021-10-04 14:41:11.851	37m 59s	37m 24s	417.6%	1.2 MB	11 MB	257.6 GB	247.1 GB
14	e2/ee14ee	1572609	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (A5)	COMPLETED	0	2021-10-04 14:41:11.808	38m 29s	11m 36s	150.7%	1.1 GB	4.4 GB	12.4 GB	3.9 MB
12	80/75bfea	1572598	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (A3)	COMPLETED	0	2021-10-04 14:41:11.138	38m 40s	37m 48s	426.1%	3 GB	3.7 GB	272.7 GB	261.2 GB
22	5f/25754c	1572606	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B5)	COMPLETED	0	2021-10-04 14:41:11.578	39m 54s	13m 20s	155.8%	1 GB	4.3 GB	10.4 GB	3.9 MB
19	33/ad832d	1572602	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B4)	COMPLETED	0	2021-10-04 14:41:11.339	43m 25s	20m 24s	154.5%	1.1 GB	4.4 GB	16.2 GB	3.9 MB
17	b6/4b099f	1572600	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (A5)	COMPLETED	0	2021-10-04 14:41:11.240	44m 5s	43m 5s	422.4%	3.1 GB	3.9 GB	303.6 GB	291.1 GB
18	91/87d833	1572601	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (B2)	COMPLETED	0	2021-10-04 14:41:11.299	45m 30s	22m 36s	151.1%	1.1 GB	4.4 GB	19.4 GB	3.9 MB
11	5f/234362	1572604	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (A2)	COMPLETED	0	2021-10-04 14:41:11.482	53m 40s	52m 54s	432.7%	3.2 GB	3.9 GB	386.2 GB	370.3 GB
24	2f/68626a	1572608	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B4)	COMPLETED	0	2021-10-04 14:41:11.733	56m 10s	55m 17s	424.4%	1.3 MB	11 MB	396.6 GB	380.3 GB
10	97/c87ccf	1572595	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (A1)	COMPLETED	0	2021-10-04 14:41:10.906	1h 46s	59m 46s	432.3%	3.2 GB	3.9 GB	424.4 GB	407 GB
20	55/2d804a	1572603	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B1)	COMPLETED	0	2021-10-04 14:41:11.408	1h 4m 30s	1h 3m 19s	430.1%	3.1 GB	3.9 GB	461.8 GB	442.7 GB
21	5c/55205d	1572605	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B2)	COMPLETED	0	2021-10-04 14:41:11.549	1h 5m 5s	1h 3m 35s	440.1%	3.2 GB	3.9 GB	473.8 GB	454.3 GB
23	61/3bd39c	1572607	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (B3)	COMPLETED	0	2021-10-04 14:41:11.668	1h 6m 10s	1h 4m 49s	432.1%	3.2 GB	3.9 GB	474.5 GB	455 GB
13	81/8fd69c	1572597	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (A4)	COMPLETED	0	2021-10-04 14:41:11.033	1h 11m 51s	1h 10m 43s	440.7%	3.1 GB	3.9 GB	522.5 GB	501 GB
27	29/9bf514	1572632	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (B5)	COMPLETED	0	2021-10-04 15:19:11.252	1h 27m 47s	1h 26m 8s	512.9%	1.2 MB	11 MB	323.1 GB	58 GB
37	ec/945c62	1572731	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (B5)	COMPLETED	0	2021-10-04 16:46:58.762	18m 5s	15m 36s	152.9%	5.3 GB	6.5 GB	20.2 GB	15.7 GB
39	6d/2571ce	1572796	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (B5)	COMPLETED	0	2021-10-04 17:05:03.865	1m 55s	1m 47s	76.8%	33.8 MB	59.5 MB	7.6 GB	3.5 MB
38	d1/6c7e41	1572797	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (B5)	COMPLETED	0	2021-10-04 17:05:03.987	18m 50s	18m 47s	98.7%	805.6 MB	1 GB	7.6 GB	502.1 KB
28	e4/742efe	1572633	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (A3)	COMPLETED	0	2021-10-04 15:19:51.119	2h 7m 48s	2h 4m 12s	384.6%	1.2 MB	11 MB	318.4 GB	59.7 GB
29	7d/c21e30	1572634	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (A5)	COMPLETED	0	2021-10-04 15:25:16.200	2h 2m 33s	1h 58m 8s	529.2%	30.8 GB	31.3 GB	380.2 GB	71.7 GB
41	66/0541b0	1572930	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (A3)	COMPLETED	0	2021-10-04 17:27:40.190	11m 20s	9m 6s	285.5%	5.3 GB	6.5 GB	21.9 GB	17.3 GB
43	0a/082889	1573050	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (A3)	COMPLETED	0	2021-10-04 17:39:00.251	1m 59s	1m 41s	85.7%	34.8 MB	61.3 MB	7.8 GB	3.7 MB
42	00/4427dd	1572931	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (A5)	COMPLETED	0	2021-10-04 17:27:49.644	13m 40s	11m 18s	274.9%	5.3 GB	6.5 GB	25.5 GB	20.1 GB
46	7a/050f93	1573083	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (A5)	COMPLETED	0	2021-10-04 17:41:29.808	2m 10s	1m 48s	92.9%	39.5 MB	66.1 MB	9.2 GB	3.8 MB
31	de/e2ef8d	1572640	NFCORE_RNASEQ:RNASEQ:QUANTIFY_RSEM:RSEM_CALCULATEEXPRESSION (B4)	COMPLETED	0	2021-10-04 15:37:21.522	2h 16m 8s	2h 12m 18s	478.1%	1.2 MB	11 MB	465.2 GB	86.8 GB
45	d5/f80b36	1573051	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (A3)	COMPLETED	0	2021-10-04 17:39:00.272	20m 30s	20m 8s	96.3%	926.8 MB	973.4 MB	7.8 GB	492.6 KB
40	bb/1b1a8c	1572798	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (B5)	COMPLETED	0	2021-10-04 17:05:04.010	57m 51s	55m	141.1%	26.6 GB	41 GB	14.9 GB	7.8 GB
58	33/57096a	1573502	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (B5)	COMPLETED	0	2021-10-04 18:02:55.969	1m 59s	1m 36s	90.0%	34 MB	59.5 MB	7.8 GB	3.5 MB
51	56/7af3f7	1573501	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (B5)	COMPLETED	0	2021-10-04 18:02:55.686	11m 50s	10m 56s	99.4%	1.5 GB	2 GB	7.8 GB	16.6 KB
56	af/22d313	1573505	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (B5)	COMPLETED	0	2021-10-04 18:02:56.162	13m 14s	11m 20s	97.5%	36.6 MB	473.5 MB	7.8 GB	1.1 KB
55	b0/2334a9	1573506	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (B5)	COMPLETED	0	2021-10-04 18:02:56.199	13m 19s	1m 21s	97.5%	909.7 MB	1.8 GB	287.7 MB	45.9 MB
59	86/691230	1573507	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (B5)	COMPLETED	0	2021-10-04 18:02:56.259	13m 24s	7s	124.2%	54.4 MB	491 MB	116.3 MB	548 B
