Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
A1_1	100387010	35830229	100387010	10139088010	1063460933	8958288225	11.646015734703145
A1_2	100387010	36213641	100387010	10139088010	468073273	9560008643	5.711355562047242
A2_1	91781477	31961491	91781477	9269929177	979635184	8128847520	12.309497032956674
A2_2	91781477	31776297	91781477	9269929177	515230977	8633988670	6.860252056486667
A3_1	67207757	26555742	67207757	6787983457	865431603	5541232887	18.367024284867817
A3_2	67207757	25197226	67207757	6787983457	672843410	5874564709	13.456407986057354
A4_1	125083194	45544766	125083194	12633402594	1402792133	10901848881	13.706154775930035
A4_2	125083194	44873287	125083194	12633402594	805849731	11588708948	8.269297508939975
A5_1	71765617	23556046	71765617	7248327317	787635928	6405843312	11.623150668486844
A5_2	71765617	23747655	71765617	7248327317	384608966	6810379363	6.042055426675484
B1_1	111037701	40984810	111037701	11214807801	1263630579	9595722682	14.437029574912819
B1_2	111037701	40237285	111037701	11214807801	748001688	10219522491	8.874742462472273
B2_1	112427764	38768267	112427764	11355204164	1242688064	9957397382	12.309833991638303
B2_2	112427764	38685963	112427764	11355204164	625753514	10599112793	6.658544928651096
B3_1	113161956	39604188	113161956	11429357556	1299574422	9926250263	13.151284187543183
B3_2	113161956	39519977	113161956	11429357556	683338860	10586559358	7.373977005011636
B4_1	94186894	32392222	94186894	9512876294	1016536354	8345281698	12.273833485424698
B4_2	94186894	32335426	94186894	9512876294	533159153	8866017899	6.7998192661034516
B5_1	60599733	20078740	60599733	6120573033	600377952	5478959701	10.482896430459112
B5_2	60599733	20292300	60599733	6120573033	275256077	5804493718	5.16421114976997
