Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	290.675659	18.030745	28.739973
AT1G01020	ARV1	1	-	5928	8737	80.785629	6.054334	9.650261
AT1G01030	NGA3	1	-	11649	13714	1.505250	0.093371	0.148829
AT1G01040	DCL1	1	+	23146	31227	131.989471	8.191633	13.056993
AT1G01046	MIR838A	1	+	28500	28706	53.521736	3.319978	5.291854
AT1G01050	PPA1	1	-	31170	33153	1071.181274	66.445869	105.910904
AT1G01060	LHY	1	-	33379	37871	533.488342	39.917747	63.626598
AT1G01070	AT1G01070	1	-	38752	40944	193.432053	13.245577	21.112692
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	133.329071	8.288773	13.211829
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	1360.573486	84.397003	134.523972
AT1G01100	RPP1A	1	-	50075	51199	6073.293945	408.460571	651.062744
AT1G01110	IQD18	1	+	52239	54692	68.048080	4.459020	7.107421
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	428.022644	26.550442	42.319881
AT1G01130	AT1G01130	1	-	61905	63811	40.832001	2.532828	4.037182
AT1G01140	CIPK9	1	-	64166	67625	86.448738	5.419604	8.638537
AT1G01150	AT1G01150	1	-	70115	72138	10.829371	0.671751	1.070732
AT1G01160	GIF2	1	+	72339	74096	327.813904	22.264540	35.488400
AT1G01170	AT1G01170	1	-	73931	74737	163.687256	10.169337	16.209341
AT1G01180	AT1G01180	1	+	75583	76758	253.942596	15.752176	25.108065
AT1G01183	MIR165A	1	-	78932	79032	22.623762	1.403362	2.236879
AT1G01190	CYP78A8	1	-	83045	84864	343.976379	21.337013	34.009975
AT1G01200	RABA3	1	-	86515	88213	199.957230	12.403440	19.770370
AT1G01210	AT1G01210	1	+	88898	89745	517.797058	32.119190	51.196148
AT1G01220	FKGP	1	+	91376	95651	112.687431	6.990054	11.141744
AT1G01225	AT1G01225	1	+	95987	97407	121.133659	7.513977	11.976848
AT1G01230	AT1G01230	1	+	97456	99240	506.207947	31.400314	50.050297
