Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	373.771912	23.348959	37.466347
AT1G01020	ARV1	1	-	5928	8737	63.806404	4.356726	6.990916
AT1G01030	NGA3	1	-	11649	13714	0.000000	0.000000	0.000000
AT1G01040	DCL1	1	+	23146	31227	134.962479	8.434945	13.534933
AT1G01046	MIR838A	1	+	28500	28706	66.826088	4.174523	6.698549
AT1G01050	PPA1	1	-	31170	33153	935.205627	58.420856	93.743637
AT1G01060	LHY	1	-	33379	37871	1608.673828	120.885658	193.976273
AT1G01070	AT1G01070	1	-	38752	40944	339.215118	23.302479	37.391766
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	69.861229	4.374050	7.018714
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	974.612427	60.882542	97.693718
AT1G01100	RPP1A	1	-	50075	51199	3295.921631	223.903793	359.281891
AT1G01110	IQD18	1	+	52239	54692	25.632631	1.683880	2.701998
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	380.911530	23.794958	38.182011
AT1G01130	AT1G01130	1	-	61905	63811	17.381332	1.085785	1.742279
AT1G01140	CIPK9	1	-	64166	67625	120.889862	7.632286	12.246964
AT1G01150	AT1G01150	1	-	70115	72138	0.000000	0.000000	0.000000
AT1G01160	GIF2	1	+	72339	74096	251.431702	17.142448	27.507219
AT1G01170	AT1G01170	1	-	73931	74737	427.905182	26.760933	42.941292
AT1G01180	AT1G01180	1	+	75583	76758	289.719910	18.098358	29.041098
AT1G01183	MIR165A	1	-	78932	79032	13.000000	0.812090	1.303101
AT1G01190	CYP78A8	1	-	83045	84864	179.770401	11.229981	18.019920
AT1G01200	RABA3	1	-	86515	88213	31.929735	1.994601	3.200590
AT1G01210	AT1G01210	1	+	88898	89745	323.327911	20.197800	32.409912
AT1G01220	FKGP	1	+	91376	95651	91.263306	5.701078	9.148099
AT1G01225	AT1G01225	1	+	95987	97407	93.852684	5.862833	9.407656
AT1G01230	AT1G01230	1	+	97456	99240	661.371399	41.314857	66.294891
AT1G01240	AT1G01240	1	+	99894	101834	296.392853	24.082720	38.643761
AT1G01250	ERF023	1	-	104491	105330	0.000000	0.000000	0.000000
AT1G01260	BHLH13	1	+	108946	111609	75.461334	5.091083	8.169284
AT1G01270	AT1G01270	1	-	111890	111961	0.000000	0.000000	0.000000
AT1G01280	CYP703A2	1	+	112263	113947	0.000000	0.000000	0.000000
AT1G01290	CNX3	1	+	114286	116108	129.500397	9.498000	15.240739
AT1G01300	AT1G01300	1	+	116943	118764	348.531281	21.772215	34.936264
AT1G01305	AT1G01305	1	+	119397	119997	0.000000	0.000000	0.000000
AT1G01310	AT1G01310	1	+	120154	121130	4.324705	0.270158	0.433502
AT1G01320	AT1G01320	1	-	121067	130577	48.734577	3.073975	4.932580
AT1G01340	CNGC10	1	-	132328	135831	160.359711	10.592658	16.997255
AT1G01350	AT1G01350	1	+	136124	138162	235.181030	14.691398	23.574200
AT1G01355	AT1G01355	1	+	138513	139568	31.457060	1.965074	3.153209
AT1G01360	PYL9	1	+	141971	143183	549.022522	34.296597	55.033211
AT1G01370	HTR12	1	+	143564	145684	39.520664	2.780612	4.461843
AT1G01380	ETC1	1	+	147153	147942	89.234131	5.574319	8.944697
AT1G01390	UGT72B2	1	-	148120	149806	0.000000	0.000000	0.000000
AT1G01400	AT1G01400	1	-	150689	152210	0.000000	0.000000	0.000000
AT1G01410	APUM22	1	+	153113	154198	0.000000	0.000000	0.000000
AT1G01420	UGT72B3	1	-	154492	156011	7.516448	0.469541	0.753438
AT1G01430	TBL25	1	-	156801	158655	236.585312	14.779120	23.714964
AT1G01440	AT1G01440	1	-	159856	162572	138.111115	8.627589	13.844055
AT1G01448	AT1G01448	1	+	163419	166239	47.327030	3.590961	5.762150
AT1G01450	AT1G01450	1	-	164105	165517	0.000000	0.000000	0.000000
AT1G01453	AT1G01453	1	-	166589	167842	7.584529	0.532738	0.854845
AT1G01460	PIP5K10	1	+	168723	171165	0.000000	0.000000	0.000000
AT1G01470	LEA14	1	-	172146	172948	651.470398	40.696354	65.302437
AT1G01471	AT1G01471	1	+	173251	173466	0.000000	0.000000	0.000000
