transcript_id	gene_id	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010.1	AT1G01010	23.81	30.08	26.56	22.93	20.83	21.02
AT1G01020.1	AT1G01020	4.01	3.63	5.29	4.33	5.35	7.41
AT1G01020.2	AT1G01020	2.01	0.00	0.00	0.22	0.00	0.00
AT1G01030.1	AT1G01030	0.02	0.00	0.00	0.13	0.57	0.50
AT1G01040.1	AT1G01040	9.62	9.93	9.72	8.80	9.02	7.14
AT1G01040.2	AT1G01040	1.08	0.00	0.00	0.24	0.00	0.00
AT1G01046.1	AT1G01046	1.23	0.00	0.00	0.00	0.00	0.00
AT1G01050.1	AT1G01050	91.04	91.95	98.30	100.01	84.03	82.10
AT1G01060.1	AT1G01060	35.58	78.13	33.27	19.88	4.01	18.80
AT1G01060.2	AT1G01060	0.48	5.63	3.32	1.52	1.31	0.00
AT1G01060.3	AT1G01060	1.57	2.06	1.24	0.16	0.00	0.00
AT1G01060.4	AT1G01060	25.78	64.08	26.27	24.38	9.87	32.11
AT1G01060.5	AT1G01060	1.89	2.59	0.78	0.48	0.35	0.71
AT1G01070.1	AT1G01070	36.82	32.12	42.94	16.75	19.34	17.94
AT1G01070.2	AT1G01070	3.03	0.17	0.31	0.62	0.77	0.79
AT1G01073.1	AT1G01073	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01080.1	AT1G01080	7.26	6.19	6.95	10.98	10.28	9.68
AT1G01080.2	AT1G01080	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01090.1	AT1G01090	88.25	79.01	83.77	99.64	78.91	92.63
AT1G01100.1	AT1G01100	0.13	2.98	1.29	2.91	4.69	0.00
AT1G01100.2	AT1G01100	461.73	441.43	506.00	720.45	499.52	533.48
AT1G01100.3	AT1G01100	9.55	2.18	3.21	10.19	3.88	6.24
AT1G01100.4	AT1G01100	0.00	0.40	0.12	1.33	0.90	0.00
AT1G01110.1	AT1G01110	0.73	0.19	2.12	2.19	2.44	0.00
AT1G01110.2	AT1G01110	4.61	1.74	2.20	3.39	2.71	2.18
