transcript_id	gene_id	flight1	flight2	flight3	ground1	ground2	ground3
AT1G01010.1	AT1G01010	1995.00	2133.00	1895.00	1853.00	1212.00	1619.00
AT1G01020.1	AT1G01020	320.59	246.00	360.00	333.66	297.00	545.00
AT1G01020.2	AT1G01020	97.41	0.00	0.00	10.34	0.00	0.00
AT1G01030.1	AT1G01030	2.00	0.00	0.00	12.00	38.00	44.00
AT1G01040.1	AT1G01040	3379.72	2961.00	2905.00	2982.67	2196.00	2296.00
AT1G01040.2	AT1G01040	354.28	0.00	0.00	76.33	0.00	0.00
AT1G01046.1	AT1G01046	1.00	0.00	0.00	0.00	0.00	0.00
AT1G01050.1	AT1G01050	3828.00	3261.00	3522.00	4055.00	2459.00	3188.00
AT1G01060.1	AT1G01060	5101.37	9492.80	4059.25	2748.50	398.95	2472.75
AT1G01060.2	AT1G01060	71.60	715.30	422.69	219.27	136.06	0.00
AT1G01060.3	AT1G01060	207.69	231.34	140.00	21.03	0.00	0.00
AT1G01060.4	AT1G01060	3600.74	7584.42	3122.77	3283.99	956.05	4114.42
AT1G01060.5	AT1G01060	273.60	317.14	96.29	67.20	34.94	93.83
AT1G01070.1	AT1G01070	2271.58	1674.88	2256.11	996.13	829.30	1018.95
AT1G01070.2	AT1G01070	208.42	10.12	17.89	40.87	36.70	50.05
AT1G01073.1	AT1G01073	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01080.1	AT1G01080	451.00	325.00	368.00	658.00	444.00	554.00
AT1G01080.2	AT1G01080	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01090.1	AT1G01090	7080.00	5363.00	5721.00	7707.00	4396.00	6831.00
AT1G01100.1	AT1G01100	2.41	48.01	21.14	54.07	63.15	0.00
AT1G01100.2	AT1G01100	10075.46	8073.27	9426.31	15166.60	7621.98	10853.58
AT1G01100.3	AT1G01100	172.13	32.83	49.46	177.20	48.95	105.42
AT1G01100.4	AT1G01100	0.00	6.90	2.09	26.13	12.92	0.00
AT1G01110.1	AT1G01110	50.41	11.39	124.74	146.04	117.20	0.00
AT1G01110.2	AT1G01110	411.59	131.61	167.26	291.96	167.80	179.00
AT1G01115.1	AT1G01115	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01120.1	AT1G01120	2419.00	2693.00	1438.00	3098.00	2712.00	3922.00
AT1G01130.1	AT1G01130	20.00	0.00	19.00	23.00	27.00	46.00
AT1G01140.1	AT1G01140	963.00	782.00	654.00	553.19	253.00	474.00
AT1G01140.2	AT1G01140	0.00	0.00	0.00	9.81	0.00	0.00
AT1G01140.3	AT1G01140	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01150.1	AT1G01150	8.00	0.00	24.00	31.00	14.00	20.00
AT1G01160.1	AT1G01160	1362.96	959.83	1491.00	1372.00	828.00	1042.52
AT1G01160.2	AT1G01160	2.31	2.26	0.00	0.00	0.00	0.00
AT1G01170.1	AT1G01170	943.47	834.62	771.00	316.95	551.38	472.34
AT1G01170.2	AT1G01170	33.25	28.29	0.00	29.05	12.62	28.14
AT1G01180.1	AT1G01180	1339.00	1143.00	932.00	1105.00	748.00	1170.00
AT1G01183.1	AT1G01183	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01190.1	AT1G01190	454.00	804.00	677.00	1622.00	1079.00	1201.00
AT1G01200.1	AT1G01200	103.00	92.00	155.00	665.00	251.00	424.00
AT1G01210.1	AT1G01210	572.00	727.00	454.00	1162.00	540.00	940.00
AT1G01220.1	AT1G01220	1327.00	1212.00	1083.00	1444.00	746.00	1123.00
AT1G01225.1	AT1G01225	280.00	369.00	266.00	466.00	289.00	272.00
AT1G01230.1	AT1G01230	2370.00	2052.00	1882.00	1604.00	1353.00	1849.00
AT1G01240.1	AT1G01240	1823.50	1705.78	1940.36	630.84	767.17	823.81
AT1G01240.2	AT1G01240	127.98	0.00	145.27	0.00	0.00	0.00
AT1G01240.3	AT1G01240	349.53	375.22	350.37	190.16	113.83	227.19
AT1G01250.1	AT1G01250	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01260.1	AT1G01260	855.92	459.57	236.72	371.75	58.52	0.00
AT1G01260.2	AT1G01260	138.08	300.43	416.79	615.25	610.48	655.68
AT1G01260.3	AT1G01260	0.00	0.00	144.49	0.00	0.00	370.32
AT1G01270.1	AT1G01270	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01280.1	AT1G01280	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01290.1	AT1G01290	177.35	245.28	226.76	542.47	260.37	184.14
AT1G01290.2	AT1G01290	483.65	289.72	219.24	349.53	211.63	478.86
AT1G01300.1	AT1G01300	2572.00	2311.00	1969.00	5120.00	3370.00	3014.00
AT1G01305.1	AT1G01305	12.00	0.00	0.00	0.00	0.00	0.00
AT1G01310.1	AT1G01310	11.00	17.00	19.00	4.00	16.00	23.00
AT1G01320.1	AT1G01320	462.37	407.88	480.65	1099.91	546.28	736.99
AT1G01320.2	AT1G01320	1064.63	705.12	895.35	645.09	703.72	597.01
AT1G01340.1	AT1G01340	0.00	0.00	0.00	0.00	146.31	0.00
AT1G01340.2	AT1G01340	1404.00	1403.00	1727.00	1317.00	801.69	1466.00
AT1G01350.1	AT1G01350	1018.00	1167.00	1108.00	1483.00	955.00	1258.00
AT1G01355.1	AT1G01355	27.00	58.00	22.00	6.00	7.00	0.00
AT1G01360.1	AT1G01360	1229.00	1945.00	1216.00	1169.00	859.00	1416.00
AT1G01370.1	AT1G01370	120.66	0.00	279.42	145.99	103.29	196.16
AT1G01370.2	AT1G01370	125.34	111.00	86.58	240.01	137.71	232.84
AT1G01380.1	AT1G01380	144.00	189.00	50.00	243.00	90.00	118.00
AT1G01390.1	AT1G01390	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01400.1	AT1G01400	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01410.1	AT1G01410	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01420.1	AT1G01420	73.00	31.00	53.00	148.00	98.00	204.00
AT1G01430.1	AT1G01430	1833.00	1394.00	1216.00	1441.00	1254.00	1377.00
AT1G01440.1	AT1G01440	1365.00	953.00	948.00	834.00	656.00	789.00
AT1G01448.1	AT1G01448	600.29	298.30	334.83	280.17	242.32	296.26
AT1G01448.2	AT1G01448	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01448.3	AT1G01448	31.71	14.70	24.31	14.00	36.43	20.79
AT1G01450.1	AT1G01450	0.00	21.00	55.86	26.83	14.25	18.95
AT1G01453.1	AT1G01453	110.00	24.00	36.00	71.00	56.00	102.00
AT1G01453.2	AT1G01453	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01460.1	AT1G01460	14.00	0.00	0.00	0.00	3.00	0.00
AT1G01470.1	AT1G01470	1711.00	1756.00	1781.00	2831.00	2546.00	2718.00
AT1G01471.1	AT1G01471	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01480.1	AT1G01480	229.53	0.00	0.00	88.77	212.00	219.11
AT1G01480.2	AT1G01480	40.47	116.00	197.00	165.23	0.00	22.89
AT1G01490.1	AT1G01490	2220.23	1828.04	1455.10	1914.62	870.02	1797.14
AT1G01490.2	AT1G01490	794.77	1192.96	1007.90	2494.38	979.98	2216.86
AT1G01500.1	AT1G01500	515.00	315.00	296.00	589.00	295.00	477.00
AT1G01510.1	AT1G01510	3488.00	3547.00	3002.00	3469.00	2070.00	2628.00
AT1G01520.1	AT1G01520	0.00	15.00	4.00	6.00	0.00	25.00
AT1G01530.1	AT1G01530	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01540.1	AT1G01540	36.93	0.00	256.76	197.65	61.58	113.35
AT1G01540.2	AT1G01540	1941.07	2033.00	1897.24	2012.35	1228.42	1978.65
AT1G01550.1	AT1G01550	10988.76	9410.19	10780.13	10392.62	7537.44	10479.33
AT1G01550.2	AT1G01550	338.24	383.81	337.87	883.38	316.56	287.67
AT1G01560.1	AT1G01560	0.00	0.00	0.00	4.26	0.00	38.03
AT1G01560.2	AT1G01560	19.00	93.00	39.00	142.74	89.00	134.97
AT1G01570.1	AT1G01570	126.00	110.00	251.00	260.00	150.00	202.00
AT1G01580.1	AT1G01580	328.00	242.00	1617.00	19440.00	1980.00	7973.00
AT1G01590.1	AT1G01590	0.00	15.00	0.00	2.00	6.00	0.00
AT1G01600.1	AT1G01600	199.00	318.00	160.00	382.00	244.00	235.00
AT1G01610.1	AT1G01610	3529.00	4093.00	3092.00	4666.00	3294.00	5781.00
AT1G01620.1	AT1G01620	58309.46	45725.00	50317.28	22023.00	20116.00	25924.55
AT1G01620.2	AT1G01620	27.54	0.00	24.72	0.00	0.00	25.45
AT1G01630.1	AT1G01630	1859.00	1476.00	1563.00	2166.00	1226.00	1971.00
AT1G01640.1	AT1G01640	1960.00	1450.00	1584.00	1152.00	877.00	873.00
AT1G01640.2	AT1G01640	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01650.1	AT1G01650	3113.73	2876.66	2984.82	3006.13	1559.82	2518.45
AT1G01650.2	AT1G01650	191.27	10.34	6.18	173.87	15.18	100.55
AT1G01660.1	AT1G01660	217.00	198.00	303.00	309.00	170.00	259.00
AT1G01670.1	AT1G01670	441.00	360.00	467.00	360.00	213.00	275.00
AT1G01680.1	AT1G01680	0.00	0.00	29.00	21.00	3.00	34.00
AT1G01690.1	AT1G01690	330.00	366.00	370.00	438.00	402.00	423.00
AT1G01695.1	AT1G01695	0.00	0.00	0.00	21.00	0.00	12.00
AT1G01700.1	AT1G01700	41.00	46.00	28.00	65.00	31.00	41.00
AT1G01710.1	AT1G01710	1797.00	1300.00	1358.00	1639.00	1152.00	1521.00
AT1G01720.1	AT1G01720	3672.00	4507.00	3827.00	2810.00	2182.00	2629.00
AT1G01725.1	AT1G01725	380.00	322.00	264.00	185.00	198.00	273.00
AT1G01730.1	AT1G01730	1687.00	1349.00	1591.00	1333.00	961.00	1078.00
AT1G01740.1	AT1G01740	13.56	23.13	86.52	70.89	87.08	50.34
AT1G01740.2	AT1G01740	140.44	50.87	129.48	153.11	42.92	150.66
AT1G01750.1	AT1G01750	1246.00	980.00	1320.00	1316.00	808.00	1435.00
AT1G01760.1	AT1G01760	260.00	136.00	220.00	137.00	36.00	74.00
AT1G01770.1	AT1G01770	1528.00	1206.00	1546.00	708.00	585.00	643.00
AT1G01780.1	AT1G01780	1251.00	809.00	1120.00	707.00	445.00	633.00
AT1G01790.1	AT1G01790	1235.00	1222.00	1040.00	1153.00	893.00	1016.00
AT1G01800.1	AT1G01800	4805.00	5202.50	4848.00	4847.70	2901.91	4475.30
AT1G01800.2	AT1G01800	0.00	16.50	0.00	26.30	22.09	81.70
AT1G01810.1	AT1G01810	28.00	10.00	0.00	31.00	20.00	52.00
AT1G01820.1	AT1G01820	2752.00	2011.00	2616.00	1914.00	1615.00	1778.00
AT1G01830.1	AT1G01830	174.09	0.00	148.71	451.04	202.32	0.00
AT1G01830.2	AT1G01830	535.80	435.83	0.00	29.29	165.77	634.04
AT1G01830.3	AT1G01830	285.12	190.17	502.29	249.67	224.91	65.96
AT1G01840.1	AT1G01840	53.00	58.00	50.00	101.00	31.00	78.00
AT1G01860.1	AT1G01860	320.00	222.00	282.00	256.00	160.00	210.00
AT1G01870.1	AT1G01870	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01880.1	AT1G01880	0.04	0.00	105.00	152.00	72.00	74.00
AT1G01880.2	AT1G01880	210.96	118.00	0.00	0.00	0.00	0.00
AT1G01890.1	AT1G01890	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01900.1	AT1G01900	199.00	249.00	240.00	324.00	318.00	335.00
AT1G01910.1	AT1G01910	1040.86	519.14	687.08	520.09	60.98	437.46
AT1G01910.2	AT1G01910	1912.49	1057.85	1528.78	1377.75	1409.49	1242.36
AT1G01910.3	AT1G01910	0.00	0.00	9.18	110.81	12.10	12.76
AT1G01910.4	AT1G01910	250.65	759.02	372.95	579.35	176.43	150.42
AT1G01910.5	AT1G01910	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01920.1	AT1G01920	0.00	0.00	2.62	44.60	21.49	0.00
AT1G01920.2	AT1G01920	766.00	902.00	825.38	1298.40	736.51	935.00
AT1G01930.1	AT1G01930	1134.00	968.00	898.00	892.00	618.00	882.00
AT1G01940.1	AT1G01940	1091.00	703.00	860.00	991.00	580.00	1024.00
AT1G01950.1	AT1G01950	1410.00	1402.08	1121.00	1609.00	1026.00	1602.00
AT1G01950.2	AT1G01950	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01950.3	AT1G01950	0.00	4.92	0.00	0.00	0.00	0.00
AT1G01960.1	AT1G01960	6787.00	6024.00	5056.00	6714.00	4210.00	4874.00
AT1G01970.1	AT1G01970	385.00	488.00	354.00	372.00	335.00	390.00
AT1G01980.1	AT1G01980	0.00	0.00	0.00	8.00	0.00	0.00
AT1G01990.1	AT1G01990	1037.00	871.00	688.00	671.00	485.00	516.00
AT1G02000.1	AT1G02000	712.00	661.00	619.00	670.00	485.00	580.00
AT1G02010.1	AT1G02010	489.00	541.00	313.00	409.00	225.60	427.00
AT1G02010.2	AT1G02010	0.00	0.00	0.00	0.00	1.40	0.00
