Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	266.513336	18.343687	29.393038
AT1G01020	ARV1	1	-	5928	8737	107.053825	8.219489	13.170512
AT1G01030	NGA3	1	-	11649	13714	6.174016	0.424948	0.680916
AT1G01040	DCL1	1	+	23146	31227	96.085709	6.616599	10.602119
AT1G01046	MIR838A	1	+	28500	28706	66.830917	4.599865	7.370601
AT1G01050	PPA1	1	-	31170	33153	863.022827	59.400478	95.180458
AT1G01060	LHY	1	-	33379	37871	557.706299	46.887241	75.129852
AT1G01070	AT1G01070	1	-	38752	40944	180.057251	13.409674	21.487015
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	113.360062	7.820138	12.530610
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	1102.083008	75.854607	121.545753
AT1G01100	RPP1A	1	-	50075	51199	4246.811523	319.155823	511.399872
AT1G01110	IQD18	1	+	52239	54692	28.142105	2.044146	3.275441
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	520.980530	35.858257	57.457539
AT1G01130	AT1G01130	1	-	61905	63811	63.114746	4.344087	6.960755
AT1G01140	CIPK9	1	-	64166	67625	75.740784	5.268637	8.442209
AT1G01150	AT1G01150	1	-	70115	72138	4.684264	0.322410	0.516615
AT1G01160	GIF2	1	+	72339	74096	258.630463	19.465366	31.190361
AT1G01170	AT1G01170	1	-	73931	74737	233.560684	16.091568	25.784351
AT1G01180	AT1G01180	1	+	75583	76758	239.366516	16.475214	26.399086
AT1G01183	MIR165A	1	-	78932	79032	0.000000	0.000000	0.000000
AT1G01190	CYP78A8	1	-	83045	84864	242.049133	16.659855	26.694946
AT1G01200	RABA3	1	-	86515	88213	139.105942	9.574439	15.341619
AT1G01210	AT1G01210	1	+	88898	89745	384.667206	26.476028	42.423908
AT1G01220	FKGP	1	+	91376	95651	77.408577	5.327909	8.537183
AT1G01225	AT1G01225	1	+	95987	97407	73.549271	5.062278	8.111550
AT1G01230	AT1G01230	1	+	97456	99240	583.224182	40.142387	64.322220
AT1G01240	AT1G01240	1	+	99894	101834	143.348267	13.322225	21.346889
AT1G01250	ERF023	1	-	104491	105330	0.000000	0.000000	0.000000
AT1G01260	BHLH13	1	+	108946	111609	103.131767	7.781454	12.468625
AT1G01270	AT1G01270	1	-	111890	111961	0.000000	0.000000	0.000000
AT1G01280	CYP703A2	1	+	112263	113947	0.000000	0.000000	0.000000
AT1G01290	CNX3	1	+	114286	116108	150.683807	12.280564	19.677784
AT1G01300	AT1G01300	1	+	116943	118764	447.464325	30.798252	49.349632
AT1G01305	AT1G01305	1	+	119397	119997	0.000000	0.000000	0.000000
AT1G01310	AT1G01310	1	+	120154	121130	4.844221	0.333420	0.534256
AT1G01320	AT1G01320	1	-	121067	130577	60.052757	4.176545	6.692293
AT1G01340	CNGC10	1	-	132328	135831	151.946762	11.058918	17.720274
AT1G01350	AT1G01350	1	+	136124	138162	229.323578	15.783975	25.291479
AT1G01355	AT1G01355	1	+	138513	139568	0.000000	0.000000	0.000000
AT1G01360	PYL9	1	+	141971	143183	376.520569	25.915308	41.525440
AT1G01370	HTR12	1	+	143564	145684	115.964714	8.820695	14.133856
AT1G01380	ETC1	1	+	147153	147942	70.281693	4.837376	7.751179
AT1G01390	UGT72B2	1	-	148120	149806	0.000000	0.000000	0.000000
AT1G01400	AT1G01400	1	-	150689	152210	0.000000	0.000000	0.000000
AT1G01410	APUM22	1	+	153113	154198	0.000000	0.000000	0.000000
AT1G01420	UGT72B3	1	-	154492	156011	35.548683	2.446759	3.920568
AT1G01430	TBL25	1	-	156801	158655	229.348969	15.785722	25.294279
AT1G01440	AT1G01440	1	-	159856	162572	108.708687	7.482244	11.989188
AT1G01448	AT1G01448	1	+	163419	166239	39.344215	3.468303	5.557441
AT1G01450	AT1G01450	1	-	164105	165517	0.000000	0.000000	0.000000
AT1G01453	AT1G01453	1	-	166589	167842	20.879583	1.618532	2.593457
AT1G01460	PIP5K10	1	+	168723	171165	0.000000	0.000000	0.000000
AT1G01470	LEA14	1	-	172146	172948	924.639587	63.641460	101.976006
AT1G01471	AT1G01471	1	+	173251	173466	0.000000	0.000000	0.000000
AT1G01480	ACS2	1	+	175782	178400	31.975832	2.279750	3.652961
AT1G01490	AT1G01490	1	-	180059	182358	889.749023	65.318054	104.662498
AT1G01500	AT1G01500	1	+	185133	186923	101.541412	6.988933	11.198729
AT1G01510	AN	1	+	187211	190056	318.017914	21.888664	35.073338
AT1G01520	RVE3	1	+	190596	192139	12.555555	0.864179	1.384718
AT1G01530	AGL28	1	-	192640	193670	0.000000	0.000000	0.000000
AT1G01540	AT1G01540	1	+	195780	198684	303.003021	21.624512	34.650074
AT1G01550	BPS1	1	+	199639	201775	1772.983643	130.395660	208.939697
AT1G01560	MPK11	1	+	202136	204335	23.970760	2.052250	3.288426
AT1G01570	AT1G01570	1	+	205176	207435	40.829506	2.810230	4.502976
AT1G01580	FRO2	1	+	209395	213041	918.055847	63.188316	101.249908
AT1G01590	FRO1	1	+	214229	217304	0.000000	0.000000	0.000000
AT1G01600	CYP86A4	1	+	218994	221286	33.065186	2.275824	3.646670
AT1G01610	GPAT4	1	-	221691	224340	825.539307	56.820549	91.046509
AT1G01620	PIP1-3	1	-	225665	227302	6440.095703	443.294006	710.312927
AT1G01630	AT1G01630	1	+	229013	230917	459.195770	31.605711	50.643463
AT1G01640	AT1G01640	1	-	230994	232508	240.750519	17.949017	28.760637
AT1G01650	SPPL4	1	-	232841	237817	305.533112	21.654007	34.697334
AT1G01660	PUB55	1	-	240057	242608	54.805214	3.772155	6.044319
AT1G01670	PUB56	1	-	242843	245988	53.296246	3.668295	5.877899
AT1G01680	PUB54	1	-	246411	248367	8.316062	0.572381	0.917156
AT1G01690	ATPRD3	1	+	249141	252462	74.417847	5.122061	8.207344
AT1G01695	AT1G01695	1	+	252947	254495	0.000000	0.000000	0.000000
AT1G01700	ROPGEF2	1	-	259495	261474	8.823731	0.607323	0.973145
AT1G01710	AT1G01710	1	+	262828	267771	166.236954	11.441823	18.333826
AT1G01720	NAC002	1	+	268330	269819	546.850281	37.638828	60.310646
AT1G01725	AT1G01725	1	-	269792	270775	141.339966	9.728204	15.588004
AT1G01730	AT1G01730	1	+	270956	272061	306.880219	21.122074	33.844994
AT1G01740	AT1G01740	1	-	272111	274569	38.941059	2.688305	4.307610
AT1G01750	ADF10	1	+	275366	276310	480.307434	33.058792	52.971809
AT1G01760	AT1G01760	1	-	276266	278448	30.870113	2.124741	3.404582
AT1G01770	AT1G01770	1	+	278615	282891	94.954742	6.535583	10.472302
AT1G01780	PLIM2B	1	+	282761	284245	240.356552	16.543358	26.508276
AT1G01790	KEA1	1	+	284610	291094	69.663795	4.794847	7.683032
AT1G01800	AT1G01800	1	+	293342	295040	1072.510986	74.089119	118.716820
AT1G01810	AT1G01810	1	+	295221	295859	32.320812	2.224590	3.564575
AT1G01820	PEX11C	1	-	296001	298120	467.439880	32.173138	51.552681
AT1G01830	AT1G01830	1	-	298535	302315	72.755356	5.185316	8.308700
AT1G01840	AT1G01840	1	+	303537	304358	23.103725	1.590192	2.548048
AT1G01860	PFC1	1	-	304133	306287	61.649067	4.243207	6.799109
AT1G01870	AT1G01870	1	+	306384	306456	0.000000	0.000000	0.000000
AT1G01880	GEN1	1	-	306480	309109	12.542084	0.863252	1.383233
AT1G01890	AT1G01890	1	-	309275	309347	0.000000	0.000000	0.000000
AT1G01900	SBTI1.1	1	+	310316	313130	36.057316	2.481767	3.976664
AT1G01910	AT1G01910	1	-	313101	315902	292.487488	22.410248	35.909096
AT1G01920	AT1G01920	1	+	316128	319650	144.487656	10.386954	16.643555
AT1G01930	AT1G01930	1	-	319836	322860	111.939972	7.704649	12.345557
AT1G01940	CYP18-1	1	+	323027	324917	337.157623	23.206018	37.184204
AT1G01950	ARK2	1	+	325379	330619	144.106018	10.127225	16.227375
AT1G01960	BIG3	1	-	330588	337582	235.029434	16.176699	25.920763
AT1G01970	AT1G01970	1	+	338291	340077	58.733173	4.042511	6.477523
AT1G01980	AT1G01980	1	-	340172	341999	0.000000	0.000000	0.000000
AT1G01990	AT1G01990	1	-	343166	344341	111.977043	7.707201	12.349646
AT1G02000	GAE2	1	+	345812	347592	90.435150	6.224506	9.973849
AT1G02010	SEC1A	1	+	347891	352480	52.811180	3.634909	5.824402
AT1G02020	AT1G02020	1	-	352637	354969	32.722679	2.325484	3.726242
AT1G02030	ZAT1	1	-	355321	357258	11.226522	0.772704	1.238143
AT1G02040	AT1G02040	1	-	358104	359078	0.000000	0.000000	0.000000
