Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	313.750580	21.651968	34.463539
AT1G01020	ARV1	1	-	5928	8737	73.062279	5.623761	8.951367
AT1G01040	DCL1	1	+	23146	31227	127.786873	8.822821	14.043326
AT1G01046	MIR838A	1	+	28500	28706	35.806763	2.471029	3.933149
AT1G01050	PPA1	1	-	31170	33153	908.814392	62.717396	99.827576
AT1G01060	LHY	1	-	33379	37871	662.799194	55.476540	88.302277
AT1G01070	AT1G01070	1	-	38752	40944	453.765167	33.000256	52.526665
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	75.518158	5.223371	8.314064
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	1003.272278	69.235947	110.203186
AT1G01100	RPP1A	1	-	50075	51199	3772.671631	281.817047	448.569519
AT1G01110	IQD18	1	+	52239	54692	46.663425	3.361363	5.350297
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	196.153244	13.536560	21.546207
AT1G01130	AT1G01130	1	-	61905	63811	35.061337	2.419587	3.851269
AT1G01140	CIPK9	1	-	64166	67625	93.125656	6.495103	10.338287
AT1G01150	AT1G01150	1	-	70115	72138	5.011885	0.345871	0.550524
AT1G01160	GIF2	1	+	72339	74096	349.395294	26.417259	42.048481
AT1G01170	AT1G01170	1	-	73931	74737	385.273895	26.630949	42.388607
AT1G01180	AT1G01180	1	+	75583	76758	206.585892	14.256518	22.692167
AT1G01183	MIR165A	1	-	78932	79032	10.881188	0.750912	1.195230
AT1G01190	CYP78A8	1	-	83045	84864	149.239746	10.299053	16.393053
AT1G01200	RABA3	1	-	86515	88213	39.089630	2.697580	4.293752
AT1G01210	AT1G01210	1	+	88898	89745	200.407471	13.830145	22.013508
AT1G01220	FKGP	1	+	91376	95651	82.716591	5.708282	9.085900
AT1G01225	AT1G01225	1	+	95987	97407	62.406845	4.306704	6.855001
AT1G01230	AT1G01230	1	+	97456	99240	595.933960	41.125481	65.459618
AT1G01240	AT1G01240	1	+	99894	101834	341.340271	32.907204	52.378555
AT1G01250	ERF023	1	-	104491	105330	0.000000	0.000000	0.000000
AT1G01260	BHLH13	1	+	108946	111609	84.496994	6.517863	10.374514
AT1G01270	AT1G01270	1	-	111890	111961	0.000000	0.000000	0.000000
AT1G01280	CYP703A2	1	+	112263	113947	0.000000	0.000000	0.000000
AT1G01290	CNX3	1	+	114286	116108	99.915237	8.092014	12.880097
AT1G01300	AT1G01300	1	+	116943	118764	290.075745	20.018164	31.863007
AT1G01305	AT1G01305	1	+	119397	119997	0.000000	0.000000	0.000000
AT1G01310	AT1G01310	1	+	120154	121130	0.000000	0.000000	0.000000
AT1G01320	AT1G01320	1	-	121067	130577	61.125515	4.257475	6.776642
AT1G01340	CNGC10	1	-	132328	135831	195.056015	14.233865	22.656109
AT1G01350	AT1G01350	1	+	136124	138162	215.195007	14.850635	23.637825
AT1G01355	AT1G01355	1	+	138513	139568	13.152839	0.907679	1.444757
AT1G01360	PYL9	1	+	141971	143183	334.696991	23.097483	36.764370
AT1G01370	HTR12	1	+	143564	145684	117.647919	8.931468	14.216259
AT1G01380	ETC1	1	+	147153	147942	17.573944	1.212780	1.930388
AT1G01420	UGT72B3	1	-	154492	156011	11.416448	0.787851	1.254025
AT1G01430	TBL25	1	-	156801	158655	204.470764	14.110554	22.459835
AT1G01440	AT1G01440	1	-	159856	162572	133.593872	9.219330	14.674452
AT1G01448	AT1G01448	1	+	163419	166239	53.775089	5.004971	7.966435
AT1G01450	AT1G01450	1	-	164105	165517	0.000000	0.000000	0.000000
AT1G01453	AT1G01453	1	-	166589	167842	9.787879	0.752716	1.198102
AT1G01470	LEA14	1	-	172146	172948	641.444275	44.266151	70.458641
AT1G01480	ACS2	1	+	175782	178400	24.049849	1.899787	3.023900
AT1G01490	AT1G01490	1	-	180059	182358	555.208496	40.674686	64.742088
AT1G01500	AT1G01500	1	+	185133	186923	63.758385	4.399974	7.003460
AT1G01510	AN	1	+	187211	190056	394.573090	27.229540	43.341385
AT1G01520	RVE3	1	+	190596	192139	0.000000	0.000000	0.000000
AT1G01540	AT1G01540	1	+	195780	198684	314.352448	22.515858	35.838596
AT1G01550	BPS1	1	+	199639	201775	1873.606445	138.153275	219.899216
AT1G01560	MPK11	1	+	202136	204335	5.279532	0.364341	0.579924
AT1G01570	AT1G01570	1	+	205176	207435	45.661797	3.151127	5.015663
AT1G01580	FRO2	1	+	209395	213041	173.312988	11.960351	19.037348
AT1G01590	FRO1	1	+	214229	217304	0.000000	0.000000	0.000000
AT1G01600	CYP86A4	1	+	218994	221286	20.155340	1.390923	2.213938
AT1G01610	GPAT4	1	-	221691	224340	446.323547	30.800846	49.025852
AT1G01620	PIP1-3	1	-	225665	227302	13540.918945	934.514832	1487.471680
AT1G01630	AT1G01630	1	+	229013	230917	378.743561	26.137140	41.602612
AT1G01640	AT1G01640	1	-	230994	232508	453.426514	33.899807	53.958488
AT1G01650	SPPL4	1	-	232841	237817	393.413727	28.164467	44.829517
AT1G01660	PUB55	1	-	240057	242608	64.410660	4.444988	7.075108
AT1G01670	PUB56	1	-	242843	245988	94.653961	6.532082	10.397145
AT1G01680	PUB54	1	-	246411	248367	7.663212	0.528839	0.841756
AT1G01690	ATPRD3	1	+	249141	252462	65.666077	4.531624	7.213008
AT1G01695	AT1G01695	1	+	252947	254495	0.000000	0.000000	0.000000
AT1G01700	ROPGEF2	1	-	259495	261474	4.804870	0.331585	0.527785
AT1G01710	AT1G01710	1	+	262828	267771	152.576447	10.529320	16.759569
AT1G01720	NAC002	1	+	268330	269819	770.448975	53.168781	84.628998
AT1G01725	AT1G01725	1	-	269792	270775	168.218964	11.608812	18.477800
AT1G01730	AT1G01730	1	+	270956	272061	472.485168	32.606262	51.899544
AT1G01740	AT1G01740	1	-	272111	274569	46.869076	3.278783	5.218854
AT1G01750	ADF10	1	+	275366	276310	439.155304	30.306162	48.238464
AT1G01760	AT1G01760	1	-	276266	278448	62.872952	4.338871	6.906200
AT1G01770	AT1G01770	1	+	278615	282891	209.809326	14.478969	23.046242
AT1G01780	PLIM2B	1	+	282761	284245	362.664368	25.027514	39.836411
AT1G01790	KEA1	1	+	284610	291094	76.122688	5.253236	8.361601
AT1G01800	AT1G01800	1	+	293342	295040	1188.139404	82.293434	130.986862
AT1G01810	AT1G01810	1	+	295221	295859	7.092332	0.489443	0.779048
AT1G01820	PEX11C	1	-	296001	298120	730.270020	50.396027	80.215591
AT1G01830	AT1G01830	1	-	298535	302315	69.146904	5.170262	8.229530
AT1G01840	AT1G01840	1	+	303537	304358	15.334842	1.058259	1.684436
AT1G01860	PFC1	1	-	304133	306287	71.514633	4.935234	7.855435
AT1G01880	GEN1	1	-	306480	309109	15.381763	1.061497	1.689590
AT1G01900	SBTI1.1	1	+	310316	313130	27.587240	1.903799	3.030286
AT1G01910	AT1G01910	1	-	313101	315902	411.749847	31.095549	49.494930
AT1G01920	AT1G01920	1	+	316128	319650	123.589478	8.908905	14.180346
AT1G01930	AT1G01930	1	-	319836	322860	125.900452	8.688406	13.829377
AT1G01940	CYP18-1	1	+	323027	324917	297.908295	20.558691	32.723362
AT1G01950	ARK2	1	+	325379	330619	101.549278	7.157084	11.391964
AT1G01960	BIG3	1	-	330588	337582	249.830093	17.240807	27.442274
AT1G01970	AT1G01970	1	+	338291	340077	61.322014	4.231840	6.735839
AT1G01980	AT1G01980	1	-	340172	341999	0.000000	0.000000	0.000000
AT1G01990	AT1G01990	1	-	343166	344341	153.548462	10.596398	16.866339
AT1G02000	GAE2	1	+	345812	347592	91.249863	6.297164	10.023227
AT1G02010	SEC1A	1	+	347891	352480	41.432114	2.859235	4.551058
AT1G02020	AT1G02020	1	-	352637	354969	21.196743	1.510599	2.404427
AT1G02030	ZAT1	1	-	355321	357258	10.862745	0.749639	1.193205
AT1G02040	AT1G02040	1	-	358104	359078	0.658462	0.045441	0.072328
AT1G02050	PKSA	1	-	359117	360518	67.427589	4.653187	7.406499
AT1G02060	AT1G02060	1	-	360918	363094	65.422600	4.514822	7.186264
AT1G02070	AT1G02070	1	-	370257	370967	0.000000	0.000000	0.000000
