Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	2865.197754	2788.544434	3789.095703
cep97	cep97	NC_007112.7	+	11922	16373	2.867465	2.912791	3.957923
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	8.015367	10.227248	13.896863
eed	eed	NC_007112.7	+	27688	34330	7.295586	7.100406	9.648086
hikeshi	hikeshi	NC_007112.7	+	36734	39191	18.263584	17.774975	24.152771
tmem39a	tmem39a	NC_007112.7	-	39325	44525	13.218736	12.865092	17.481186
ildr1a	ildr1a	NC_007112.7	-	44839	49831	2.199819	2.140967	2.909162
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	0.378523	0.368396	0.500580
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.000000	0.000000	0.000000
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	0.261006	0.254023	0.345169
f7	f7	NC_007112.7	+	119960	125246	0.082919	0.080701	0.109657
f7i	f7i	NC_007112.7	+	127258	134079	0.000000	0.000000	0.000000
f10	f10	NC_007112.7	+	136020	142173	4.569144	4.446905	6.042488
pcid2	pcid2	NC_007112.7	-	152007	157567	4.624696	4.509180	6.127108
cul4a	cul4a	NC_007112.7	+	157793	168647	16.333447	15.896474	21.600252
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	6.091933	5.928954	8.056308
grtp1a	grtp1a	NC_007112.7	-	184908	191971	1.847749	1.824253	2.478809
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	7.809105	7.600186	10.327191
tmco3	tmco3	NC_007112.7	+	214860	226001	1.456549	1.417582	1.926221
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	4.420749	4.332445	5.886960
cenpe	cenpe	NC_007112.7	+	259991	296057	0.087472	0.085342	0.115963
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.054633	0.053171	0.072250
gas6	gas6	NC_007112.7	-	312784	338268	2.919309	2.841208	3.860655
pros1	pros1	NC_007112.7	-	343292	354114	13.626901	13.262337	18.020966
rasa3	rasa3	NC_007112.7	-	357227	411366	3.227744	3.200921	4.349436
tpp2	tpp2	NC_007112.7	+	418866	443739	1.478372	1.439192	1.955585
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	4.051143	3.942762	5.357455
blzf1	blzf1	NC_007112.7	+	494297	505620	9.863942	9.694972	13.173601
