Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	3461.885010	3222.154785	4199.578613
cep97	cep97	NC_007112.7	+	11922	16373	3.253527	3.092682	4.030830
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	4.769865	6.094747	7.943557
eed	eed	NC_007112.7	+	27688	34330	7.088932	6.598034	8.599514
hikeshi	hikeshi	NC_007112.7	+	36734	39191	18.836994	17.532562	22.850973
tmem39a	tmem39a	NC_007112.7	-	39325	44525	17.428242	16.221363	21.142029
ildr1a	ildr1a	NC_007112.7	-	44839	49831	0.962392	0.895748	1.167468
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	0.353782	0.329283	0.429169
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	0.773585	0.720015	0.938428
f7	f7	NC_007112.7	+	119960	125246	0.163626	0.152295	0.198493
f10	f10	NC_007112.7	+	136020	142173	7.893691	7.347065	9.575759
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	3.355582	3.128909	4.078048
cul4a	cul4a	NC_007112.7	+	157793	168647	15.825984	14.730060	19.198345
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	6.723111	6.257546	8.155740
grtp1a	grtp1a	NC_007112.7	-	184908	191971	2.156398	2.036019	2.653635
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	4.230603	4.295411	5.598402
tmco3	tmco3	NC_007112.7	+	214860	226001	1.192487	1.109909	1.446594
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	5.082421	4.828016	6.292569
cenpe	cenpe	NC_007112.7	+	259991	296057	0.000000	0.000000	0.000000
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.000000	0.000000	0.000000
gas6	gas6	NC_007112.7	-	312784	338268	4.060976	3.779760	4.926330
pros1	pros1	NC_007112.7	-	343292	354114	14.903704	13.871645	18.079536
rasa3	rasa3	NC_007112.7	-	357227	411366	2.434451	2.272552	2.961919
tpp2	tpp2	NC_007112.7	+	418866	443739	1.820222	1.695381	2.209666
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	2.077016	1.933186	2.519608
