Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	4040.409424	1613.159058	2403.006836
cep97	cep97	NC_007112.7	+	11922	16373	7.188971	2.979398	4.438194
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	72.156342	39.775951	59.251366
eed	eed	NC_007112.7	+	27688	34330	20.451056	8.165214	12.163131
hikeshi	hikeshi	NC_007112.7	+	36734	39191	34.416183	13.740880	20.468800
tmem39a	tmem39a	NC_007112.7	-	39325	44525	23.926165	9.552673	14.229928
ildr1a	ildr1a	NC_007112.7	-	44839	49831	25.814680	10.306675	15.353111
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	2.093917	0.859298	1.280034
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.063395	0.041844	0.062332
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	31.219078	12.464415	18.567341
f7	f7	NC_007112.7	+	119960	125246	67.731346	27.042170	40.282772
f7i	f7i	NC_007112.7	+	127258	134079	70.858917	28.290873	42.142876
f10	f10	NC_007112.7	+	136020	142173	163.028961	65.090347	96.960403
prozb	prozb	NC_007112.7	+	144291	152006	51.069736	20.389915	30.373388
pcid2	pcid2	NC_007112.7	-	152007	157567	19.774271	7.909410	11.782079
cul4a	cul4a	NC_007112.7	+	157793	168647	43.507462	17.370630	25.875774
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	36.489452	14.568645	21.701860
grtp1a	grtp1a	NC_007112.7	-	184908	191971	14.274587	5.800289	8.640272
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.029359	0.027197	0.040513
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	38.662937	16.277555	24.247501
tmco3	tmco3	NC_007112.7	+	214860	226001	15.635835	6.242706	9.299310
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	15.244956	6.221690	9.268004
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	3.098039	1.241128	1.848819
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.083056	0.033161	0.049397
gas6	gas6	NC_007112.7	-	312784	338268	22.606300	9.025709	13.444948
pros1	pros1	NC_007112.7	-	343292	354114	38.420273	15.339537	22.850204
rasa3	rasa3	NC_007112.7	-	357227	411366	5.551829	2.258601	3.364475
tpp2	tpp2	NC_007112.7	+	418866	443739	16.461216	6.593446	9.821782
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.626250	0.250034	0.372458
ercc5	ercc5	NC_007112.7	-	474073	494309	8.013026	3.199252	4.765695
blzf1	blzf1	NC_007112.7	+	494297	505620	28.736057	11.734525	17.480076
trmt10c	trmt10c	NC_007112.7	-	509021	513786	17.861021	7.131126	10.622725
txnl4b	txnl4b	NC_007112.7	+	513982	522317	8.977355	4.238452	6.313717
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	0.935985	0.463506	0.690451
mrpl16	mrpl16	NC_007112.7	+	524699	530940	58.686890	23.841873	35.515522
cenpq	cenpq	NC_007112.7	+	532766	549521	3.792940	1.514355	2.255826
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	1.157683	0.462212	0.688524
mrpl39	mrpl39	NC_007112.7	+	580671	591334	38.813766	15.496642	23.084232
jam2a	jam2a	NC_007112.7	+	594637	608235	6.337875	2.530437	3.769409
atp5j	atp5j	NC_007112.7	-	610327	614663	165.992432	145.815125	217.210281
appa	appa	NC_007112.7	-	617799	656793	64.874825	25.901686	38.583874
cyyr1	cyyr1	NC_007112.7	-	658405	669717	4.649040	1.856159	2.764986
adamts1	adamts1	NC_007112.7	-	672189	681503	30.539124	12.462840	18.564995
adamts5	adamts5	NC_007112.7	-	691738	714626	0.529495	0.211404	0.314914
n6amt1	n6amt1	NC_007112.7	+	961607	970952	24.260345	9.686097	14.428681
gart	gart	NC_007112.7	-	973067	1005061	13.743289	5.487095	8.173731
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	15.421740	6.157228	9.171978
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	0.000000	0.000000	0.000000
donson	donson	NC_007112.7	-	1286285	1352950	2.038835	0.814018	1.212584
runx1	runx1	NC_007112.7	-	1361974	1402588	3.577678	1.774216	2.642921
mir459	mir459	NC_007112.7	+	1575483	1575563	0.271605	0.292788	0.436145
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	0.978474	0.390662	0.581941
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	903.671692	360.796661	537.452759
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	387.447235	154.690765	230.431686
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.000000	0.000000	0.000000
atp1a1a.2	atp1a1a.2	NC_007112.7	+	1789357	1796834	4.284554	1.710635	2.548210
atp1a1a.3	atp1a1a.3	NC_007112.7	+	1805294	1815660	6.090904	2.431832	3.622525
atp1a1a.5	atp1a1a.5	NC_007112.7	+	1838164	1850104	12.187333	4.865870	7.248336
