Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	7216.372559	2298.496094	3081.965820
cep97	cep97	NC_007112.7	+	11922	16373	9.051731	3.022508	4.052766
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	22.430340	9.506447	12.746830
eed	eed	NC_007112.7	+	27688	34330	18.420347	5.867088	7.866955
hikeshi	hikeshi	NC_007112.7	+	36734	39191	59.663006	19.003342	25.480852
tmem39a	tmem39a	NC_007112.7	-	39325	44525	38.780571	12.352050	16.562391
ildr1a	ildr1a	NC_007112.7	-	44839	49831	5.580879	1.777573	2.383480
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	1.684066	0.549890	0.737326
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.079191	0.041699	0.055913
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	1.038085	0.330642	0.443345
f7	f7	NC_007112.7	+	119960	125246	0.167496	0.053349	0.071534
f7i	f7i	NC_007112.7	+	127258	134079	0.000000	0.000000	0.000000
f10	f10	NC_007112.7	+	136020	142173	12.331029	3.927572	5.266331
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	13.592536	4.337272	5.815682
cul4a	cul4a	NC_007112.7	+	157793	168647	43.642979	13.900782	18.639027
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	24.404854	7.773222	10.422815
grtp1a	grtp1a	NC_007112.7	-	184908	191971	4.486207	1.480924	1.985715
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	21.412939	6.829287	9.157130
tmco3	tmco3	NC_007112.7	+	214860	226001	4.848599	1.544334	2.070738
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	12.179251	3.968202	5.320810
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	0.250499	0.079984	0.107247
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.132152	0.042092	0.056439
gas6	gas6	NC_007112.7	-	312784	338268	8.783740	2.797720	3.751356
pros1	pros1	NC_007112.7	-	343292	354114	37.842495	12.053262	16.161758
rasa3	rasa3	NC_007112.7	-	357227	411366	8.864635	2.876981	3.857634
tpp2	tpp2	NC_007112.7	+	418866	443739	4.235965	1.349481	1.809468
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.029781	0.009873	0.013238
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.138750	0.044193	0.059257
ercc5	ercc5	NC_007112.7	-	474073	494309	12.707280	4.047412	5.427020
blzf1	blzf1	NC_007112.7	+	494297	505620	33.485653	10.771014	14.442440
trmt10c	trmt10c	NC_007112.7	-	509021	513786	28.286037	9.009422	12.080390
txnl4b	txnl4b	NC_007112.7	+	513982	522317	13.958333	5.096842	6.834161
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	0.267778	0.094961	0.127330
mrpl16	mrpl16	NC_007112.7	+	524699	530940	70.929062	22.987753	30.823399
cenpq	cenpq	NC_007112.7	+	532766	549521	1.283456	0.408795	0.548138
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	0.726147	0.231286	0.310123
mir155	mir155	NC_007112.7	+	576444	576521	0.000000	0.000000	0.000000
mrpl39	mrpl39	NC_007112.7	+	580671	591334	34.637245	11.032354	14.792861
jam2a	jam2a	NC_007112.7	+	594637	608235	19.512262	6.214876	8.333289
atp5j	atp5j	NC_007112.7	-	610327	614663	170.225418	98.847282	132.540543
appa	appa	NC_007112.7	-	617799	656793	66.386116	21.144728	28.352158
cyyr1	cyyr1	NC_007112.7	-	658405	669717	2.989986	0.952344	1.276962
adamts1	adamts1	NC_007112.7	-	672189	681503	1.004849	0.320126	0.429245
adamts5	adamts5	NC_007112.7	-	691738	714626	0.185856	0.059197	0.079375
n6amt1	n6amt1	NC_007112.7	+	961607	970952	15.612069	4.972620	6.667596
gart	gart	NC_007112.7	-	973067	1005061	7.441383	2.370164	3.178063
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	14.658261	4.668822	6.260244
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	3.842256	1.329099	1.782138
donson	donson	NC_007112.7	-	1286285	1352950	0.000000	0.000000	0.000000
runx1	runx1	NC_007112.7	-	1361974	1402588	0.727115	0.257784	0.345653
mir459	mir459	NC_007112.7	+	1575483	1575563	0.271605	0.233575	0.313192
urp2	urp2	NC_007112.7	+	1599979	1614496	0.000000	0.000000	0.000000
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	2.074364	0.660708	0.885919
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	1265.456909	403.062317	540.450867
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	1452.260986	462.561523	620.231079
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.000000	0.000000	0.000000
atp1a1a.2	atp1a1a.2	NC_007112.7	+	1789357	1796834	14.521461	4.625249	6.201820
atp1a1a.3	atp1a1a.3	NC_007112.7	+	1805294	1815660	34.862953	11.104244	14.889256
atp1a1a.5	atp1a1a.5	NC_007112.7	+	1838164	1850104	36.879337	11.746485	15.750413
si:ch211-132g1.3	si:ch211-132g1.3	NC_007112.7	-	1858212	1885624	24.770422	8.673138	11.629478
LOC103911757	LOC103911757	NC_007112.7	-	1887409	1894104	0.000000	0.000000	0.000000
si:ch211-132g1.6	si:ch211-132g1.6	NC_007112.7	+	1896661	1900710	5.925849	1.887450	2.530809
si:ch211-132g1.4	si:ch211-132g1.4	NC_007112.7	+	1904336	1911709	18.020237	5.747074	7.706032
si:ch211-132g1.1	si:ch211-132g1.1	NC_007112.7	+	1915939	1925963	11.597040	3.693788	4.952859
si:ch211-132g1.7	si:ch211-132g1.7	NC_007112.7	+	1941043	2000500	1.113720	0.354732	0.475647
slc5a3a	slc5a3a	NC_007112.7	+	2025085	2027100	0.000000	0.000000	0.000000
oxgr1a.1	oxgr1a.1	NC_007112.7	-	2048050	2051599	0.000000	0.000000	0.000000
oxgr1a.3	oxgr1a.3	NC_007112.7	-	2060430	2061419	0.000000	0.000000	0.000000
oxgr1a.2	oxgr1a.2	NC_007112.7	-	2074513	2075529	0.000000	0.000000	0.000000
mbnl2	mbnl2	NC_007112.7	+	2101512	2217860	3.813400	4.851959	6.505806
rap2ab	rap2ab	NC_007112.7	+	2222366	2240119	0.293122	0.093363	0.125186
kpnb3	kpnb3	NC_007112.7	+	2260447	2299553	99.538094	31.725246	42.539169
farp1	farp1	NC_007112.7	+	2301930	2446117	8.071967	2.571013	3.447373
si:ch211-235f1.3	si:ch211-235f1.3	NC_007112.7	-	2331575	2358761	0.079466	0.043420	0.058221
ggact.3	ggact.3	NC_007112.7	-	2447021	2449490	7.422100	2.364023	3.169828
ggact.2	ggact.2	NC_007112.7	-	2450163	2453133	29.881063	9.517456	12.761594
ggact.1	ggact.1	NC_007112.7	-	2454140	2457526	138.400574	44.082146	59.108067
gpc6a	gpc6a	NC_007112.7	+	2712901	3036374	0.201974	0.065135	0.087337
LOC110439758	LOC110439758	NC_007112.7	+	2925455	2927347	0.000000	0.000000	0.000000
