Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	4572.169922	1590.446411	2252.848389
cep97	cep97	NC_007112.7	+	11922	16373	10.330912	3.755601	5.319764
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	102.777054	47.607792	67.435875
eed	eed	NC_007112.7	+	27688	34330	29.565578	10.284497	14.567868
hikeshi	hikeshi	NC_007112.7	+	36734	39191	66.839310	23.250305	32.933781
tmem39a	tmem39a	NC_007112.7	-	39325	44525	40.515919	14.093615	19.963438
ildr1a	ildr1a	NC_007112.7	-	44839	49831	41.190983	14.328437	20.296062
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	3.087096	1.120804	1.587605
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.177548	0.102103	0.144628
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	14.107966	4.907509	6.951428
f7	f7	NC_007112.7	+	119960	125246	14.409618	5.012440	7.100061
f7i	f7i	NC_007112.7	+	127258	134079	19.617474	6.824012	9.666132
f10	f10	NC_007112.7	+	136020	142173	83.937553	29.197990	41.358608
prozb	prozb	NC_007112.7	+	144291	152006	8.500000	2.956757	4.188211
pcid2	pcid2	NC_007112.7	-	152007	157567	31.040655	10.950436	15.511163
cul4a	cul4a	NC_007112.7	+	157793	168647	47.573269	16.548540	23.440809
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	37.480576	13.037759	18.467831
grtp1a	grtp1a	NC_007112.7	-	184908	191971	9.054502	3.195070	4.525779
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	33.497833	11.652347	16.505411
tmco3	tmco3	NC_007112.7	+	214860	226001	8.975976	3.122327	4.422739
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	19.054758	6.804352	9.638284
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	17.491369	6.138440	8.695027
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.136582	0.047511	0.067298
gas6	gas6	NC_007112.7	-	312784	338268	14.583536	5.072938	7.185756
pros1	pros1	NC_007112.7	-	343292	354114	30.007992	10.438393	14.785859
rasa3	rasa3	NC_007112.7	-	357227	411366	5.914939	2.096447	2.969593
tpp2	tpp2	NC_007112.7	+	418866	443739	20.930813	7.306148	10.349072
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	16.296627	5.668843	8.029848
blzf1	blzf1	NC_007112.7	+	494297	505620	57.872894	20.590096	29.165628
trmt10c	trmt10c	NC_007112.7	-	509021	513786	13.048481	4.538963	6.429387
txnl4b	txnl4b	NC_007112.7	+	513982	522317	10.680254	4.259131	6.033009
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	1.325412	0.536594	0.760079
mrpl16	mrpl16	NC_007112.7	+	524699	530940	79.923775	28.289165	40.071266
cenpq	cenpq	NC_007112.7	+	532766	549521	9.257113	3.220122	4.561264
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	2.173753	0.756148	1.071075
mir155	mir155	NC_007112.7	+	576444	576521	0.000000	0.000000	0.000000
mrpl39	mrpl39	NC_007112.7	+	580671	591334	55.534412	19.317854	27.363510
jam2a	jam2a	NC_007112.7	+	594637	608235	14.143506	4.919872	6.968940
atp5j	atp5j	NC_007112.7	-	610327	614663	287.729187	190.245682	269.480743
appa	appa	NC_007112.7	-	617799	656793	66.189751	23.024353	32.613724
cyyr1	cyyr1	NC_007112.7	-	658405	669717	8.740244	3.040326	4.306587
adamts1	adamts1	NC_007112.7	-	672189	681503	2.098523	0.764253	1.082556
adamts5	adamts5	NC_007112.7	-	691738	714626	0.576048	0.200380	0.283837
n6amt1	n6amt1	NC_007112.7	+	961607	970952	18.946552	6.590629	9.335548
gart	gart	NC_007112.7	-	973067	1005061	16.361799	5.691514	8.061961
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	16.396523	5.703592	8.079070
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	1.740167	0.657406	0.931208
donson	donson	NC_007112.7	-	1286285	1352950	5.652913	1.966387	2.785364
runx1	runx1	NC_007112.7	-	1361974	1402588	1.378862	0.609986	0.864038
mir459	mir459	NC_007112.7	+	1575483	1575563	0.000000	0.000000	0.000000
urp2	urp2	NC_007112.7	+	1599979	1614496	0.000000	0.000000	0.000000
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	1.768102	0.615041	0.871198
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	698.218384	242.877884	344.033630
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	597.317078	207.778976	294.316467
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.000000	0.000000	0.000000
