Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	1765.536011	1897.671387	2693.245117
cep97	cep97	NC_007112.7	+	11922	16373	3.459598	3.881132	5.508246
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	36.497822	50.559769	71.756287
eed	eed	NC_007112.7	+	27688	34330	10.266155	11.034490	15.660554
hikeshi	hikeshi	NC_007112.7	+	36734	39191	22.595375	24.286448	34.468220
tmem39a	tmem39a	NC_007112.7	-	39325	44525	13.931703	14.974372	21.252182
ildr1a	ildr1a	NC_007112.7	-	44839	49831	13.258269	14.250539	20.224888
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	0.975319	1.048313	1.487805
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.000000	0.000000	0.000000
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	3.978337	4.276082	6.068773
f7	f7	NC_007112.7	+	119960	125246	5.704257	6.131172	8.701586
f7i	f7i	NC_007112.7	+	127258	134079	7.327036	7.875402	11.177061
f10	f10	NC_007112.7	+	136020	142173	28.991789	31.161577	44.225658
prozb	prozb	NC_007112.7	+	144291	152006	3.017763	3.243617	4.603461
pcid2	pcid2	NC_007112.7	-	152007	157567	11.253641	12.267082	17.409897
cul4a	cul4a	NC_007112.7	+	157793	168647	17.823948	19.157919	27.189625
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	9.656250	10.378939	14.730171
grtp1a	grtp1a	NC_007112.7	-	184908	191971	2.737263	2.998634	4.255771
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.044538	0.111070	0.157634
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	10.205382	10.969169	15.567847
tmco3	tmco3	NC_007112.7	+	214860	226001	2.794152	3.003270	4.262352
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	7.157061	7.856731	11.150562
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	5.526242	6.070644	8.615681
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
gas6	gas6	NC_007112.7	-	312784	338268	5.789837	6.223157	8.832134
pros1	pros1	NC_007112.7	-	343292	354114	10.045224	10.797024	15.323534
rasa3	rasa3	NC_007112.7	-	357227	411366	2.060976	2.217823	3.147615
tpp2	tpp2	NC_007112.7	+	418866	443739	7.453548	8.033210	11.401027
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	5.893502	6.334581	8.990270
blzf1	blzf1	NC_007112.7	+	494297	505620	16.232950	17.620365	25.007471
trmt10c	trmt10c	NC_007112.7	-	509021	513786	4.906917	5.274158	7.485280
txnl4b	txnl4b	NC_007112.7	+	513982	522317	3.135870	3.864072	5.484034
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	0.392823	0.476447	0.676191
mrpl16	mrpl16	NC_007112.7	+	524699	530940	22.915356	25.062159	35.569138
cenpq	cenpq	NC_007112.7	+	532766	549521	2.884089	3.099939	4.399547
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	0.794777	0.854259	1.212396
mrpl39	mrpl39	NC_007112.7	+	580671	591334	18.712955	20.113461	28.545767
jam2a	jam2a	NC_007112.7	+	594637	608235	5.321526	5.719797	8.117746
atp5j	atp5j	NC_007112.7	-	610327	614663	112.647507	239.766083	340.284851
appa	appa	NC_007112.7	-	617799	656793	22.626812	24.320236	34.516174
cyyr1	cyyr1	NC_007112.7	-	658405	669717	2.162466	2.324308	3.298744
adamts1	adamts1	NC_007112.7	-	672189	681503	0.700022	0.776598	1.102176
adamts5	adamts5	NC_007112.7	-	691738	714626	0.183369	0.197093	0.279721
n6amt1	n6amt1	NC_007112.7	+	961607	970952	7.603448	8.172502	11.598715
gart	gart	NC_007112.7	-	973067	1005061	5.027548	5.403817	7.669297
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	5.581739	5.999485	8.514689
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	0.541385	0.631971	0.896917
donson	donson	NC_007112.7	-	1286285	1352950	2.310680	2.483614	3.524837
runx1	runx1	NC_007112.7	-	1361974	1402588	0.452787	0.500997	0.711033
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	0.361057	0.388079	0.550776
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	245.752289	264.144745	374.883972
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	212.639374	228.553619	324.371735
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.000000	0.000000	0.000000
atp1a1a.2	atp1a1a.2	NC_007112.7	+	1789357	1796834	0.891585	0.958313	1.360072
atp1a1a.3	atp1a1a.3	NC_007112.7	+	1805294	1815660	2.175033	2.337816	3.317914
atp1a1a.5	atp1a1a.5	NC_007112.7	+	1838164	1850104	4.085189	4.390931	6.231770
si:ch211-132g1.3	si:ch211-132g1.3	NC_007112.7	-	1858212	1885624	3.693022	4.333343	6.150040
LOC103911757	LOC103911757	NC_007112.7	-	1887409	1894104	1.036145	1.113692	1.580592
si:ch211-132g1.6	si:ch211-132g1.6	NC_007112.7	+	1896661	1900710	0.527235	0.566694	0.804273
si:ch211-132g1.4	si:ch211-132g1.4	NC_007112.7	+	1904336	1911709	9.909561	10.664987	15.136141
si:ch211-132g1.1	si:ch211-132g1.1	NC_007112.7	+	1915939	1925963	2.564586	2.756523	3.912160
si:ch211-132g1.7	si:ch211-132g1.7	NC_007112.7	+	1941043	2000500	0.963256	1.035348	1.469403
slc5a3a	slc5a3a	NC_007112.7	+	2025085	2027100	0.112599	0.121026	0.171765
mbnl2	mbnl2	NC_007112.7	+	2101512	2217860	1.763730	7.469735	10.601322
rap2ab	rap2ab	NC_007112.7	+	2222366	2240119	0.000000	0.000000	0.000000
kpnb3	kpnb3	NC_007112.7	+	2260447	2299553	30.858877	33.584682	47.664619
farp1	farp1	NC_007112.7	+	2301930	2446117	3.266901	3.511401	4.983510
si:ch211-235f1.3	si:ch211-235f1.3	NC_007112.7	-	2331575	2358761	0.000000	0.000000	0.000000
ggact.3	ggact.3	NC_007112.7	-	2447021	2449490	11.966438	12.862024	18.254259
ggact.2	ggact.2	NC_007112.7	-	2450163	2453133	29.335018	31.530495	44.749241
ggact.1	ggact.1	NC_007112.7	-	2454140	2457526	72.122391	77.520142	110.019440
gpc6a	gpc6a	NC_007112.7	+	2712901	3036374	0.000000	0.000000	0.000000
LOC110439758	LOC110439758	NC_007112.7	+	2925455	2927347	0.065410	0.070305	0.099780
gpc5a	gpc5a	NC_007112.7	-	3100244	3295045	2.045871	2.198987	3.120883
mir92a-1	mir92a-1	NC_007112.7	-	3297367	3297451	0.247059	1.025985	1.456115
slitrk6	slitrk6	NC_007112.7	+	4101741	4154332	0.344987	0.370806	0.526262
LOC101887188	LOC101887188	NC_007112.7	-	4117881	4125107	0.000000	0.000000	0.000000
slitrk1	slitrk1	NC_007112.7	+	4545187	4550481	0.013975	0.015021	0.021318
LOC101882161	LOC101882161	NC_007112.7	-	4783348	4785448	0.000000	0.000000	0.000000
spry2	spry2	NC_007112.7	+	5273457	5277598	11.290668	12.347073	17.523420
ndfip2	ndfip2	NC_007112.7	-	5354489	5394686	12.531939	13.469848	19.116905
tuba8l2	tuba8l2	NC_007112.7	+	5402484	5419116	218.674744	235.040680	333.578400
stk16	stk16	NC_007112.7	+	5422437	5434261	4.272340	4.592088	6.517261
mnx2b	mnx2b	NC_007112.7	-	5449777	5455502	9.507812	10.370741	14.718537
atic	atic	NC_007112.7	+	5485853	5503665	11.159347	11.994529	17.023077
fn1b	fn1b	NC_007112.7	-	5504131	5543086	168.675446	186.721191	265.001587
cpo	cpo	NC_007112.7	+	5576151	5587130	3.755594	4.036668	5.728988
nrp2a	nrp2a	NC_007112.7	-	5606460	5746056	0.520925	1.422057	2.018236
pard3ba	pard3ba	NC_007112.7	-	5795014	6085751	1.298860	3.727409	5.290075
abcb6a	abcb6a	NC_007112.7	+	6135126	6160856	2.533346	2.723464	3.865241
cnppd1	cnppd1	NC_007112.7	+	6161989	6169817	18.697060	20.096376	28.521517
prkag3a	prkag3a	NC_007112.7	+	6171517	6185520	0.391197	0.420964	0.597447
retreg2	retreg2	NC_007112.7	+	6189856	6210816	4.372122	4.699338	6.669474
mdh1b	mdh1b	NC_007112.7	-	6218628	6225363	0.000000	0.000000	0.000000
fastkd2	fastkd2	NC_007112.7	+	6221936	6243817	9.951510	12.588575	17.866169
gtf3c3	gtf3c3	NC_007112.7	+	6243906	6272146	4.210095	4.525185	6.422309
hecw2b	hecw2b	NC_007112.7	+	6276244	6365434	0.553185	0.594586	0.843859
klf7a	klf7a	NC_007112.7	-	6403562	6494384	0.000000	0.000000	0.000000
si:ch211-93g23.2	si:ch211-93g23.2	NC_007112.7	+	6640002	6646358	31.434031	49.056301	69.622513
ube2f	ube2f	NC_007112.7	+	6646507	6664123	13.394218	16.896944	23.980766
lancl1	lancl1	NC_007112.7	+	7517461	7539716	8.409859	9.039265	12.828858
mylz3	mylz3	NC_007112.7	+	7546347	7554358	4.546114	4.886352	6.934891
pcnp	pcnp	NC_007112.7	+	7556963	7561231	6.186297	7.996355	11.348721
mxa	mxa	NC_007112.7	-	7562323	7570219	6.132237	6.591183	9.354449
mxb	mxb	NC_007112.7	-	7574224	7603573	0.449845	0.491770	0.697938
efnb2b	efnb2b	NC_007112.7	-	7634516	7659569	1.143284	1.228849	1.744028
arglu1b	arglu1b	NC_007112.7	-	7662091	7673376	21.896830	23.535620	33.402622
wu:fc47e11	wu:fc47e11	NC_007112.7	-	7917882	7920638	0.000000	0.000000	0.000000
si:dkey-79f11.10	si:dkey-79f11.10	NC_007112.7	-	7924955	8012299	25.236475	214.533859	304.474335
si:dkey-79f11.9	si:dkey-79f11.9	NC_007112.7	-	7935957	7940616	6.318917	6.791834	9.639221
si:dkey-79f11.7	si:dkey-79f11.7	NC_007112.7	-	7946171	7978531	95.695923	142.968262	202.905838
si:dkey-79f11.5	si:dkey-79f11.5	NC_007112.7	-	7994106	8000558	5.004340	5.378872	7.633894
si:dkeyp-9d4.2	si:dkeyp-9d4.2	NC_007112.7	-	8016616	8020713	165.484711	177.869827	252.439407
si:dkeyp-9d4.3	si:dkeyp-9d4.3	NC_007112.7	-	8022320	8101668	0.139657	0.150109	0.213040
si:dkeyp-9d4.5	si:dkeyp-9d4.5	NC_007112.7	+	8109810	8163473	0.171243	0.255962	0.363270
LOC101882918	LOC101882918	NC_007112.7	-	8128468	8142226	1.264818	1.932776	2.743067
cacna1hb	cacna1hb	NC_007112.7	+	8304862	8404338	0.100838	0.108385	0.153824
syngr3b	syngr3b	NC_007112.7	-	8415983	8428760	2.623570	2.819922	4.002137
myo15ab	myo15ab	NC_007112.7	+	8435021	8507743	0.000000	0.000000	0.000000
alkbh5	alkbh5	NC_007112.7	+	8508753	8516591	9.009665	9.683962	13.743835
mief2	mief2	NC_007112.7	+	8521323	8530516	3.971859	4.269119	6.058891
smcr8b	smcr8b	NC_007112.7	+	8534698	8540045	0.627790	0.674775	0.957665
zgc:112980	zgc:112980	NC_007112.7	-	8539903	8553326	1.249572	1.343092	1.906165
ptcd1	ptcd1	NC_007112.7	-	8555327	8566666	1.474580	1.584940	2.249405
LOC110439701	LOC110439701	NC_007112.7	+	8573575	8575127	0.000000	0.000000	0.000000
si:ch211-160d14.9	si:ch211-160d14.9	NC_007112.7	+	8587345	8590640	0.042525	0.052511	0.074526
si:ch211-160d14.6	si:ch211-160d14.6	NC_007112.7	+	8601862	8612394	0.000000	0.000000	0.000000
LOC101883376	LOC101883376	NC_007112.7	-	8615620	8618349	0.000000	0.000000	0.000000
fbxl18	fbxl18	NC_007112.7	-	8638162	8646931	0.579702	0.623088	0.884309
actb1	actb1	NC_007112.7	-	8649104	8652632	791.478333	850.713745	1207.364258
fscn1b	fscn1b	NC_007112.7	+	8662542	8668674	0.054165	0.058219	0.082626
abcg2b	abcg2b	NC_007112.7	-	8674074	8691921	3.886914	4.177816	5.929311
zgc:77849	zgc:77849	NC_007112.7	+	8694196	8702684	12.184680	13.096601	18.587177
grin2ab	grin2ab	NC_007112.7	-	8763721	8918458	0.033143	0.035623	0.050558
si:ch73-191k20.1	si:ch73-191k20.1	NC_007112.7	+	8950804	8963797	0.000000	0.000000	0.000000
socs1b	socs1b	NC_007112.7	-	8961012	8966348	13.515651	14.653941	20.797413
si:ch73-191k20.4	si:ch73-191k20.4	NC_007112.7	-	8974033	8977967	1.725069	1.854176	2.631515
LOC103911865	LOC103911865	NC_007112.7	-	8978905	8980668	0.135682	0.145837	0.206977
tlr2	tlr2	NC_007112.7	+	8983491	8989759	0.187456	0.365091	0.518151
prkcba	prkcba	NC_007112.7	+	9004686	9074691	0.206148	0.258371	0.366690
si:ch211-14k19.8	si:ch211-14k19.8	NC_007112.7	-	9100447	9115045	0.500892	0.538379	0.764088
ndufab1a	ndufab1a	NC_007112.7	-	9118104	9123429	49.601742	53.314011	75.665207
palb2	palb2	NC_007112.7	-	9124996	9134082	0.615660	0.661737	0.939161
LOC110439775	LOC110439775	NC_007112.7	-	9137445	9140104	0.000000	0.000000	0.000000
zgc:152698	zgc:152698	NC_007112.7	+	9144958	9145896	0.905218	0.972966	1.380869
plk1	plk1	NC_007112.7	+	9153187	9161695	5.610068	6.029934	8.557904
ern2	ern2	NC_007112.7	-	9169271	9195936	0.755897	0.817176	1.159767
chtf18	chtf18	NC_007112.7	+	9199038	9227201	0.854102	0.918024	1.302894
gng13a	gng13a	NC_007112.7	-	9227080	9228007	0.000000	0.000000	0.000000
si:dkeyp-57d7.4	si:dkeyp-57d7.4	NC_007112.7	-	9230981	9231841	0.252033	0.270896	0.384465
zgc:136472	zgc:136472	NC_007112.7	-	9234928	9249957	53.464912	57.466305	81.558296
ubn1	ubn1	NC_007112.7	-	9270015	9277986	0.000000	0.000000	0.000000
LOC101883884	LOC101883884	NC_007112.7	-	9420821	9422280	0.140637	0.151162	0.214535
micall2b	micall2b	NC_007112.7	-	9460010	9486131	6.166893	6.661592	9.454377
si:ch73-12o23.1	si:ch73-12o23.1	NC_007112.7	-	9499640	9527411	25.930195	28.755915	40.811451
elfn1b	elfn1b	NC_007112.7	+	9557186	9711530	0.082862	0.089064	0.126402
ugt5b5	ugt5b5	NC_007112.7	-	9626277	9629705	4.485101	4.820773	6.841818
ugt5b4	ugt5b4	NC_007112.7	-	9630996	9652696	8.551368	9.191365	13.044724
ugt5b3	ugt5b3	NC_007112.7	-	9635978	9641845	10.368816	11.144834	15.817159
ugt5b2	ugt5b2	NC_007112.7	-	9642976	9644630	12.144811	13.053747	18.526358
ugt5b1	ugt5b1	NC_007112.7	-	9644893	9652725	3.049796	4.506351	6.395578
mad1l1	mad1l1	NC_007112.7	-	9740800	9858521	5.478095	5.888083	8.356586
pmm2	pmm2	NC_007112.7	+	9860381	9866608	10.670157	11.468728	16.276840
zgc:56409	zgc:56409	NC_007112.7	-	9873309	9885360	3.178512	3.416397	4.848676
rgs11	rgs11	NC_007112.7	+	9886942	9914635	1.447005	2.047625	2.906064
tmem8a	tmem8a	NC_007112.7	-	9916376	9941051	5.583797	6.016467	8.538792
LOC110439781	LOC110439781	NC_007112.7	+	9940379	9950811	0.000000	0.000000	0.000000
pdia2	pdia2	NC_007112.7	+	9954485	9964765	65.240944	70.123672	99.522102
si:dkeyp-75b4.9	si:dkeyp-75b4.9	NC_007112.7	-	9985169	9989664	5.035519	5.412385	7.681456
si:dkeyp-75b4.10	si:dkeyp-75b4.10	NC_007112.7	+	9994785	10000362	110.636490	118.916695	168.770950
trim2b	trim2b	NC_007112.7	+	10003397	10033493	0.185538	0.199424	0.283030
rnf175	rnf175	NC_007112.7	-	10037444	10048514	14.491645	15.919267	22.593210
fgb	fgb	NC_007112.7	+	10051806	10059430	269.117035	289.258148	410.525818
LOC100536670	LOC100536670	NC_007112.7	-	10063216	10064777	0.000000	0.000000	0.000000
fga	fga	NC_007112.7	-	10066100	10071522	215.541931	231.673401	328.799438
lratb	lratb	NC_007112.7	+	10074498	10113195	3.160204	8.118047	11.521431
npy2rl	npy2rl	NC_007112.7	+	10221568	10236768	0.648297	0.696817	0.988948
eif3f	eif3f	NC_007112.7	+	10297027	10304044	296.849945	319.066620	452.831146
zgc:77880	zgc:77880	NC_007112.7	+	10305652	10315206	1.243421	1.336480	1.896782
tmem55bb	tmem55bb	NC_007112.7	+	10318089	10325025	2.347987	2.523714	3.581748
LOC557811	LOC557811	NC_007112.7	-	10328192	10347386	0.043226	0.046461	0.065939
dachb	dachb	NC_007112.7	+	10378677	10448630	2.991853	4.039942	5.733635
tnrc5	tnrc5	NC_007112.7	-	10462692	10473588	1.923006	2.066927	2.933459
zgc:174945	zgc:174945	NC_007112.7	-	10637479	10640624	0.685505	0.736809	1.045707
si:dkey-31e10.1	si:dkey-31e10.1	NC_007112.7	-	10642501	10647351	0.450587	0.508357	0.721479
si:dkey-31e10.5	si:dkey-31e10.5	NC_007112.7	-	10666517	10670695	2.442738	2.625556	3.726286
