Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	274.514801	17.246758	27.573711
AT1G01020	ARV1	1	-	5928	8737	112.975769	8.128105	12.995024
AT1G01030	NGA3	1	-	11649	13714	6.247408	0.392502	0.627522
AT1G01040	DCL1	1	+	23146	31227	97.904343	6.153922	9.838746
AT1G01046	MIR838A	1	+	28500	28706	67.342995	4.230913	6.764284
AT1G01050	PPA1	1	-	31170	33153	920.096558	57.806286	92.419334
AT1G01060	LHY	1	-	33379	37871	571.075806	43.656876	69.797592
AT1G01070	AT1G01070	1	-	38752	40944	190.587524	12.373024	19.781702
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	114.313164	7.198211	11.508330
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	1125.927612	70.737892	113.094078
AT1G01100	RPP1A	1	-	50075	51199	4322.391113	296.750336	474.437469
AT1G01110	IQD18	1	+	52239	54692	29.235691	1.975468	3.158332
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	530.914185	33.355389	53.327808
AT1G01130	AT1G01130	1	-	61905	63811	67.758331	4.257007	6.806003
AT1G01140	CIPK9	1	-	64166	67625	79.172729	5.027100	8.037209
AT1G01150	AT1G01150	1	-	70115	72138	4.688879	0.294585	0.470976
AT1G01160	GIF2	1	+	72339	74096	270.707581	18.594582	29.728580
AT1G01170	AT1G01170	1	-	73931	74737	236.256775	14.856008	23.751436
AT1G01180	AT1G01180	1	+	75583	76758	250.468506	15.736015	25.158373
AT1G01183	MIR165A	1	-	78932	79032	0.000000	0.000000	0.000000
AT1G01190	CYP78A8	1	-	83045	84864	252.041077	15.834814	25.316330
AT1G01200	RABA3	1	-	86515	88213	155.336060	9.759194	15.602771
AT1G01210	AT1G01210	1	+	88898	89745	391.469208	24.594572	39.321224
AT1G01220	FKGP	1	+	91376	95651	78.489273	4.931192	7.883875
AT1G01225	AT1G01225	1	+	95987	97407	74.731720	4.695119	7.506447
AT1G01230	AT1G01230	1	+	97456	99240	590.803040	37.117985	59.343357
AT1G01240	AT1G01240	1	+	99894	101834	147.120041	12.462083	19.924086
AT1G01250	ERF023	1	-	104491	105330	0.000000	0.000000	0.000000
AT1G01260	BHLH13	1	+	108946	111609	110.484634	7.678172	12.275681
AT1G01270	AT1G01270	1	-	111890	111961	0.000000	0.000000	0.000000
AT1G01280	CYP703A2	1	+	112263	113947	0.000000	0.000000	0.000000
AT1G01290	CNX3	1	+	114286	116108	153.324432	11.398824	18.224173
