Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	8537.595703	2690.869141	3473.320801
cep97	cep97	NC_007112.7	+	11922	16373	10.062847	3.310291	4.272859
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	13.296636	5.479885	7.073327
eed	eed	NC_007112.7	+	27688	34330	19.066858	6.009469	7.756904
hikeshi	hikeshi	NC_007112.7	+	36734	39191	62.945663	19.839138	25.607967
tmem39a	tmem39a	NC_007112.7	-	39325	44525	47.110523	14.848239	19.165812
ildr1a	ildr1a	NC_007112.7	-	44839	49831	2.947440	0.928971	1.199097
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	1.522838	0.485793	0.627052
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.127668	0.066522	0.085865
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	3.156534	0.994873	1.284162
f7	f7	NC_007112.7	+	119960	125246	0.729132	0.229807	0.296630
f7i	f7i	NC_007112.7	+	127258	134079	0.000000	0.000000	0.000000
f10	f10	NC_007112.7	+	136020	142173	19.393690	6.112480	7.889868
prozb	prozb	NC_007112.7	+	144291	152006	0.000000	0.000000	0.000000
pcid2	pcid2	NC_007112.7	-	152007	157567	11.418690	3.605492	4.653898
cul4a	cul4a	NC_007112.7	+	157793	168647	40.698948	12.827446	16.557413
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	21.271065	6.704188	8.653633
grtp1a	grtp1a	NC_007112.7	-	184908	191971	5.111570	1.638296	2.114680
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.000000	0.000000	0.000000
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	11.692349	3.685181	4.756758
tmco3	tmco3	NC_007112.7	+	214860	226001	3.935672	1.240440	1.601136
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	14.537752	4.703997	6.071826
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	0.320888	0.101387	0.130868
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.126984	0.040023	0.051660
gas6	gas6	NC_007112.7	-	312784	338268	10.737804	3.384328	4.368424
pros1	pros1	NC_007112.7	-	343292	354114	41.007019	12.924542	16.682745
rasa3	rasa3	NC_007112.7	-	357227	411366	5.785061	1.827306	2.358650
tpp2	tpp2	NC_007112.7	+	418866	443739	4.400620	1.397588	1.803979
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.257500	0.081159	0.104758
ercc5	ercc5	NC_007112.7	-	474073	494309	6.113117	1.926725	2.486978
blzf1	blzf1	NC_007112.7	+	494297	505620	20.665598	6.661260	8.598222
trmt10c	trmt10c	NC_007112.7	-	509021	513786	26.316095	8.294275	10.706086
txnl4b	txnl4b	NC_007112.7	+	513982	522317	8.263587	3.029186	3.910014
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	0.118817	0.041695	0.053819
mrpl16	mrpl16	NC_007112.7	+	524699	530940	68.219292	21.878204	28.239952
cenpq	cenpq	NC_007112.7	+	532766	549521	0.917808	0.289274	0.373389
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	0.374958	0.118179	0.152543
mir155	mir155	NC_007112.7	+	576444	576521	0.000000	0.000000	0.000000
mrpl39	mrpl39	NC_007112.7	+	580671	591334	33.682590	10.616038	13.702972
jam2a	jam2a	NC_007112.7	+	594637	608235	16.683016	5.258133	6.787094
