isoform	gene	length
transcript:AT1G01010.1	AT1G01010	1688
transcript:AT1G01020.2	AT1G01020	1087
transcript:AT1G01020.6	AT1G01020	944
transcript:AT1G01020.1	AT1G01020	1329
transcript:AT1G01020.3	AT1G01020	1420
transcript:AT1G01020.4	AT1G01020	1397
transcript:AT1G01020.5	AT1G01020	1306
transcript:AT1G03987.1	AT1G03987	272
transcript:AT1G01030.1	AT1G01030	1905
transcript:AT1G01030.2	AT1G01030	1836
transcript:AT1G01040.1	AT1G01040	6276
transcript:AT1G01040.2	AT1G01040	5877
transcript:AT1G03993.1	AT1G03993	788
transcript:at1g01046	AT1G01046	207
transcript:ENSRNA049757489-T1	ENSRNA049757489	207
transcript:AT1G01050.1	AT1G01050	994
transcript:AT1G01050.2	AT1G01050	810
transcript:AT1G03997.1	AT1G03997	283
transcript:AT1G01060.6	AT1G01060	2933
transcript:AT1G01060.3	AT1G01060	2517
transcript:AT1G01060.1	AT1G01060	2708
transcript:AT1G01060.7	AT1G01060	2908
transcript:AT1G01060.2	AT1G01060	2814
transcript:AT1G01060.4	AT1G01060	2641
transcript:AT1G01060.8	AT1G01060	2132
transcript:AT1G01060.5	AT1G01060	2722
transcript:AT1G01070.1	AT1G01070	1692
transcript:AT1G01070.2	AT1G01070	1451
transcript:AT1G04003.1	AT1G04003	209
transcript:AT1G01080.1	AT1G01080	1685
transcript:AT1G01080.3	AT1G01080	1771
transcript:AT1G01080.2	AT1G01080	1322
transcript:AT1G01090.1	AT1G01090	1896
transcript:AT1G01100.2	AT1G01100	808
transcript:AT1G01100.1	AT1G01100	587
transcript:AT1G01100.4	AT1G01100	607
transcript:AT1G01100.3	AT1G01100	566
transcript:AT1G01110.2	AT1G01110	2113
transcript:AT1G01110.1	AT1G01110	2044
transcript:AT1G01120.1	AT1G01120	2052
transcript:AT1G01130.1	AT1G01130	375
transcript:AT1G01140.1	AT1G01140	1838
transcript:AT1G01140.2	AT1G01140	1694
transcript:AT1G01140.3	AT1G01140	1700
transcript:AT1G01150.1	AT1G01150	1382
transcript:AT1G01150.2	AT1G01150	1150
transcript:AT1G01150.3	AT1G01150	1228
transcript:AT1G01160.1	AT1G01160	1045
transcript:AT1G01160.2	AT1G01160	1129
transcript:AT1G04007.1	AT1G04007	463
transcript:AT1G01170.2	AT1G01170	503
transcript:AT1G01170.1	AT1G01170	515
transcript:AT1G04013.1	AT1G04013	249
transcript:AT1G01180.1	AT1G01180	1456
transcript:at1g01183	AT1G01183	111
transcript:ENSRNA049757528-T1	ENSRNA049757528	111
transcript:AT1G01190.1	AT1G01190	1669
transcript:AT1G01190.2	AT1G01190	1690
transcript:AT1G01200.1	AT1G01200	1207
transcript:AT1G01210.2	AT1G01210	669
transcript:AT1G01210.3	AT1G01210	806
transcript:AT1G01210.1	AT1G01210	624
transcript:AT1G04017.1	AT1G04017	233
transcript:AT1G01220.1	AT1G01220	3596
transcript:AT1G01220.2	AT1G01220	3862
transcript:AT1G01220.3	AT1G01220	3795
transcript:AT1G01220.4	AT1G01220	3615
transcript:AT1G01220.6	AT1G01220	3622
transcript:AT1G01220.5	AT1G01220	3643
transcript:AT1G01220.7	AT1G01220	3398
transcript:AT1G01220.8	AT1G01220	3554
transcript:AT1G04023.1	AT1G04023	330
