Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
rpl24	rpl24	NC_007112.7	-	6642	11878	1884.348877	1647.899292	2333.343506
cep97	cep97	NC_007112.7	+	11922	16373	3.899209	3.563117	5.045197
nfkbiz	nfkbiz	NC_007112.7	+	18648	23838	40.973858	46.097492	65.271759
eed	eed	NC_007112.7	+	27688	34330	11.238644	9.828410	13.916540
hikeshi	hikeshi	NC_007112.7	+	36734	39191	25.743931	22.513563	31.878084
tmem39a	tmem39a	NC_007112.7	-	39325	44525	15.721966	13.749161	19.468128
ildr1a	ildr1a	NC_007112.7	-	44839	49831	15.094246	13.200209	18.690838
LOC100332762	LOC100332762	NC_007112.7	-	50828	65003	1.304218	1.189540	1.684330
si:zfos-1011f11.1	si:zfos-1011f11.1	NC_007112.7	-	65705	71667	0.000000	0.000000	0.000000
zgc:163025	zgc:163025	NC_007112.7	+	109798	119138	4.956499	4.334554	6.137512
f7	f7	NC_007112.7	+	119960	125246	6.289110	5.499948	7.787652
f7i	f7i	NC_007112.7	+	127258	134079	9.160566	8.011091	11.343307
f10	f10	NC_007112.7	+	136020	142173	34.371220	30.058292	42.561047
prozb	prozb	NC_007112.7	+	144291	152006	3.251316	2.843338	4.026026
pcid2	pcid2	NC_007112.7	-	152007	157567	12.702064	11.265422	15.951277
cul4a	cul4a	NC_007112.7	+	157793	168647	19.482700	17.037994	24.124954
zgc:64072	zgc:64072	NC_007112.7	+	171765	183800	12.148679	10.624252	15.043414
grtp1a	grtp1a	NC_007112.7	-	184908	191971	3.352319	2.984820	4.226357
adprhl1	adprhl1	NC_007112.7	-	197236	206299	0.044538	0.090369	0.127958
dcun1d2b	dcun1d2b	NC_007112.7	-	208177	214921	12.361255	10.810155	15.306642
tmco3	tmco3	NC_007112.7	+	214860	226001	3.545216	3.100359	4.389955
tfdp1b	tfdp1b	NC_007112.7	+	227222	241708	7.848127	6.993567	9.902543
grk1a	grk1a	NC_007112.7	+	245137	256233	0.000000	0.000000	0.000000
cenpe	cenpe	NC_007112.7	+	259991	296057	6.454598	5.672644	8.032182
tmem255b	tmem255b	NC_007112.7	+	296919	309348	0.000000	0.000000	0.000000
LOC108187164	LOC108187164	NC_007112.7	+	309401	312613	0.000000	0.000000	0.000000
gas6	gas6	NC_007112.7	-	312784	338268	6.161382	5.388247	7.629490
pros1	pros1	NC_007112.7	-	343292	354114	11.734503	10.262048	14.530550
rasa3	rasa3	NC_007112.7	-	357227	411366	2.238109	1.959659	2.774779
tpp2	tpp2	NC_007112.7	+	418866	443739	8.278336	7.258560	10.277760
LOC100149425	LOC100149425	NC_007112.7	-	443174	462291	0.000000	0.000000	0.000000
zgc:92518	zgc:92518	NC_007112.7	-	466780	471939	0.000000	0.000000	0.000000
ercc5	ercc5	NC_007112.7	-	474073	494309	6.667419	5.830786	8.256104
blzf1	blzf1	NC_007112.7	+	494297	505620	22.702572	20.050138	28.389999
trmt10c	trmt10c	NC_007112.7	-	509021	513786	5.485456	4.797136	6.792507
txnl4b	txnl4b	NC_007112.7	+	513982	522317	3.913949	3.923985	5.556168
si:ch73-41e3.7	si:ch73-41e3.7	NC_007112.7	-	518853	524433	0.539282	0.765035	1.083251
mrpl16	mrpl16	NC_007112.7	+	524699	530940	27.051311	24.071608	34.084202
cenpq	cenpq	NC_007112.7	+	532766	549521	3.279241	2.867759	4.060605
LOC101885604	LOC101885604	NC_007112.7	-	550964	558826	0.947439	0.828554	1.173191
mir155	mir155	NC_007112.7	+	576444	576521	0.000000	0.000000	0.000000
mrpl39	mrpl39	NC_007112.7	+	580671	591334	22.146559	19.367590	27.423546
jam2a	jam2a	NC_007112.7	+	594637	608235	5.843779	5.110497	7.236210
atp5j	atp5j	NC_007112.7	-	610327	614663	119.562798	202.255966	286.384399
appa	appa	NC_007112.7	-	617799	656793	26.606083	23.267530	32.945667
cyyr1	cyyr1	NC_007112.7	-	658405	669717	2.533044	2.215196	3.136607
adamts1	adamts1	NC_007112.7	-	672189	681503	0.899934	0.816901	1.156691
adamts5	adamts5	NC_007112.7	-	691738	714626	0.213220	0.186465	0.264025
n6amt1	n6amt1	NC_007112.7	+	961607	970952	8.097414	7.081344	10.026832
gart	gart	NC_007112.7	-	973067	1005061	5.890726	5.151553	7.294343
LOC100332351	LOC100332351	NC_007112.7	-	1006793	1014803	6.244348	5.460802	7.732224
LOC101886071	LOC101886071	NC_007112.7	-	1027556	1030612	0.631334	0.599618	0.849030
donson	donson	NC_007112.7	-	1286285	1352950	2.498786	2.185236	3.094186
runx1	runx1	NC_007112.7	-	1361974	1402588	0.641351	0.577380	0.817542
mir459	mir459	NC_007112.7	+	1575483	1575563	0.000000	0.000000	0.000000
urp2	urp2	NC_007112.7	+	1599979	1614496	0.000000	0.000000	0.000000
LOC100333907	LOC100333907	NC_007112.7	-	1618992	1631504	0.469667	0.410733	0.581577
atp1a1a.4	atp1a1a.4	NC_007112.7	+	1689794	1706159	274.581177	240.126511	340.007202
atp1a1a.1	atp1a1a.1	NC_007112.7	+	1712169	1731564	236.488632	206.813858	292.838135
LOC108187381	LOC108187381	NC_007112.7	-	1772028	1788265	0.000000	0.000000	0.000000
atp1a1a.2	atp1a1a.2	NC_007112.7	+	1789357	1796834	2.516091	2.200370	3.115614
atp1a1a.3	atp1a1a.3	NC_007112.7	+	1805294	1815660	8.194118	7.165913	10.146577
atp1a1a.5	atp1a1a.5	NC_007112.7	+	1838164	1850104	8.541788	7.469958	10.577088
si:ch211-132g1.3	si:ch211-132g1.3	NC_007112.7	-	1858212	1885624	9.467205	9.120132	12.913654
LOC103911757	LOC103911757	NC_007112.7	-	1887409	1894104	1.422828	1.244290	1.761853
si:ch211-132g1.6	si:ch211-132g1.6	NC_007112.7	+	1896661	1900710	1.502142	1.313652	1.860066
si:ch211-132g1.4	si:ch211-132g1.4	NC_007112.7	+	1904336	1911709	14.306204	12.527234	17.737942
si:ch211-132g1.1	si:ch211-132g1.1	NC_007112.7	+	1915939	1925963	3.519956	3.078269	4.358676
si:ch211-132g1.7	si:ch211-132g1.7	NC_007112.7	+	1941043	2000500	1.141875	0.998592	1.413956
slc5a3a	slc5a3a	NC_007112.7	+	2025085	2027100	0.117837	0.103051	0.145915
oxgr1a.1	oxgr1a.1	NC_007112.7	-	2048050	2051599	0.000000	0.000000	0.000000
oxgr1a.3	oxgr1a.3	NC_007112.7	-	2060430	2061419	0.000000	0.000000	0.000000
oxgr1a.2	oxgr1a.2	NC_007112.7	-	2074513	2075529	0.000000	0.000000	0.000000
mbnl2	mbnl2	NC_007112.7	+	2101512	2217860	1.886248	6.577656	9.313634
rap2ab	rap2ab	NC_007112.7	+	2222366	2240119	0.000000	0.000000	0.000000
kpnb3	kpnb3	NC_007112.7	+	2260447	2299553	35.347824	30.974077	43.857754
farp1	farp1	NC_007112.7	+	2301930	2446117	4.579017	4.004438	5.670085
si:ch211-235f1.3	si:ch211-235f1.3	NC_007112.7	-	2331575	2358761	0.000000	0.000000	0.000000
ggact.3	ggact.3	NC_007112.7	-	2447021	2449490	13.152259	12.614064	17.860889
ggact.2	ggact.2	NC_007112.7	-	2450163	2453133	31.338696	27.406290	38.805946
ggact.1	ggact.1	NC_007112.7	-	2454140	2457526	85.631088	74.886032	106.034897
gpc6a	gpc6a	NC_007112.7	+	2712901	3036374	0.000000	0.000000	0.000000
LOC110439758	LOC110439758	NC_007112.7	+	2925455	2927347	0.056252	0.049193	0.069655
gpc5a	gpc5a	NC_007112.7	-	3100244	3295045	2.496024	2.182821	3.090766
mir92a-1	mir92a-1	NC_007112.7	-	3297367	3297451	0.247059	0.834768	1.181990
mir19b	mir19b	NC_007112.7	-	3297484	3297570	0.000000	0.000000	0.000000
mir20a	mir20a	NC_007112.7	-	3297603	3297755	0.000000	0.000000	0.000000
mir19a	mir19a	NC_007112.7	-	3297848	3297936	0.000000	0.000000	0.000000
mir18a	mir18a	NC_007112.7	-	3298006	3298088	0.000000	0.000000	0.000000
mir17a-1	mir17a-1	NC_007112.7	-	3298112	3298249	0.000000	0.000000	0.000000
slitrk6	slitrk6	NC_007112.7	+	4101741	4154332	0.344987	0.301698	0.427189
LOC101887188	LOC101887188	NC_007112.7	-	4117881	4125107	0.000000	0.000000	0.000000
slitrk1	slitrk1	NC_007112.7	+	4545187	4550481	0.013975	0.012221	0.017305
LOC101882161	LOC101882161	NC_007112.7	-	4783348	4785448	0.000000	0.000000	0.000000
LOC103911774	LOC103911774	NC_007112.7	-	5148593	5154048	0.000000	0.000000	0.000000
spry2	spry2	NC_007112.7	+	5273457	5277598	12.645976	11.477635	16.251762
ndfip2	ndfip2	NC_007112.7	-	5354489	5394686	16.142384	14.116824	19.988722
tuba8l2	tuba8l2	NC_007112.7	+	5402484	5419116	240.438049	210.267700	297.728607
stk16	stk16	NC_007112.7	+	5422437	5434261	5.233435	4.576739	6.480435
mnx2b	mnx2b	NC_007112.7	-	5449777	5455502	10.687066	9.480132	13.423397
atic	atic	NC_007112.7	+	5485853	5503665	13.848060	12.110394	17.147717
fn1b	fn1b	NC_007112.7	-	5504131	5543086	187.980225	168.707367	238.881256
cpo	cpo	NC_007112.7	+	5576151	5587130	4.020654	3.516139	4.978679
nrp2a	nrp2a	NC_007112.7	-	5606460	5746056	0.564864	1.254615	1.776472
pard3ba	pard3ba	NC_007112.7	-	5795014	6085751	1.576366	3.680667	5.211642
abcb6a	abcb6a	NC_007112.7	+	6135126	6160856	2.941883	2.573223	3.643556
cnppd1	cnppd1	NC_007112.7	+	6161989	6169817	21.124840	18.474077	26.158377
prkag3a	prkag3a	NC_007112.7	+	6171517	6185520	0.479518	0.427463	0.605267
retreg2	retreg2	NC_007112.7	+	6189856	6210816	4.598577	4.021544	5.694306
mdh1b	mdh1b	NC_007112.7	-	6218628	6225363	0.000000	0.000000	0.000000
fastkd2	fastkd2	NC_007112.7	+	6221936	6243817	11.486385	11.822133	16.739552
