Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	299.936371	17.090454	27.184189
AT1G01020	ARV1	1	-	5928	8737	84.450394	6.120711	9.735643
AT1G01030	NGA3	1	-	11649	13714	1.475853	0.084094	0.133761
AT1G01040	DCL1	1	+	23146	31227	134.550262	7.674181	12.206603
AT1G01046	MIR838A	1	+	28500	28706	54.483093	3.104461	4.937976
AT1G01050	PPA1	1	-	31170	33153	1130.632202	64.423714	102.472794
AT1G01060	LHY	1	-	33379	37871	546.930237	37.588505	59.788521
AT1G01070	AT1G01070	1	-	38752	40944	205.063446	12.696650	20.195375
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	134.991684	7.708589	12.261333
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	1395.721680	79.528587	126.498703
AT1G01100	RPP1A	1	-	50075	51199	6189.461914	382.333740	608.142578
AT1G01110	IQD18	1	+	52239	54692	69.119125	4.308430	6.853017
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	435.283173	24.802549	39.451099
AT1G01130	AT1G01130	1	-	61905	63811	42.201778	2.404669	3.824882
AT1G01140	CIPK9	1	-	64166	67625	89.842041	5.173779	8.229447
AT1G01150	AT1G01150	1	-	70115	72138	11.853141	0.675395	1.074288
AT1G01160	GIF2	1	+	72339	74096	335.179810	20.902992	33.248436
AT1G01170	AT1G01170	1	-	73931	74737	174.541290	9.957915	15.839127
AT1G01180	AT1G01180	1	+	75583	76758	283.995544	16.182140	25.739422
AT1G01183	MIR165A	1	-	78932	79032	23.623762	1.346088	2.141097
AT1G01190	CYP78A8	1	-	83045	84864	363.139313	20.691772	32.912472
AT1G01200	RABA3	1	-	86515	88213	212.414459	12.103432	19.251799
AT1G01210	AT1G01210	1	+	88898	89745	533.331055	30.389343	48.337490
AT1G01220	FKGP	1	+	91376	95651	114.964424	6.550703	10.419592
