Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	NAC001	1	+	3631	5899	364.813995	24.922382	40.040295
AT1G01020	ARV1	1	-	5928	8737	60.001694	4.480399	7.198208
AT1G01030	NGA3	1	-	11649	13714	0.000000	0.000000	0.000000
AT1G01040	DCL1	1	+	23146	31227	132.951447	9.086978	14.599139
AT1G01046	MIR838A	1	+	28500	28706	65.381638	4.466567	7.175986
AT1G01050	PPA1	1	-	31170	33153	884.233032	60.406651	97.049324
AT1G01060	LHY	1	-	33379	37871	1562.538208	128.534714	206.503891
AT1G01070	AT1G01070	1	-	38752	40944	315.129669	23.802416	38.240963
AT1G01073	AT1G01073	1	+	44677	44787	0.000000	0.000000	0.000000
AT1G01080	AT1G01080	1	-	45296	47019	67.937988	4.651761	7.473519
AT1G01090	PDH-E1 ALPHA	1	-	47485	49286	937.437622	64.041344	102.888817
AT1G01100	RPP1A	1	-	50075	51199	3227.514648	239.738861	385.164459
AT1G01110	IQD18	1	+	52239	54692	25.639158	1.841962	2.959297
AT1G01115	AT1G01115	1	+	56624	56740	0.000000	0.000000	0.000000
AT1G01120	KCS1	1	-	57269	59167	374.816223	25.605684	41.138096
AT1G01130	AT1G01130	1	-	61905	63811	17.117449	1.169384	1.878732
AT1G01140	CIPK9	1	-	64166	67625	115.613640	7.971675	12.807293
AT1G01150	AT1G01150	1	-	70115	72138	0.000000	0.000000	0.000000
AT1G01160	GIF2	1	+	72339	74096	243.575928	18.155825	29.169149
AT1G01170	AT1G01170	1	-	73931	74737	414.287964	28.348854	45.545265
AT1G01180	AT1G01180	1	+	75583	76758	255.878433	17.480413	28.084034
AT1G01183	MIR165A	1	-	78932	79032	13.000000	0.888099	1.426820
AT1G01190	CYP78A8	1	-	83045	84864	169.081772	11.550873	18.557634
AT1G01200	RABA3	1	-	86515	88213	28.768839	1.965352	3.157535
AT1G01210	AT1G01210	1	+	88898	89745	310.704590	21.225882	34.101498
AT1G01220	FKGP	1	+	91376	95651	89.677536	6.126348	9.842591
AT1G01225	AT1G01225	1	+	95987	97407	92.938538	6.349125	10.200503
AT1G01230	AT1G01230	1	+	97456	99240	647.888245	44.260685	71.109215
AT1G01240	AT1G01240	1	+	99894	101834	288.837189	25.682146	41.260933
AT1G01250	ERF023	1	-	104491	105330	0.000000	0.000000	0.000000
AT1G01260	BHLH13	1	+	108946	111609	72.219223	5.376194	8.637393
AT1G01270	AT1G01270	1	-	111890	111961	0.000000	0.000000	0.000000
AT1G01280	CYP703A2	1	+	112263	113947	0.000000	0.000000	0.000000
AT1G01290	CNX3	1	+	114286	116108	126.321960	10.132617	16.279060
AT1G01300	AT1G01300	1	+	116943	118764	331.852386	22.670597	36.422585
AT1G01305	AT1G01305	1	+	119397	119997	0.000000	0.000000	0.000000
AT1G01310	AT1G01310	1	+	120154	121130	4.325209	0.295478	0.474715
AT1G01320	AT1G01320	1	-	121067	130577	47.687748	3.289583	5.285044
AT1G01340	CNGC10	1	-	132328	135831	157.003174	11.341570	18.221367
AT1G01350	AT1G01350	1	+	136124	138162	218.346436	14.916405	23.964695
AT1G01355	AT1G01355	1	+	138513	139568	21.662300	1.479867	2.377554
AT1G01360	PYL9	1	+	141971	143183	541.944092	37.023079	59.481274
AT1G01370	HTR12	1	+	143564	145684	30.697079	2.290351	3.679678
AT1G01380	ETC1	1	+	147153	147942	89.019363	6.081386	9.770353
AT1G01420	UGT72B3	1	-	154492	156011	7.266448	0.496410	0.797532
AT1G01430	TBL25	1	-	156801	158655	232.942749	15.913556	25.566719
AT1G01440	AT1G01440	1	-	159856	162572	133.552902	9.123708	14.658149
AT1G01448	AT1G01448	1	+	163419	166239	42.955662	3.618688	5.813785
AT1G01450	AT1G01450	1	-	164105	165517	0.000000	0.000000	0.000000
AT1G01453	AT1G01453	1	-	166589	167842	7.112440	0.546351	0.877767
AT1G01470	LEA14	1	-	172146	172948	640.807434	43.776955	70.332062
AT1G01480	ACS2	1	+	175782	178400	19.400806	1.517112	2.437392
AT1G01490	AT1G01490	1	-	180059	182358	692.413086	50.356720	80.903107
AT1G01500	AT1G01500	1	+	185133	186923	67.922653	4.640157	7.454876
AT1G01510	AN	1	+	187211	190056	446.367523	30.493736	48.991234
AT1G01520	RVE3	1	+	190596	192139	3.836806	0.262113	0.421110
AT1G01540	AT1G01540	1	+	195780	198684	290.786316	20.579062	33.062321
AT1G01550	BPS1	1	+	199639	201775	1678.626953	122.554573	196.896179
AT1G01560	MPK11	1	+	202136	204335	17.556141	1.435849	2.306835
AT1G01570	AT1G01570	1	+	205176	207435	24.867085	1.698803	2.729296
