gene_id	gene_length
rpl24	5236
cep97	4451
nfkbiz	5190
eed	6642
hikeshi	2457
tmem39a	5200
ildr1a	4992
LOC100332762	14175
si:zfos-1011f11.1	5962
zgc:163025	9340
f7	5286
f7i	6821
f10	6153
prozb	7715
pcid2	5560
cul4a	10854
zgc:64072	12035
grtp1a	7063
adprhl1	9063
dcun1d2b	6744
tmco3	11141
tfdp1b	14486
grk1a	11096
cenpe	36066
tmem255b	12429
LOC108187164	3212
gas6	25484
pros1	10822
rasa3	54139
tpp2	24873
LOC100149425	19117
zgc:92518	5159
ercc5	20236
blzf1	11323
trmt10c	4765
txnl4b	8335
si:ch73-41e3.7	5580
mrpl16	6241
cenpq	16755
LOC101885604	7862
mir155	77
mrpl39	10663
jam2a	13598
atp5j	4336
appa	38994
cyyr1	11312
adamts1	9314
adamts5	22888
n6amt1	9345
gart	31994
LOC100332351	8010
LOC101886071	3056
donson	66665
runx1	40614
mir459	80
urp2	14517
LOC100333907	12512
atp1a1a.4	16365
atp1a1a.1	19395
LOC108187381	16237
atp1a1a.2	7477
atp1a1a.3	10366
atp1a1a.5	11940
si:ch211-132g1.3	27412
LOC103911757	6695
si:ch211-132g1.6	4049
si:ch211-132g1.4	7373
si:ch211-132g1.1	10024
si:ch211-132g1.7	59457
slc5a3a	2015
oxgr1a.1	3549
oxgr1a.3	989
oxgr1a.2	1016
mbnl2	116348
rap2ab	17753
kpnb3	39106
farp1	144187
si:ch211-235f1.3	27186
ggact.3	2469
ggact.2	2970
ggact.1	3386
gpc6a	323473
LOC110439758	1892
gpc5a	194801
mir92a-1	84
mir19b	86
mir20a	152
mir19a	88
mir18a	82
mir17a-1	137
LOC103910100	46839
slitrk6	52591
LOC101887188	7226
slitrk1	5294
LOC101882161	2100
LOC103911774	5455
spry2	4141
ndfip2	40197
tuba8l2	16632
stk16	11824
mnx2b	5725
atic	17812
fn1b	38955
cpo	10979
nrp2a	139596
pard3ba	290737
abcb6a	25730
cnppd1	7828
prkag3a	14003
retreg2	20960
mdh1b	6735
fastkd2	21881
gtf3c3	28240
hecw2b	89190
klf7a	90822
si:ch211-93g23.2	6356
ube2f	17616
erbb4a	107823
LOC108184914	69803
si:ch73-383l1.1	262064
lancl1	22255
mylz3	8011
pcnp	4268
mxa	7896
mxb	29349
efnb2b	25053
arglu1b	11285
en1b	4149
radil	46850
wu:fc47e11	2756
si:dkey-79f11.10	87344
si:dkey-79f11.9	4659
si:dkey-79f11.7	32360
si:dkey-79f11.5	6452
si:dkeyp-9d4.2	4097
si:dkeyp-9d4.3	79348
si:dkeyp-9d4.5	53663
LOC101882918	13758
grapb	27078
LOC103911848	4495
cacna1hb	99476
syngr3b	12777
myo15ab	72722
alkbh5	7838
mief2	9193
smcr8b	5347
zgc:112980	13423
ptcd1	11339
LOC110439701	1552
hel_dr1	11988
si:ch211-160d14.9	3295
si:ch211-160d14.6	10532
zgc:153118	1346
LOC101883376	2729
LOC103911895	2024
fbxl18	8769
actb1	3528
fscn1b	6132
abcg2b	17847
zgc:77849	8488
grin2ab	154737
si:ch73-191k20.1	12993
socs1b	5336
si:ch73-191k20.4	3934
LOC103911865	1763
tlr2	6268
prkcba	70005
cacng3a	10033
si:ch211-14k19.8	14598
ndufab1a	5325
palb2	9086
LOC110439775	2659
